ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,347.41,260.66,19.37,3.87,Simple,0.94,SE
2,35.25,368.87,18.71,3.74,Simple,0.94,SW
3,158.03,39.22,10.65,2.13,Simple,0.94,NW
4,220.26,290.07,10.58,2.12,Simple,0.93,SE
5,129.9,53.12,13.66,2.73,Simple,0.93,NW
6,76.86,314.65,8.69,1.74,Simple,0.93,SW
7,37.57,253.1,11.35,2.27,Simple,0.93,SW
8,83.12,277.93,8.03,1.61,Simple,0.92,SW
9,25.49,23.04,10.09,2.02,Simple,0.92,NW
10,7.85,23.47,9.99,2.0,Simple,0.92,NW
11,114.72,336.46,10.29,2.06,Simple,0.92,SW
12,50.51,214.56,11.06,2.21,Simple,0.92,SW
13,358.42,147.78,9.53,1.91,Simple,0.92,NE
14,244.05,110.81,10.22,2.04,Simple,0.92,NE
15,264.7,309.77,8.56,1.71,Simple,0.91,SE
16,63.64,309.84,9.53,1.91,Simple,0.91,SW
17,123.17,316.83,14.76,2.95,Simple,0.91,SW
18,387.86,9.15,7.57,1.51,Simple,0.91,NE
19,364.09,60.51,8.49,1.7,Simple,0.91,NE
20,48.67,268.85,8.87,1.77,Simple,0.91,SW
21,208.15,275.65,13.41,2.68,Simple,0.91,SE
22,382.8,361.63,11.53,2.31,Simple,0.91,SE
23,39.27,162.53,9.48,1.9,Simple,0.91,NW
24,226.66,172.81,9.04,1.81,Simple,0.91,NE
25,325.03,248.15,11.66,2.33,Simple,0.9,SE
26,54.33,233.24,7.2,1.44,Simple,0.9,SW
27,126.21,242.14,9.26,1.85,Simple,0.9,SW
28,293.7,180.19,9.22,1.84,Simple,0.9,NE
29,349.93,361.92,8.79,1.76,Simple,0.9,SE
30,188.22,319.65,7.96,1.59,Simple,0.9,SW
31,296.08,135.82,8.46,1.69,Simple,0.9,NE
32,47.85,324.96,16.28,3.26,Simple,0.9,SW
33,166.33,101.89,11.85,2.37,Simple,0.89,NW
34,252.76,5.82,10.71,2.14,Simple,0.89,NE
35,349.17,225.45,13.7,2.74,Simple,0.89,SE
36,389.14,252.28,7.4,1.48,Simple,0.89,SE
37,403.6,116.41,8.25,1.65,Simple,0.89,NE
38,337.35,284.46,8.14,1.63,Simple,0.89,SE
39,90.85,41.76,8.57,1.71,Simple,0.89,NW
40,282.58,169.36,8.53,1.71,Simple,0.89,NE
41,370.56,265.58,8.36,1.67,Simple,0.89,SE
42,301.88,59.87,8.73,1.75,Simple,0.89,NE
43,292.08,297.33,8.82,1.76,Simple,0.89,SE
44,129.88,96.3,11.36,2.27,Simple,0.89,NW
45,184.24,123.65,8.86,1.77,Simple,0.89,NW
46,214.56,187.66,8.58,1.72,Simple,0.88,NE
47,295.41,152.06,7.63,1.53,Simple,0.88,NE
48,230.02,184.39,6.79,1.36,Simple,0.88,NE
49,399.11,249.06,9.24,1.85,Simple,0.88,SE
50,129.94,74.5,8.61,1.72,Simple,0.88,NW
51,288.47,120.23,7.88,1.58,Simple,0.88,NE
52,365.92,183.25,22.72,4.54,Complex,0.88,NE
53,411.07,343.14,8.62,1.72,Simple,0.88,SE
54,148.95,16.6,8.3,1.66,Simple,0.88,NW
55,316.25,125.78,10.32,2.06,Simple,0.88,NE
56,118.74,71.53,8.52,1.7,Simple,0.88,NW
57,257.5,152.46,12.78,2.56,Simple,0.88,NE
58,148.7,101.17,8.72,1.74,Simple,0.88,NW
59,390.22,355.42,9.12,1.82,Simple,0.88,SE
60,319.2,134.58,8.07,1.61,Simple,0.88,NE
61,317.46,379.91,8.86,1.77,Simple,0.88,SE
62,365.41,345.24,9.07,1.81,Simple,0.87,SE
63,407.5,124.05,9.25,1.85,Simple,0.87,NE
64,404.43,279.85,8.68,1.74,Simple,0.87,SE
65,359.79,338.68,7.1,1.42,Simple,0.87,SE
66,17.86,291.84,7.24,1.45,Simple,0.87,SW
67,56.47,64.7,9.88,1.98,Simple,0.87,NW
68,8.37,269.91,9.09,1.82,Simple,0.86,SW
69,215.02,316.76,9.53,1.91,Simple,0.86,SE
70,284.62,355.48,7.91,1.58,Simple,0.86,SE
71,115.14,180.34,8.35,1.67,Simple,0.86,NW
72,177.0,187.04,7.68,1.54,Simple,0.85,NW
73,282.06,93.12,10.53,2.11,Simple,0.85,NE
74,405.75,396.16,9.12,1.82,Simple,0.85,SE
75,376.51,150.5,9.43,1.89,Simple,0.85,NE
76,106.12,374.46,7.47,1.49,Simple,0.85,SW
77,307.3,73.87,8.71,1.74,Simple,0.85,NE
78,300.84,361.69,11.88,2.38,Simple/Overlapping,0.85,SE
79,109.34,317.63,7.39,1.48,Simple,0.85,SW
80,144.09,261.16,7.39,1.48,Simple,0.84,SW
81,112.5,326.48,8.54,1.71,Simple,0.84,SW
82,295.9,329.02,7.61,1.52,Simple,0.84,SE
83,142.92,226.58,7.83,1.57,Simple,0.84,SW
84,119.98,205.57,7.85,1.57,Simple,0.84,NW
85,3.1,290.35,9.21,1.84,Degraded,0.83,SW
86,300.36,184.61,8.5,1.7,Simple,0.83,NE
87,193.13,21.45,9.22,1.84,Simple,0.83,NW
88,345.01,311.38,7.34,1.47,Simple,0.83,SE
89,248.89,100.17,8.19,1.64,Simple,0.82,NE
90,165.84,314.55,6.89,1.38,Simple,0.82,SW
91,222.0,113.34,7.72,1.54,Simple,0.82,NE
92,237.03,243.01,7.7,1.54,Simple,0.81,SE
93,382.27,56.25,8.04,1.61,Simple,0.81,NE
94,276.83,111.98,7.33,1.47,Simple,0.81,NE
95,370.84,412.1,14.79,2.96,Degraded,0.81,SE
96,80.36,309.16,6.68,1.34,Simple,0.81,SW
97,11.7,376.21,9.59,1.92,Simple,0.8,SW
98,69.41,262.51,7.24,1.45,Simple,0.79,SW
99,227.97,302.29,6.68,1.34,Simple,0.79,SE
100,105.16,274.32,6.98,1.4,Simple,0.78,SW
101,340.3,24.69,10.92,2.18,Simple,0.78,NE
102,376.23,137.41,6.62,1.32,Simple,0.77,NE
103,160.23,397.74,7.94,1.59,Simple,0.77,SW
104,413.32,367.74,7.46,1.49,Simple,0.77,SE
105,188.45,28.86,10.25,2.05,Simple/Overlapping,0.77,NW
106,347.87,121.62,9.17,1.83,Simple,0.76,NE
107,296.94,368.38,8.76,1.75,Simple/Overlapping,0.76,SE
108,205.51,256.55,6.83,1.37,Simple/Overlapping,0.76,SW
109,359.07,162.74,6.8,1.36,Simple,0.76,NE
110,362.22,76.66,7.54,1.51,Simple,0.75,NE
111,404.15,140.06,7.49,1.5,Simple,0.75,NE
112,79.87,384.7,7.01,1.4,Simple,0.75,SW
113,331.36,222.7,9.67,1.93,Simple,0.75,SE
114,210.96,262.24,7.93,1.59,Simple/Overlapping,0.75,SE
115,244.52,191.41,7.31,1.46,Simple,0.75,NE
116,33.63,284.11,7.01,1.4,Simple,0.75,SW
117,164.09,407.32,6.19,1.24,Simple,0.74,SW
118,380.31,371.73,7.68,1.54,Simple,0.74,SE
119,366.99,330.82,6.0,1.2,Simple,0.73,SE
120,272.3,180.22,6.4,1.28,Simple,0.73,NE
121,98.8,202.27,7.01,1.4,Simple,0.72,NW
122,222.44,127.11,7.86,1.57,Simple,0.72,NE
123,264.78,280.64,6.63,1.33,Simple,0.71,SE
124,295.7,76.02,6.44,1.29,Simple,0.71,NE
125,326.14,124.74,7.46,1.49,Simple,0.71,NE
126,35.16,64.54,7.12,1.42,Simple,0.71,NW
127,90.42,248.08,6.51,1.3,Simple,0.71,SW
128,325.23,390.38,6.76,1.35,Simple,0.71,SE
129,396.79,298.22,7.22,1.44,Simple,0.7,SE
130,376.75,347.72,7.11,1.42,Simple,0.7,SE
131,245.65,62.71,6.98,1.4,Simple,0.69,NE
132,367.64,151.66,6.92,1.38,Simple,0.69,NE
