ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,55.92,84.1,56.56,11.31,Complex,0.93,NW
2,93.42,238.92,15.29,3.06,Simple,0.93,SW
3,107.4,59.77,23.6,4.72,Complex,0.93,NW
4,165.93,34.2,45.19,9.04,Complex,0.93,NW
5,208.49,202.62,19.3,3.86,Simple,0.92,NE
6,114.9,29.08,9.45,1.89,Simple,0.91,NW
7,136.45,4.57,11.36,2.27,Simple,0.91,NW
8,116.71,241.58,9.44,1.89,Simple,0.91,SW
9,138.37,71.9,11.54,2.31,Simple,0.91,NW
10,302.73,195.95,9.6,1.92,Simple,0.91,NE
11,142.89,231.16,8.68,1.74,Simple,0.91,SW
12,255.98,356.2,14.32,2.86,Simple,0.91,SE
13,259.6,88.26,11.21,2.24,Simple,0.91,NE
14,92.93,351.5,18.11,3.62,Simple,0.91,SW
15,167.73,238.01,10.91,2.18,Simple,0.91,SW
16,235.65,378.0,8.73,1.75,Simple,0.91,SE
17,222.79,407.39,20.25,4.05,Complex,0.91,SE
18,375.39,112.78,9.59,1.92,Simple,0.9,NE
19,295.25,269.2,8.7,1.74,Simple,0.9,SE
20,276.11,71.39,13.36,2.67,Simple,0.9,NE
21,235.37,286.93,9.69,1.94,Simple,0.9,SE
22,364.94,238.16,11.6,2.32,Simple,0.9,SE
23,183.59,167.62,18.92,3.78,Simple,0.9,NW
24,212.85,23.47,8.91,1.78,Simple,0.89,NE
25,170.12,136.91,9.44,1.89,Simple,0.89,NW
26,315.22,61.62,7.87,1.57,Simple,0.89,NE
27,153.93,51.47,11.53,2.31,Simple,0.89,NW
28,157.89,293.97,8.18,1.64,Simple,0.89,SW
29,132.65,49.44,23.43,4.69,Complex,0.89,NW
30,79.05,186.06,15.99,3.2,Simple,0.88,NW
31,215.62,263.88,8.44,1.69,Simple,0.88,SE
32,68.85,403.7,18.12,3.62,Simple,0.88,SW
33,54.57,9.09,18.9,3.78,Simple,0.88,NW
34,351.44,86.43,11.9,2.38,Simple,0.87,NE
35,362.87,321.17,10.49,2.1,Simple,0.87,SE
