ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,25.19,397.84,18.58,3.72,Simple,0.94,SW
2,334.15,192.72,20.42,4.08,Complex,0.94,NE
3,297.75,180.81,58.37,11.67,Complex,0.93,NE
4,122.39,35.28,21.19,4.24,Complex,0.93,NW
5,389.01,221.61,18.55,3.71,Simple,0.93,SE
6,104.15,151.18,21.86,4.37,Complex,0.93,NW
7,272.28,292.83,29.51,5.9,Complex,0.93,SE
8,107.8,266.05,17.94,3.59,Simple,0.92,SW
9,20.28,132.57,13.43,2.69,Simple,0.92,NW
10,360.74,145.75,16.44,3.29,Simple,0.92,NE
11,250.44,154.13,14.08,2.82,Simple,0.92,NE
12,321.04,148.34,15.83,3.17,Simple,0.91,NE
13,80.79,316.99,9.37,1.87,Simple,0.9,SW
14,110.94,213.89,14.49,2.9,Simple,0.9,SW
15,382.33,255.75,19.38,3.88,Simple,0.9,SE
16,53.16,251.97,14.9,2.98,Simple,0.9,SW
17,22.61,318.01,12.51,2.5,Simple,0.9,SW
18,38.28,164.95,9.93,1.99,Simple,0.9,NW
19,133.38,258.7,13.38,2.68,Simple,0.9,SW
20,143.09,74.51,11.77,2.35,Simple,0.9,NW
21,152.06,127.33,9.93,1.99,Simple,0.9,NW
22,53.29,311.66,10.72,2.14,Simple,0.9,SW
23,80.29,288.67,16.3,3.26,Simple,0.9,SW
24,177.09,59.4,8.83,1.77,Simple,0.9,NW
25,65.22,284.87,15.35,3.07,Simple,0.89,SW
26,343.25,296.83,12.58,2.52,Simple,0.89,SE
27,43.17,262.22,9.96,1.99,Simple,0.89,SW
28,100.17,305.28,8.99,1.8,Simple,0.88,SW
29,8.89,341.77,9.81,1.96,Simple,0.88,SW
30,73.9,303.4,8.68,1.74,Simple,0.87,SW
31,84.22,333.47,8.24,1.65,Simple,0.86,SW
32,55.56,31.99,9.11,1.82,Simple,0.85,NW
33,323.93,348.19,7.97,1.59,Simple,0.85,SE
34,34.18,267.47,8.7,1.74,Simple,0.85,SW
35,330.48,294.23,7.71,1.54,Simple,0.83,SE
36,17.26,188.3,8.38,1.68,Simple,0.83,NW
37,274.67,315.06,12.3,2.46,Simple,0.83,SE
38,200.96,292.21,9.02,1.8,Simple,0.82,SW
39,333.49,62.4,32.1,6.42,Complex,0.82,NE
40,350.89,18.4,14.58,2.92,Simple,0.82,NE
41,386.7,320.34,7.67,1.53,Simple,0.82,SE
42,194.64,278.0,8.84,1.77,Simple,0.82,SW
43,109.58,64.83,9.22,1.84,Simple,0.82,NW
44,60.18,231.57,8.35,1.67,Simple,0.81,SW
45,143.74,163.63,10.83,2.17,Simple,0.81,NW
46,337.95,214.77,19.5,3.9,Simple,0.79,SE
47,63.48,312.56,8.56,1.71,Simple,0.79,SW
48,199.49,269.46,7.23,1.45,Simple,0.79,SW
49,8.66,104.68,11.73,2.35,Simple,0.79,NW
50,10.7,216.59,8.64,1.73,Simple,0.79,SW
51,345.87,286.62,8.37,1.67,Simple,0.79,SE
52,126.23,175.67,7.24,1.45,Simple,0.78,NW
53,396.57,65.52,8.86,1.77,Simple,0.78,NE
54,159.41,11.9,8.39,1.68,Simple,0.78,NW
55,277.79,210.87,13.73,2.75,Simple,0.77,SE
56,15.14,323.11,8.46,1.69,Simple,0.77,SW
57,386.57,91.88,8.08,1.62,Simple,0.77,NE
58,20.6,272.83,7.32,1.46,Simple,0.76,SW
59,337.6,286.62,9.74,1.95,Simple,0.75,SE
60,25.65,232.61,7.23,1.45,Simple,0.73,SW
61,149.96,237.47,8.08,1.62,Simple,0.72,SW
62,369.88,330.0,16.06,3.21,Simple,0.72,SE
63,9.19,268.62,8.2,1.64,Simple/Overlapping,0.72,SW
64,16.47,108.46,7.14,1.43,Simple,0.71,NW
65,30.74,36.39,8.3,1.66,Simple,0.71,NW
66,89.11,384.73,6.93,1.39,Simple,0.69,SW
67,117.64,346.65,7.2,1.44,Simple,0.69,SW
68,40.32,12.51,10.55,2.11,Simple,0.68,NW
69,190.27,323.69,8.98,1.8,Simple,0.68,SW
70,338.03,319.0,22.34,4.47,Complex,0.68,SE
71,337.92,391.53,11.73,2.35,Simple,0.67,SE
72,195.42,147.96,7.33,1.47,Simple,0.67,NW
73,122.8,6.56,7.23,1.45,Simple,0.66,NW
74,381.99,368.34,25.05,5.01,Complex,0.66,SE
