ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,180.46,266.64,34.83,6.97,Complex,0.92,SW
2,228.03,111.13,12.18,2.44,Simple,0.91,NE
3,157.97,19.92,17.1,3.42,Simple/Overlapping,0.9,NW
4,214.25,101.54,9.78,1.96,Simple,0.9,NE
5,142.64,223.12,10.23,2.05,Simple,0.9,SW
6,179.58,59.81,8.01,1.6,Simple,0.9,NW
7,221.99,183.91,9.49,1.9,Simple,0.89,NE
8,216.96,352.36,13.01,2.6,Simple,0.88,SE
9,181.19,347.87,9.59,1.92,Simple,0.88,SW
10,137.2,69.11,16.44,3.29,Simple,0.87,NW
11,243.31,23.01,8.67,1.73,Simple,0.87,NE
12,203.01,66.08,12.17,2.43,Simple,0.87,NW
13,157.78,69.75,11.52,2.3,Simple/Overlapping,0.87,NW
14,163.83,7.9,23.7,4.74,Degraded/Overlapping,0.87,NW
15,133.28,32.12,11.71,2.34,Simple,0.86,NW
16,139.77,267.23,9.78,1.96,Simple,0.86,SW
17,148.82,196.95,10.74,2.15,Simple,0.86,NW
18,160.9,187.55,10.5,2.1,Simple,0.86,NW
19,199.78,148.45,9.43,1.89,Simple,0.86,NW
20,127.97,281.63,10.63,2.13,Simple,0.86,SW
21,233.81,70.5,11.66,2.33,Simple,0.85,NE
22,143.31,129.85,7.77,1.55,Simple,0.85,NW
23,213.18,155.94,7.64,1.53,Simple,0.85,NE
24,182.61,91.91,9.66,1.93,Simple,0.84,NW
25,120.63,251.47,15.32,3.06,Simple,0.84,SW
26,238.7,399.24,19.17,3.83,Simple,0.84,SE
27,191.14,54.1,6.97,1.39,Simple,0.84,NW
28,137.05,102.88,8.57,1.71,Simple,0.83,NW
29,118.71,299.9,9.84,1.97,Simple,0.83,SW
30,177.14,44.67,14.97,2.99,Simple,0.82,NW
31,178.47,13.1,7.86,1.57,Simple,0.8,NW
32,148.64,46.81,10.59,2.12,Simple,0.8,NW
33,121.83,154.15,8.07,1.61,Simple,0.8,NW
34,208.25,76.43,10.04,2.01,Simple,0.79,NE
35,194.3,404.38,23.59,4.72,Complex,0.79,SW
36,214.7,283.09,8.97,1.79,Simple,0.79,SE
37,251.84,97.72,11.36,2.27,Simple,0.78,NE
38,124.9,102.25,15.0,3.0,Simple/Overlapping,0.78,NW
39,160.77,96.58,8.81,1.76,Simple,0.77,NW
40,160.02,226.39,9.42,1.88,Simple,0.77,SW
41,204.06,362.48,8.19,1.64,Simple,0.77,SW
42,201.8,181.9,7.52,1.5,Simple,0.76,NW
43,297.89,263.04,9.52,1.9,Simple,0.76,SE
44,158.85,303.24,6.55,1.31,Simple,0.75,SW
45,162.54,170.9,10.35,2.07,Simple/Overlapping,0.75,NW
46,208.89,329.1,9.86,1.97,Simple,0.75,SE
47,265.29,411.94,12.35,2.47,Degraded,0.74,SE
48,129.53,173.17,7.45,1.49,Simple,0.74,NW
49,300.7,362.83,13.23,2.65,Simple,0.73,SE
50,175.28,391.49,12.74,2.55,Simple,0.72,SW
51,131.79,50.54,6.7,1.34,Simple,0.72,NW
52,280.03,383.42,7.7,1.54,Simple,0.71,SE
53,149.87,116.58,6.86,1.37,Simple,0.7,NW
54,258.19,85.45,7.23,1.45,Simple,0.69,NE
55,120.75,286.99,6.97,1.39,Simple,0.69,SW
56,124.42,63.78,9.54,1.91,Simple,0.68,NW
57,187.41,131.29,6.83,1.37,Simple,0.67,NW
58,188.49,111.74,8.18,1.64,Simple,0.67,NW
59,224.79,357.52,7.59,1.52,Simple,0.66,SE
60,132.28,238.23,7.08,1.42,Simple,0.66,SW
61,188.79,241.35,8.74,1.75,Simple,0.66,SW
62,186.9,34.45,10.39,2.08,Simple,0.63,NW
63,226.81,102.77,7.25,1.45,Simple,0.63,NE
64,124.29,310.71,10.16,2.03,Simple/Overlapping,0.63,SW
65,142.22,280.48,8.1,1.62,Simple,0.62,SW
66,147.96,87.16,13.39,2.68,Simple,0.62,NW
67,237.86,54.31,7.3,1.46,Simple,0.61,NE
68,141.82,13.99,23.46,4.69,Complex/Overlapping,0.6,NW
69,214.16,253.04,18.24,3.65,Simple,0.6,SE
70,203.48,286.42,5.88,1.18,Simple,0.59,SW
71,186.79,121.97,11.84,2.37,Simple,0.58,NW
72,158.05,115.56,8.93,1.79,Simple,0.56,NW
73,136.78,243.78,5.89,1.18,Simple,0.56,SW
74,178.07,327.97,13.13,2.63,Simple,0.55,SW
75,253.97,403.6,8.05,1.61,Simple,0.55,SE
76,200.3,155.64,7.2,1.44,Simple,0.55,NW
77,165.21,149.38,6.89,1.38,Simple,0.54,NW
78,129.82,7.81,7.11,1.42,Simple,0.54,NW
79,210.9,130.92,6.36,1.27,Simple,0.54,NE
80,145.72,122.6,6.94,1.39,Simple,0.53,NW
81,200.84,99.04,5.87,1.17,Simple,0.52,NW
82,185.69,5.44,8.8,1.76,Simple/Overlapping,0.51,NW
83,224.32,285.51,6.35,1.27,Simple,0.51,SE
84,291.84,360.61,8.2,1.64,Simple,0.51,SE
85,128.93,192.7,8.34,1.67,Simple,0.5,NW
86,155.31,71.65,10.56,2.11,Degraded/Overlapping,0.5,NW
87,164.01,176.87,13.76,2.75,Simple/Overlapping,0.49,NW
88,228.01,82.21,6.7,1.34,Simple,0.49,NE
89,214.5,121.29,8.27,1.65,Simple,0.48,NE
90,161.8,395.79,6.51,1.3,Simple,0.48,SW
91,220.76,388.55,5.59,1.12,Simple,0.48,SE
92,180.59,81.09,5.77,1.15,Simple,0.47,NW
93,172.38,378.5,8.28,1.66,Simple,0.45,SW
94,200.59,370.82,9.2,1.84,Simple,0.45,SW
95,240.67,348.01,11.95,2.39,Simple,0.45,SE
96,220.82,76.95,7.3,1.46,Simple,0.44,NE
97,247.11,374.12,6.07,1.21,Simple,0.44,SE
98,122.14,7.78,6.44,1.29,Simple,0.43,NW
99,259.06,394.18,6.65,1.33,Simple,0.43,SE
100,171.58,118.89,6.48,1.3,Simple,0.42,NW
101,244.39,58.34,6.19,1.24,Simple,0.41,NE
102,230.6,52.9,6.31,1.26,Simple,0.41,NE
103,231.37,148.13,7.96,1.59,Simple,0.41,NE
104,281.63,120.9,6.1,1.22,Simple,0.4,NE
105,157.79,123.85,7.26,1.45,Simple,0.4,NW
106,273.52,359.55,7.5,1.5,Simple,0.4,SE
107,185.29,365.45,9.07,1.81,Simple,0.39,SW
108,200.31,105.56,6.5,1.3,Simple,0.39,NW
109,138.74,140.41,6.21,1.24,Simple,0.39,NW
110,184.95,5.36,10.09,2.02,Simple/Overlapping,0.38,NW
111,237.98,412.1,9.63,1.93,Simple,0.38,SE
112,290.64,78.56,9.02,1.8,Simple,0.38,NE
113,143.71,315.94,7.59,1.52,Simple,0.37,SW
114,119.97,129.96,9.43,1.89,Simple,0.37,NW
115,271.54,405.56,6.56,1.31,Simple,0.37,SE
116,244.84,50.82,6.14,1.23,Simple,0.37,NE
117,284.35,8.37,6.3,1.26,Simple,0.37,NE
118,247.9,41.76,6.83,1.37,Simple,0.36,NE
119,139.24,17.56,17.52,3.5,Simple/Overlapping,0.36,NW
