ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,222.46,377.27,7.66,1.53,Simple,0.93,SE
2,169.72,127.09,9.07,1.81,Simple,0.93,NW
3,247.92,245.91,10.33,2.07,Simple,0.93,SE
4,130.81,327.5,9.75,1.95,Simple,0.92,SW
5,216.74,332.03,7.1,1.42,Simple,0.91,SE
6,295.11,359.09,13.05,2.61,Simple,0.91,SE
7,260.41,17.25,9.24,1.85,Simple,0.91,NE
8,265.29,288.0,10.43,2.09,Simple,0.91,SE
9,130.12,97.11,9.31,1.86,Simple,0.89,NW
10,116.09,69.41,7.69,1.54,Simple,0.89,NW
11,306.45,127.79,7.85,1.57,Simple,0.89,NE
12,151.34,49.89,6.97,1.39,Simple,0.88,NW
13,177.29,87.25,8.2,1.64,Simple,0.88,NW
14,252.09,84.13,7.31,1.46,Simple,0.88,NE
15,173.22,135.58,7.09,1.42,Simple,0.88,NW
16,273.41,386.03,8.96,1.79,Simple,0.88,SE
17,140.12,100.01,10.66,2.13,Simple,0.87,NW
18,194.67,395.04,11.75,2.35,Simple,0.87,SW
19,235.4,252.62,6.82,1.36,Simple,0.87,SE
20,127.4,220.41,7.4,1.48,Simple,0.87,SW
21,275.36,359.43,8.34,1.67,Simple,0.86,SE
22,286.85,225.48,16.25,3.25,Simple,0.86,SE
23,189.95,258.26,7.25,1.45,Simple,0.86,SW
24,212.95,261.55,7.91,1.58,Simple,0.85,SE
25,212.24,218.48,7.46,1.49,Simple,0.84,SE
26,219.22,166.71,8.24,1.65,Simple,0.84,NE
27,195.71,210.65,7.0,1.4,Simple,0.83,SW
28,164.1,29.61,6.68,1.34,Simple,0.83,NW
29,231.55,232.7,6.93,1.39,Simple,0.83,SE
30,172.14,374.08,7.83,1.57,Simple,0.83,SW
31,250.53,321.67,7.89,1.58,Simple,0.83,SE
32,273.76,5.63,10.33,2.07,Simple,0.83,NE
33,141.43,338.7,6.06,1.21,Simple,0.82,SW
34,179.86,361.53,7.31,1.46,Simple,0.82,SW
35,236.1,196.07,6.3,1.26,Simple,0.82,NE
36,284.74,377.56,7.63,1.53,Simple,0.82,SE
37,258.55,319.44,7.66,1.53,Simple,0.81,SE
38,275.35,379.11,7.14,1.43,Simple,0.8,SE
39,166.86,95.39,7.76,1.55,Simple/Overlapping,0.78,NW
40,219.63,18.32,6.43,1.29,Simple,0.77,NE
41,281.73,350.14,6.62,1.32,Simple,0.76,SE
42,242.24,223.44,6.89,1.38,Simple,0.76,SE
43,217.21,343.49,6.84,1.37,Simple,0.75,SE
44,131.97,32.28,7.39,1.48,Simple,0.75,NW
45,152.77,411.95,6.67,1.33,Simple,0.74,SW
46,173.49,266.36,5.93,1.19,Simple,0.73,SW
47,140.37,234.08,6.93,1.39,Simple,0.73,SW
48,162.85,368.41,5.98,1.2,Simple,0.73,SW
49,282.73,212.78,6.21,1.24,Simple,0.72,SE
50,238.8,8.5,9.89,1.98,Simple,0.72,NE
51,234.7,260.41,5.86,1.17,Simple,0.72,SE
52,288.62,30.95,6.48,1.3,Simple,0.71,NE
53,175.35,368.38,5.78,1.16,Simple,0.7,SW
54,121.5,23.7,6.01,1.2,Simple,0.7,NW
55,170.6,44.85,5.85,1.17,Simple,0.7,NW
56,292.93,11.29,7.24,1.45,Simple,0.68,NE
57,132.67,38.75,7.18,1.44,Simple,0.68,NW
58,159.64,92.72,5.88,1.18,Simple,0.68,NW
59,282.2,13.54,6.59,1.32,Simple,0.66,NE
60,158.16,120.94,7.05,1.41,Simple,0.65,NW
61,165.34,90.04,6.78,1.36,Simple/Overlapping,0.64,NW
62,223.34,267.58,5.85,1.17,Simple,0.63,SE
63,116.06,305.57,5.84,1.17,Simple,0.62,SW
64,290.46,205.95,5.46,1.09,Simple,0.61,NE
65,230.89,265.0,6.52,1.3,Simple,0.6,SE
66,256.25,298.25,5.83,1.17,Simple,0.6,SE
67,247.26,200.55,5.46,1.09,Simple,0.59,NE
68,139.59,302.94,5.54,1.11,Simple,0.58,SW
69,194.25,201.84,5.73,1.15,Simple,0.57,NW
70,147.71,330.68,5.49,1.1,Simple,0.57,SW
71,201.64,188.09,5.49,1.1,Simple,0.57,NW
72,286.19,385.22,6.09,1.22,Simple,0.55,SE
73,195.53,353.23,5.63,1.13,Simple,0.53,SW
74,208.26,397.22,5.28,1.06,Simple,0.52,SE
75,238.33,405.23,5.63,1.13,Simple,0.5,SE
76,241.97,17.47,5.71,1.14,Simple,0.5,NE
77,192.15,130.22,5.5,1.1,Simple,0.49,NW
78,141.31,327.91,5.71,1.14,Simple,0.45,SW
79,178.34,178.86,5.27,1.05,Simple,0.44,NW
80,252.37,302.4,5.68,1.14,Simple,0.44,SE
81,263.1,88.49,6.25,1.25,Simple,0.43,NE
82,253.25,256.21,5.3,1.06,Simple,0.43,SE
83,194.43,251.44,5.98,1.2,Simple,0.42,SW
84,160.53,2.26,8.92,1.78,Degraded,0.42,NW
85,174.21,107.24,5.01,1.0,Simple,0.4,NW
86,260.53,247.32,5.63,1.13,Simple,0.37,SE
87,243.04,288.91,5.42,1.08,Simple,0.37,SE
88,246.15,295.82,5.02,1.0,Simple,0.36,SE
