ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,240.46,96.64,10.87,2.17,Simple,0.93,NE
2,243.46,180.83,28.21,5.64,Complex,0.93,NE
3,274.6,250.87,38.04,7.61,Complex,0.93,SE
4,121.53,276.77,26.31,5.26,Complex,0.93,SW
5,170.43,87.49,19.77,3.95,Simple,0.92,NW
6,308.62,260.5,10.61,2.12,Simple,0.91,SE
7,152.27,39.35,18.38,3.68,Simple,0.9,NW
8,219.8,176.61,15.01,3.0,Simple,0.9,NE
9,105.69,25.29,10.39,2.08,Simple,0.9,NW
10,261.4,230.91,12.19,2.44,Simple,0.9,SE
11,150.02,404.37,8.45,1.69,Simple,0.9,SW
12,303.49,168.71,15.16,3.03,Simple,0.9,NE
13,279.29,204.44,34.59,6.92,Complex,0.89,NE
14,248.24,229.74,15.83,3.17,Simple,0.89,SE
15,141.55,237.68,16.03,3.21,Simple,0.89,SW
16,182.66,148.68,11.7,2.34,Simple,0.89,NW
17,346.79,111.62,9.84,1.97,Simple,0.89,NE
18,120.25,343.96,53.63,10.73,Complex/Overlapping,0.89,SW
19,110.63,258.13,11.03,2.21,Simple,0.89,SW
20,346.88,79.72,18.35,3.67,Simple,0.89,NE
21,302.38,305.85,9.73,1.95,Simple,0.88,SE
22,146.69,183.74,19.35,3.87,Simple/Overlapping,0.88,NW
23,211.02,281.07,9.57,1.91,Simple,0.88,SE
24,230.86,27.94,15.71,3.14,Simple,0.88,NE
25,345.87,62.46,11.35,2.27,Simple,0.88,NE
26,204.58,247.12,8.86,1.77,Simple,0.88,SW
27,287.55,46.8,9.97,1.99,Simple,0.88,NE
28,139.43,265.99,20.49,4.1,Complex,0.87,SW
29,171.36,198.19,15.95,3.19,Simple,0.87,NW
30,77.25,205.57,22.93,4.59,Complex/Overlapping,0.86,NW
31,167.73,210.65,12.9,2.58,Simple,0.86,SW
32,178.78,105.47,12.85,2.57,Simple,0.86,NW
33,181.78,259.84,9.75,1.95,Simple,0.86,SW
34,224.79,147.19,11.06,2.21,Simple,0.86,NE
35,306.25,85.21,16.43,3.29,Simple,0.86,NE
36,246.53,165.43,7.77,1.55,Simple,0.85,NE
37,156.82,101.9,10.35,2.07,Simple,0.85,NW
38,294.62,223.55,7.83,1.57,Simple,0.85,SE
39,287.91,73.91,7.44,1.49,Simple,0.85,NE
40,193.69,232.71,9.37,1.87,Simple,0.84,SW
41,172.19,9.94,8.66,1.73,Simple,0.84,NW
42,94.71,33.62,7.33,1.47,Simple,0.84,NW
43,303.23,273.98,8.75,1.75,Simple,0.84,SE
44,224.36,125.99,25.83,5.17,Complex,0.84,NE
45,140.1,385.71,8.08,1.62,Simple,0.83,SW
46,126.43,159.2,7.87,1.57,Simple,0.83,NW
47,243.82,243.33,9.18,1.84,Simple,0.83,SE
48,275.49,355.36,8.37,1.67,Simple,0.83,SE
49,82.01,365.1,9.65,1.93,Simple,0.82,SW
50,173.77,286.58,6.49,1.3,Simple,0.82,SW
51,66.03,91.9,13.78,2.76,Simple,0.82,NW
52,198.68,137.78,12.02,2.4,Simple,0.81,NW
53,337.82,259.66,8.31,1.66,Simple,0.81,SE
54,336.05,177.93,7.39,1.48,Simple,0.8,NE
55,161.52,6.42,8.94,1.79,Simple,0.8,NW
56,106.69,176.62,17.6,3.52,Simple/Overlapping,0.79,NW
57,95.37,230.78,10.71,2.14,Simple,0.79,SW
58,334.03,184.83,8.51,1.7,Simple,0.79,NE
59,86.61,380.9,22.61,4.52,Complex,0.79,SW
60,186.8,90.27,18.41,3.68,Simple,0.78,NW
61,340.07,139.89,8.1,1.62,Simple,0.77,NE
62,150.42,196.61,15.33,3.07,Simple/Overlapping,0.77,NW
63,166.09,242.87,7.78,1.56,Simple,0.77,SW
64,265.9,342.43,8.71,1.74,Simple,0.77,SE
65,325.35,122.23,7.45,1.49,Simple,0.77,NE
66,193.61,186.99,7.66,1.53,Simple,0.77,NW
67,100.14,291.59,6.59,1.32,Simple,0.77,SW
68,190.05,128.03,6.25,1.25,Simple,0.77,NW
69,178.49,45.83,7.0,1.4,Simple,0.77,NW
70,163.83,152.88,7.18,1.44,Simple,0.76,NW
71,208.57,185.83,8.2,1.64,Simple,0.76,NE
72,198.04,207.86,14.04,2.81,Simple/Overlapping,0.76,NW
73,346.92,27.46,7.45,1.49,Simple,0.76,NE
74,213.75,14.9,9.86,1.97,Simple,0.74,NE
75,169.74,253.95,8.7,1.74,Simple,0.74,SW
76,107.81,363.77,12.06,2.41,Simple,0.74,SW
77,345.27,191.78,6.94,1.39,Simple,0.73,NE
78,301.78,265.55,6.56,1.31,Simple,0.73,SE
79,197.83,168.41,14.64,2.93,Simple,0.73,NW
80,245.65,310.07,7.08,1.42,Simple,0.72,SE
81,82.28,194.12,11.77,2.35,Simple/Overlapping,0.72,NW
82,343.84,404.15,21.04,4.21,Complex/Overlapping,0.72,SE
83,253.79,306.66,7.1,1.42,Simple,0.72,SE
84,196.82,241.43,9.11,1.82,Simple,0.71,SW
85,156.93,153.2,8.22,1.64,Simple,0.71,NW
86,330.33,401.88,6.55,1.31,Simple,0.7,SE
87,156.84,295.49,9.36,1.87,Simple,0.69,SW
88,91.01,264.38,8.1,1.62,Simple,0.68,SW
89,153.97,277.52,8.05,1.61,Simple,0.68,SW
90,284.18,4.75,18.92,3.78,Degraded,0.67,NE
91,169.23,310.46,7.66,1.53,Simple,0.67,SW
92,119.07,186.63,14.88,2.98,Simple,0.64,NW
93,307.49,383.05,5.82,1.16,Simple,0.64,SE
94,104.16,219.72,6.02,1.2,Simple,0.64,SW
95,235.3,345.38,8.35,1.67,Simple,0.63,SE
96,316.45,387.82,7.16,1.43,Simple,0.63,SE
97,131.25,199.63,18.2,3.64,Simple/Overlapping,0.62,NW
98,223.84,163.17,5.59,1.12,Simple,0.61,NE
99,170.31,146.09,6.76,1.35,Simple,0.6,NW
100,235.7,238.8,8.22,1.64,Simple,0.6,SE
101,72.9,405.15,19.5,3.9,Simple,0.59,SW
102,187.57,277.67,13.16,2.63,Simple,0.59,SW
103,168.42,362.64,6.0,1.2,Simple,0.58,SW
104,326.73,396.9,6.55,1.31,Simple,0.58,SE
105,298.55,230.39,9.06,1.81,Simple,0.58,SE
106,176.55,300.55,7.0,1.4,Simple,0.57,SW
107,159.47,285.78,7.31,1.46,Simple,0.57,SW
108,328.21,305.25,6.29,1.26,Simple,0.57,SE
109,275.94,294.4,6.64,1.33,Simple,0.57,SE
110,100.39,253.79,7.1,1.42,Simple,0.55,SW
111,190.53,158.77,6.86,1.37,Simple,0.55,NW
112,138.16,203.04,5.94,1.19,Simple,0.54,NW
113,210.92,239.84,7.01,1.4,Simple/Overlapping,0.54,SE
114,97.81,323.84,6.18,1.24,Simple,0.53,SW
115,335.1,123.1,8.36,1.67,Simple,0.53,NE
116,159.6,229.85,7.45,1.49,Simple,0.52,SW
117,95.23,200.48,7.68,1.54,Simple,0.52,NW
118,350.06,126.23,10.03,2.01,Simple,0.52,NE
119,323.04,180.32,6.35,1.27,Simple,0.51,NE
