ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,140.39,213.4,23.6,4.72,Complex,0.95,SW
2,98.92,168.24,22.25,4.45,Complex,0.93,NW
3,214.32,280.03,20.83,4.17,Complex,0.92,SE
4,200.42,304.53,11.17,2.23,Simple,0.92,SW
5,168.69,194.91,10.18,2.04,Simple,0.92,NW
6,85.27,358.46,11.41,2.28,Simple,0.92,SW
7,147.28,378.02,11.54,2.31,Simple,0.91,SW
8,189.25,162.59,25.68,5.14,Complex,0.9,NW
9,364.31,303.69,19.22,3.84,Simple,0.9,SE
10,84.8,379.21,12.07,2.41,Simple,0.89,SW
11,387.91,16.49,8.4,1.68,Simple,0.89,NE
12,288.52,167.91,25.04,5.01,Complex,0.89,NE
13,165.76,391.19,8.33,1.67,Simple,0.88,SW
14,62.8,309.13,13.93,2.79,Simple,0.88,SW
15,259.55,245.47,34.98,7.0,Complex,0.88,SE
16,100.48,337.4,9.65,1.93,Simple,0.87,SW
17,99.96,393.13,9.51,1.9,Simple,0.87,SW
18,217.46,88.66,15.0,3.0,Simple,0.86,NE
19,376.1,220.18,17.78,3.56,Simple,0.86,SE
20,54.11,379.87,9.86,1.97,Simple,0.86,SW
21,33.56,388.16,7.95,1.59,Simple,0.84,SW
22,24.76,191.99,8.83,1.77,Simple,0.84,NW
23,178.36,393.89,7.34,1.47,Simple,0.83,SW
24,184.07,410.34,8.3,1.66,Simple,0.82,SW
25,344.74,221.23,17.27,3.45,Simple,0.82,SE
26,100.28,317.31,8.44,1.69,Simple,0.82,SW
27,113.32,370.67,9.37,1.87,Simple,0.82,SW
28,245.44,173.29,22.13,4.43,Complex,0.81,NE
29,67.0,45.36,19.34,3.87,Simple/Overlapping,0.8,NW
30,81.83,241.75,8.01,1.6,Simple,0.8,SW
31,44.18,286.27,7.06,1.41,Simple,0.79,SW
32,106.12,323.37,11.94,2.39,Simple,0.79,SW
33,114.98,327.72,8.74,1.75,Simple,0.78,SW
34,381.17,201.67,16.05,3.21,Simple,0.78,NE
35,67.45,363.09,24.21,4.84,Complex/Overlapping,0.78,SW
36,262.44,264.31,6.3,1.26,Simple,0.77,SE
37,77.7,341.23,6.95,1.39,Simple,0.77,SW
38,146.27,282.92,7.25,1.45,Simple,0.76,SW
39,148.35,81.07,14.02,2.8,Simple,0.76,NW
40,321.28,347.48,114.53,22.91,Complex,0.74,SE
41,255.3,182.95,5.78,1.16,Simple/Overlapping,0.73,NE
42,224.24,290.43,8.12,1.62,Simple,0.73,SE
43,247.37,110.81,29.81,5.96,Complex,0.73,NE
44,29.75,183.73,7.07,1.41,Simple,0.72,NW
45,94.26,374.57,8.34,1.67,Simple,0.7,SW
46,350.14,32.49,23.71,4.74,Complex,0.68,NE
47,278.05,111.5,16.05,3.21,Simple,0.68,NE
48,242.27,228.05,16.0,3.2,Simple/Overlapping,0.65,SE
49,336.2,205.59,25.57,5.11,Complex,0.65,NE
50,97.86,217.05,7.28,1.46,Simple,0.65,SW
51,141.52,329.92,6.12,1.22,Simple,0.65,SW
52,71.25,371.09,9.5,1.9,Simple/Overlapping,0.65,SW
53,163.27,337.45,14.53,2.91,Simple,0.64,SW
54,301.34,185.01,24.14,4.83,Complex,0.63,NE
55,89.31,94.94,43.7,8.74,Complex,0.63,NW
56,364.53,83.5,25.42,5.08,Complex,0.62,NE
57,156.11,412.16,7.9,1.58,Simple,0.62,SW
58,150.52,292.32,7.25,1.45,Simple,0.62,SW
59,144.55,408.19,9.33,1.87,Simple,0.61,SW
60,20.21,253.67,7.8,1.56,Simple,0.61,SW
61,135.03,309.86,8.35,1.67,Simple,0.58,SW
62,192.12,389.28,7.08,1.42,Simple,0.58,SW
63,121.77,312.55,6.94,1.39,Simple,0.55,SW
64,97.22,49.17,12.36,2.47,Simple,0.54,NW
65,143.29,303.09,10.61,2.12,Simple,0.54,SW
66,310.76,210.38,10.65,2.13,Simple,0.53,SE
67,173.81,318.63,9.36,1.87,Simple,0.53,SW
68,132.2,338.42,7.77,1.55,Simple,0.52,SW
69,274.73,280.08,43.75,8.75,Complex,0.52,SE
70,261.23,412.47,18.31,3.66,Degraded,0.52,SE
71,161.61,75.29,5.55,1.11,Simple,0.52,NW
72,229.06,148.91,20.41,4.08,Complex,0.51,NE
73,100.78,364.73,8.17,1.63,Simple/Overlapping,0.49,SW
74,60.51,60.89,25.6,5.12,Complex/Overlapping,0.48,NW
75,233.73,133.56,15.13,3.03,Simple,0.48,NE
76,187.05,73.41,6.86,1.37,Simple,0.47,NW
77,165.07,402.3,6.59,1.32,Simple,0.47,SW
78,50.26,353.52,6.85,1.37,Simple,0.46,SW
79,280.93,385.99,5.26,1.05,Simple,0.46,SE
80,41.13,266.21,6.34,1.27,Simple,0.45,SW
81,110.51,242.49,8.29,1.66,Simple,0.44,SW
82,234.58,215.76,16.41,3.28,Simple/Overlapping,0.44,SE
83,201.18,397.68,8.01,1.6,Simple,0.44,SW
84,283.15,198.81,6.3,1.26,Simple,0.43,NE
