ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,107.31,212.59,10.69,2.14,Simple,0.92,SW
2,347.92,361.38,22.31,4.46,Complex,0.91,SE
3,65.4,378.0,8.06,1.61,Simple,0.91,SW
4,33.5,396.48,8.77,1.75,Simple,0.91,SW
5,251.38,147.75,23.01,4.6,Complex,0.91,NE
6,221.17,363.28,10.43,2.09,Simple,0.9,SE
7,279.68,60.47,25.32,5.06,Complex,0.9,NE
8,66.09,332.42,9.06,1.81,Simple,0.9,SW
9,190.48,392.02,7.49,1.5,Simple,0.9,SW
10,52.46,402.95,46.06,9.21,Degraded,0.9,SW
11,316.6,27.21,23.32,4.66,Complex,0.9,NE
12,36.51,212.2,20.21,4.04,Complex,0.89,SW
13,249.29,176.47,16.7,3.34,Simple,0.89,NE
14,327.56,70.45,20.88,4.18,Complex,0.88,NE
15,292.69,343.51,17.29,3.46,Simple,0.88,SE
16,73.63,289.37,6.87,1.37,Simple,0.88,SW
17,336.74,308.72,14.83,2.97,Simple,0.88,SE
18,167.84,92.28,16.01,3.2,Simple,0.88,NW
19,261.8,372.07,14.82,2.96,Simple,0.87,SE
20,188.4,132.52,19.31,3.86,Simple,0.87,NW
21,198.15,183.99,19.42,3.88,Simple,0.87,NW
22,169.74,142.98,17.05,3.41,Simple/Overlapping,0.87,NW
23,130.84,62.83,24.06,4.81,Complex,0.87,NW
24,117.57,172.1,7.01,1.4,Simple,0.86,NW
25,327.01,143.56,11.1,2.22,Simple,0.86,NE
26,375.39,384.36,18.98,3.8,Simple,0.86,SE
27,390.93,302.99,11.0,2.2,Simple,0.85,SE
28,353.89,388.47,25.08,5.02,Complex,0.85,SE
29,132.95,409.97,10.48,2.1,Simple,0.84,SW
30,24.71,358.3,8.42,1.68,Simple,0.84,SW
31,388.8,345.92,14.34,2.87,Simple,0.84,SE
32,99.08,409.64,10.73,2.15,Simple,0.83,SW
33,371.87,157.41,25.47,5.09,Complex/Overlapping,0.83,NE
34,254.96,282.84,13.27,2.65,Simple,0.83,SE
35,57.63,65.85,11.35,2.27,Simple,0.81,NW
36,33.29,314.98,6.4,1.28,Simple,0.81,SW
37,364.18,176.66,9.06,1.81,Simple,0.8,NE
