ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,137.51,348.65,27.04,5.41,Complex,0.94,SW
2,135.67,40.29,23.91,4.78,Complex,0.93,NW
3,107.83,316.13,24.51,4.9,Complex,0.93,SW
4,298.09,74.86,10.45,2.09,Simple,0.92,NE
5,335.41,162.08,52.67,10.53,Degraded,0.92,NE
6,330.11,298.21,10.53,2.11,Simple,0.91,SE
7,75.44,353.82,9.59,1.92,Simple,0.91,SW
8,230.05,400.08,15.57,3.11,Simple,0.91,SE
9,282.65,335.38,12.81,2.56,Simple,0.9,SE
10,104.9,403.27,11.01,2.2,Simple,0.9,SW
11,272.25,393.81,8.82,1.76,Simple,0.9,SE
12,344.9,120.78,14.91,2.98,Simple,0.89,NE
13,268.69,127.28,6.95,1.39,Simple,0.89,NE
14,236.82,348.99,20.72,4.14,Complex,0.89,SE
15,323.19,91.14,10.07,2.01,Simple,0.89,NE
16,132.91,158.21,14.84,2.97,Simple,0.89,NW
17,111.35,237.62,8.39,1.68,Simple,0.89,SW
18,172.62,95.53,10.48,2.1,Simple,0.89,NW
19,101.02,360.85,15.75,3.15,Simple,0.88,SW
20,168.76,222.2,9.32,1.86,Simple,0.88,SW
21,259.36,354.16,14.06,2.81,Simple,0.88,SE
22,338.73,97.28,17.85,3.57,Simple/Overlapping,0.87,NE
23,288.6,393.69,8.12,1.62,Simple,0.87,SE
24,159.52,396.05,10.95,2.19,Simple,0.87,SW
25,83.51,377.84,8.24,1.65,Simple,0.86,SW
26,188.28,239.09,11.48,2.3,Simple,0.86,SW
27,222.09,333.66,7.94,1.59,Simple,0.85,SE
28,158.05,299.97,36.36,7.27,Complex/Overlapping,0.85,SW
29,174.34,53.46,9.54,1.91,Simple,0.85,NW
30,100.72,46.8,9.37,1.87,Simple,0.85,NW
31,189.05,83.79,8.1,1.62,Simple,0.84,NW
32,178.81,359.67,9.05,1.81,Simple,0.84,SW
33,175.59,74.63,9.7,1.94,Simple,0.84,NW
34,201.6,111.81,11.89,2.38,Simple,0.84,NW
35,317.31,259.63,11.04,2.21,Simple,0.83,SE
36,281.46,309.2,7.5,1.5,Simple,0.83,SE
37,287.93,401.54,7.67,1.53,Simple,0.83,SE
38,287.36,74.06,10.53,2.11,Simple,0.83,NE
39,171.07,344.53,8.84,1.77,Simple,0.82,SW
40,171.1,313.34,9.01,1.8,Simple,0.82,SW
41,119.1,156.03,12.03,2.41,Simple,0.82,NW
42,289.7,22.09,8.6,1.72,Simple,0.81,NE
43,229.65,208.89,48.41,9.68,Complex/Overlapping,0.81,SE
44,137.58,323.22,9.72,1.94,Simple,0.8,SW
45,210.32,318.96,7.94,1.59,Simple,0.8,SE
46,288.57,183.3,8.01,1.6,Simple,0.79,NE
47,313.2,83.21,8.8,1.76,Simple,0.79,NE
48,248.65,274.47,7.2,1.44,Simple,0.79,SE
49,124.94,324.94,14.11,2.82,Simple,0.79,SW
50,198.0,315.9,8.77,1.75,Simple,0.79,SW
51,129.17,381.29,9.25,1.85,Simple,0.78,SW
52,234.01,52.92,7.91,1.58,Simple,0.78,NE
53,320.45,270.93,8.84,1.77,Simple/Overlapping,0.78,SE
54,218.74,289.82,6.8,1.36,Simple,0.77,SE
55,177.03,267.5,82.8,16.56,Complex/Overlapping,0.77,SW
56,78.09,298.76,16.3,3.26,Simple,0.77,SW
57,198.54,163.96,5.49,1.1,Simple,0.76,NW
58,182.36,5.11,13.63,2.73,Degraded,0.76,NW
59,259.57,272.92,6.92,1.38,Simple,0.76,SE
60,216.8,382.77,10.17,2.03,Simple,0.76,SE
61,316.67,11.75,8.43,1.69,Simple,0.75,NE
62,318.58,135.93,7.56,1.51,Simple,0.74,NE
63,199.62,79.18,7.25,1.45,Simple,0.74,NW
64,331.22,361.94,12.05,2.41,Simple/Overlapping,0.73,SE
65,189.06,55.04,9.44,1.89,Simple,0.72,NW
66,274.62,108.31,8.19,1.64,Simple,0.72,NE
67,187.01,329.63,7.72,1.54,Simple,0.72,SW
68,243.27,189.22,9.13,1.83,Simple,0.72,NE
69,69.21,87.78,7.29,1.46,Simple,0.71,NW
70,321.92,112.18,8.44,1.69,Simple,0.71,NE
71,319.33,144.18,7.64,1.53,Simple,0.71,NE
72,165.09,73.36,8.87,1.77,Simple,0.7,NW
73,135.6,215.56,9.25,1.85,Simple,0.69,SW
74,282.51,409.4,6.88,1.38,Simple,0.69,SE
75,93.64,26.61,7.03,1.41,Simple,0.68,NW
76,333.75,269.4,9.45,1.89,Simple,0.68,SE
77,174.31,40.09,6.67,1.33,Simple,0.68,NW
78,165.69,403.43,9.88,1.98,Simple,0.68,SW
79,68.75,61.71,6.11,1.22,Simple,0.67,NW
80,341.28,271.68,7.83,1.57,Simple,0.67,SE
81,148.77,230.21,6.91,1.38,Simple,0.67,SW
82,267.39,205.63,8.82,1.76,Simple/Overlapping,0.67,NE
83,131.88,229.72,5.79,1.16,Simple,0.67,SW
84,100.81,329.58,6.65,1.33,Simple,0.67,SW
85,265.43,210.27,26.52,5.3,Complex/Overlapping,0.67,SE
86,311.25,114.99,7.64,1.53,Simple,0.66,NE
87,228.38,69.83,8.53,1.71,Simple,0.66,NE
88,227.67,165.58,7.82,1.56,Simple,0.65,NE
89,102.57,394.55,7.1,1.42,Simple,0.65,SW
90,299.9,24.68,6.66,1.33,Simple,0.65,NE
91,301.89,144.58,7.07,1.41,Simple,0.64,NE
92,328.44,364.91,13.41,2.68,Simple/Overlapping,0.63,SE
93,220.67,220.47,17.53,3.51,Simple/Overlapping,0.63,SE
94,321.37,269.81,10.74,2.15,Simple/Overlapping,0.62,SE
95,187.77,32.2,7.88,1.58,Simple,0.62,NW
96,262.71,186.7,6.55,1.31,Simple,0.62,NE
97,162.96,238.47,9.1,1.82,Simple,0.61,SW
98,264.35,316.25,33.03,6.61,Complex,0.61,SE
99,343.51,47.65,6.45,1.29,Simple,0.61,NE
100,265.27,231.74,7.42,1.48,Simple/Overlapping,0.61,SE
101,134.43,302.23,9.45,1.89,Simple,0.6,SW
102,332.25,106.47,13.81,2.76,Simple/Overlapping,0.59,NE
103,341.08,222.02,5.88,1.18,Simple,0.59,SE
104,141.6,223.39,6.18,1.24,Simple,0.59,SW
105,209.98,73.62,12.21,2.44,Simple,0.59,NE
106,281.67,249.99,6.01,1.2,Simple,0.58,SE
107,211.22,96.54,7.77,1.55,Simple,0.58,NE
108,234.94,101.47,9.63,1.93,Simple,0.57,NE
109,123.85,132.54,23.14,4.63,Complex/Overlapping,0.56,NW
110,264.32,44.04,26.83,5.37,Complex,0.56,NE
111,231.59,205.65,5.82,1.16,Simple,0.56,NE
112,193.68,406.64,12.27,2.45,Simple,0.56,SW
113,73.89,29.32,8.52,1.7,Simple,0.55,NW
114,75.23,345.81,6.34,1.27,Simple,0.55,SW
115,174.84,327.96,9.24,1.85,Simple,0.55,SW
116,216.66,170.29,7.23,1.45,Simple,0.54,NE
117,180.41,344.61,7.67,1.53,Simple,0.54,SW
118,103.57,118.99,6.01,1.2,Simple,0.52,NW
119,149.64,205.23,7.11,1.42,Simple,0.52,NW
120,230.15,109.9,10.76,2.15,Simple,0.51,NE
121,282.52,325.02,9.81,1.96,Simple,0.51,SE
122,92.48,173.45,7.21,1.44,Simple,0.51,NW
123,196.92,364.11,29.5,5.9,Complex,0.5,SW
124,166.58,258.22,6.88,1.38,Simple,0.49,SW
125,247.51,402.95,8.43,1.69,Simple/Overlapping,0.49,SE
126,126.39,205.83,6.96,1.39,Simple,0.49,NW
127,115.26,92.94,6.29,1.26,Simple,0.48,NW
128,135.28,363.74,7.73,1.55,Simple,0.48,SW
129,298.58,308.52,6.68,1.34,Simple,0.48,SE
130,224.31,261.59,5.79,1.16,Simple,0.48,SE
131,228.95,252.51,6.24,1.25,Simple,0.48,SE
132,195.89,25.98,8.08,1.62,Simple/Overlapping,0.47,NW
133,328.71,333.88,9.85,1.97,Simple,0.47,SE
134,186.43,150.68,5.54,1.11,Simple,0.47,NW
135,240.32,134.87,47.23,9.45,Complex,0.46,NE
136,194.5,173.95,6.55,1.31,Simple,0.46,NW
137,167.28,64.25,5.35,1.07,Simple,0.46,NW
138,97.03,409.92,6.48,1.3,Simple,0.46,SW
139,333.08,223.85,7.37,1.47,Simple,0.46,SE
140,241.22,158.68,13.14,2.63,Simple,0.45,NE
141,224.42,304.07,7.14,1.43,Simple/Overlapping,0.45,SE
142,125.26,258.69,8.06,1.61,Simple,0.45,SW
143,251.31,104.34,8.45,1.69,Simple,0.44,NE
144,82.59,36.57,6.43,1.29,Simple,0.44,NW
