ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,117.9,323.01,44.8,8.96,Complex,0.92,SW
2,93.05,269.95,19.89,3.98,Simple,0.92,SW
3,193.14,393.33,11.65,2.33,Simple,0.86,SW
4,201.91,19.9,37.55,7.51,Complex,0.83,NW
5,173.43,323.68,12.08,2.42,Simple,0.8,SW
6,208.22,400.71,14.78,2.96,Simple,0.79,SE
7,220.56,381.58,7.63,1.53,Simple,0.77,SE
8,112.33,228.61,17.23,3.45,Simple,0.77,SW
9,176.23,54.77,15.14,3.03,Simple,0.76,NW
10,206.54,412.57,8.42,1.68,Simple,0.76,SW
11,269.57,337.32,7.81,1.56,Simple,0.75,SE
12,177.92,274.98,10.33,2.07,Simple,0.74,SW
13,261.79,179.22,22.2,4.44,Complex,0.74,NE
14,281.86,348.42,8.53,1.71,Simple,0.71,SE
15,292.25,12.4,15.82,3.16,Simple,0.7,NE
16,210.07,307.95,8.35,1.67,Simple,0.68,SE
17,321.96,397.13,10.21,2.04,Simple,0.67,SE
18,81.57,309.86,13.8,2.76,Simple,0.65,SW
19,159.27,53.23,10.5,2.1,Simple/Overlapping,0.63,NW
20,166.81,239.71,7.4,1.48,Simple,0.63,SW
21,247.36,84.32,9.21,1.84,Simple,0.63,NE
22,209.13,148.09,13.16,2.63,Simple,0.62,NE
23,227.72,194.39,12.67,2.53,Simple,0.6,NE
24,273.7,213.08,64.29,12.86,Complex,0.59,SE
25,223.06,34.03,12.02,2.4,Simple,0.59,NE
26,229.06,257.55,9.21,1.84,Simple,0.57,SE
27,221.23,4.63,8.54,1.71,Simple,0.57,NE
28,159.53,367.65,9.66,1.93,Simple,0.56,SW
29,279.55,338.19,8.79,1.76,Simple,0.55,SE
30,231.23,246.04,11.22,2.24,Simple,0.52,SE
31,167.76,30.77,8.67,1.73,Simple,0.52,NW
32,134.62,393.15,8.51,1.7,Simple,0.51,SW
33,132.28,268.62,91.12,18.22,Complex,0.51,SW
34,81.86,323.6,7.66,1.53,Simple,0.49,SW
35,208.96,98.03,17.38,3.48,Simple,0.49,NE
36,143.19,373.51,13.87,2.77,Simple,0.48,SW
37,79.62,367.85,11.24,2.25,Simple,0.46,SW
38,274.04,343.66,7.71,1.54,Simple,0.45,SE
39,152.87,377.67,10.06,2.01,Simple,0.45,SW
40,188.95,60.29,12.38,2.48,Simple,0.44,NW
41,243.32,245.14,9.81,1.96,Simple,0.43,SE
42,165.62,414.01,7.44,1.49,Degraded,0.42,SW
43,205.35,380.07,6.9,1.38,Simple,0.41,SW
44,270.82,16.89,32.61,6.52,Complex,0.41,NE
45,166.34,377.08,6.82,1.36,Simple,0.4,SW
46,118.46,83.5,15.53,3.11,Simple,0.39,NW
47,333.17,411.63,18.92,3.78,Degraded,0.39,SE
48,139.15,397.7,5.18,1.04,Simple,0.38,SW
49,152.0,62.0,9.35,1.87,Simple,0.38,NW
50,181.44,310.62,6.35,1.27,Simple,0.38,SW
51,235.94,385.37,11.92,2.38,Simple,0.37,SE
52,98.85,229.99,9.5,1.9,Simple,0.35,SW
53,224.75,411.18,13.09,2.62,Degraded,0.34,SE
54,145.79,157.61,146.9,29.38,Complex,0.33,NW
55,147.34,411.25,6.89,1.38,Simple,0.31,SW
56,184.12,44.63,8.83,1.77,Simple,0.3,NW
57,92.72,389.43,6.49,1.3,Simple,0.3,SW
58,152.55,407.25,7.19,1.44,Simple,0.29,SW
59,282.5,147.28,15.83,3.17,Simple,0.29,NE
60,212.06,46.12,15.18,3.04,Simple,0.29,NE
61,153.76,28.83,6.93,1.39,Simple,0.29,NW
62,154.5,358.07,6.27,1.25,Simple,0.29,SW
63,264.38,297.01,6.69,1.34,Simple,0.29,SE
64,276.83,285.62,14.61,2.92,Simple,0.29,SE
65,199.71,44.77,10.14,2.03,Simple,0.28,NW
66,86.86,214.51,18.0,3.6,Simple,0.28,SW
67,276.44,136.11,8.93,1.79,Simple,0.27,NE
68,164.31,50.73,9.46,1.89,Degraded/Overlapping,0.26,NW
69,176.28,76.19,50.25,10.05,Complex,0.26,NW
70,127.04,24.76,9.3,1.86,Simple,0.25,NW
71,82.16,255.22,13.26,2.65,Simple,0.25,SW
