ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,324.96,375.4,24.93,4.99,Complex,0.95,SE
2,288.97,262.53,10.74,2.15,Simple,0.93,SE
3,86.46,66.91,8.26,1.65,Simple,0.92,NW
4,99.36,44.15,9.86,1.97,Simple,0.91,NW
5,164.31,194.98,8.21,1.64,Simple,0.91,NW
6,187.25,329.56,9.08,1.82,Simple,0.9,SW
7,88.94,406.51,14.15,2.83,Simple,0.9,SW
8,237.84,101.3,8.39,1.68,Simple,0.9,NE
9,221.69,305.45,10.27,2.05,Simple,0.89,SE
10,311.09,404.56,8.71,1.74,Simple,0.89,SE
11,318.39,237.15,14.01,2.8,Simple,0.89,SE
12,80.44,146.8,7.82,1.56,Simple,0.88,NW
13,181.26,140.87,8.5,1.7,Simple,0.88,NW
14,265.52,363.3,8.88,1.78,Simple,0.88,SE
15,97.29,333.53,7.89,1.58,Simple,0.88,SW
16,294.57,185.44,12.03,2.41,Simple,0.87,NE
17,279.29,75.2,11.29,2.26,Simple,0.87,NE
18,108.87,408.02,11.24,2.25,Simple,0.87,SW
19,315.55,268.06,7.03,1.41,Simple,0.87,SE
20,336.17,184.13,13.6,2.72,Simple,0.86,NE
21,209.6,349.91,8.19,1.64,Simple,0.86,SE
22,88.53,48.64,9.02,1.8,Simple,0.86,NW
23,72.15,105.86,7.23,1.45,Simple,0.85,NW
24,239.89,130.63,9.05,1.81,Simple,0.85,NE
25,97.92,117.91,7.82,1.56,Simple,0.84,NW
26,91.39,377.81,11.4,2.28,Simple,0.84,SW
27,72.64,70.71,7.22,1.44,Simple,0.83,NW
28,251.88,378.92,6.52,1.3,Simple,0.82,SE
29,115.34,180.98,6.38,1.28,Simple,0.81,NW
30,254.01,292.55,7.39,1.48,Simple,0.81,SE
31,117.11,236.44,6.32,1.26,Simple,0.8,SW
32,338.96,273.34,6.82,1.36,Simple,0.78,SE
33,123.17,399.76,8.41,1.68,Simple,0.78,SW
34,118.95,389.1,7.66,1.53,Simple,0.77,SW
35,302.78,191.47,7.25,1.45,Simple,0.77,NE
36,160.55,387.68,6.08,1.22,Simple,0.77,SW
37,224.07,161.69,14.2,2.84,Simple,0.77,NE
38,128.06,148.99,6.7,1.34,Simple,0.76,NW
39,187.93,172.46,7.36,1.47,Simple,0.75,NW
40,260.89,370.6,6.81,1.36,Simple,0.75,SE
41,121.56,409.31,9.55,1.91,Simple,0.75,SW
42,66.52,292.67,6.14,1.23,Simple,0.74,SW
43,185.59,369.2,6.63,1.33,Simple,0.74,SW
44,73.37,378.2,6.25,1.25,Simple,0.71,SW
45,184.25,380.51,5.59,1.12,Simple,0.69,SW
46,135.47,367.32,5.92,1.18,Simple,0.69,SW
47,283.08,196.19,7.32,1.46,Simple,0.66,NE
48,228.09,291.03,6.14,1.23,Simple,0.65,SE
49,80.42,52.34,6.3,1.26,Simple,0.64,NW
50,339.53,350.63,6.06,1.21,Simple,0.64,SE
51,111.54,394.94,8.93,1.79,Simple/Overlapping,0.62,SW
52,84.17,390.82,7.0,1.4,Simple,0.62,SW
53,294.32,277.59,5.3,1.06,Simple,0.61,SE
54,109.9,377.62,9.47,1.89,Simple/Overlapping,0.61,SW
55,280.67,351.91,5.86,1.17,Simple,0.61,SE
56,71.41,407.99,5.9,1.18,Simple,0.6,SW
57,261.98,260.91,6.26,1.25,Simple,0.57,SE
58,171.86,341.47,5.47,1.09,Simple,0.57,SW
59,242.89,326.78,5.94,1.19,Simple,0.57,SE
60,70.23,340.87,5.48,1.1,Simple,0.57,SW
61,70.5,358.5,6.5,1.3,Simple,0.57,SW
62,87.23,185.34,5.31,1.06,Simple,0.56,NW
63,342.32,159.25,10.07,2.01,Simple,0.56,NE
64,88.24,346.02,5.33,1.07,Simple,0.56,SW
65,78.23,296.77,5.77,1.15,Simple,0.56,SW
66,293.3,165.48,7.5,1.5,Simple,0.55,NE
67,75.59,370.33,5.54,1.11,Simple,0.55,SW
68,267.8,221.47,13.86,2.77,Simple,0.53,SE
69,168.92,390.2,5.96,1.19,Simple,0.53,SW
70,115.14,378.74,8.88,1.78,Simple/Overlapping,0.52,SW
71,66.31,45.64,5.8,1.16,Simple,0.52,NW
72,236.73,59.71,6.94,1.39,Simple,0.52,NE
73,150.77,195.82,5.76,1.15,Simple,0.52,NW
74,337.27,357.49,6.26,1.25,Simple,0.51,SE
75,104.5,372.24,7.29,1.46,Simple,0.51,SW
76,67.06,8.43,5.83,1.17,Simple,0.49,NW
77,107.17,62.16,6.26,1.25,Simple,0.48,NW
78,332.71,261.02,5.91,1.18,Simple,0.47,SE
79,100.83,281.7,5.11,1.02,Simple,0.46,SW
80,66.5,102.52,5.5,1.1,Simple,0.46,NW
81,353.88,161.0,9.43,1.89,Simple,0.46,NE
82,90.16,367.47,6.19,1.24,Simple,0.46,SW
83,105.6,388.1,8.82,1.76,Simple,0.44,SW
84,72.06,392.66,5.48,1.1,Simple,0.43,SW
85,247.73,368.37,5.99,1.2,Simple,0.43,SE
86,74.6,51.37,6.07,1.21,Simple,0.43,NW
87,80.89,366.14,8.08,1.62,Simple,0.43,SW
88,147.04,179.71,5.68,1.14,Simple,0.43,NW
89,99.12,29.44,6.12,1.22,Simple,0.43,NW
90,310.98,228.13,6.23,1.25,Simple,0.42,SE
91,115.96,380.28,6.96,1.39,Simple/Overlapping,0.41,SW
92,81.85,333.36,4.85,0.97,Simple,0.41,SW
93,218.75,176.35,14.65,2.93,Simple,0.41,NE
94,279.73,181.64,8.57,1.71,Simple,0.39,NE
95,233.28,13.36,7.42,1.48,Simple,0.39,NE
96,222.14,245.16,5.68,1.14,Simple,0.39,SE
97,162.27,343.42,5.21,1.04,Simple,0.39,SW
98,116.37,396.71,6.89,1.38,Simple/Overlapping,0.38,SW
99,138.11,276.93,5.58,1.12,Simple,0.38,SW
100,323.58,147.82,7.07,1.41,Simple,0.37,NE
