ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,331.14,152.02,7.56,1.51,Simple,0.92,NE
2,354.24,148.81,24.93,4.99,Complex,0.91,NE
3,323.02,175.63,10.25,2.05,Simple,0.91,NE
4,113.84,150.93,7.97,1.59,Simple,0.89,NW
5,163.65,254.48,13.31,2.66,Simple,0.87,SW
6,283.04,225.92,9.45,1.89,Simple,0.87,SE
7,270.14,175.95,11.18,2.24,Simple,0.86,NE
8,317.35,88.13,9.67,1.93,Simple,0.86,NE
9,152.16,223.26,9.8,1.96,Simple,0.86,SW
10,215.07,50.67,8.46,1.69,Simple,0.85,NE
11,348.71,18.22,8.58,1.72,Simple,0.85,NE
12,322.48,160.14,7.22,1.44,Simple,0.84,NE
13,268.12,389.0,9.87,1.97,Simple,0.84,SE
14,323.6,76.6,8.56,1.71,Simple,0.83,NE
15,386.24,410.72,6.75,1.35,Simple,0.83,SE
16,269.33,407.67,7.67,1.53,Simple,0.81,SE
17,352.2,264.33,7.77,1.55,Simple,0.8,SE
18,310.65,200.91,8.62,1.72,Simple,0.79,NE
19,305.69,249.01,6.69,1.34,Simple,0.77,SE
20,333.42,375.13,10.58,2.12,Simple,0.76,SE
21,272.16,218.9,14.8,2.96,Simple,0.76,SE
22,346.73,131.71,8.74,1.75,Simple,0.76,NE
23,330.92,163.68,5.38,1.08,Simple,0.75,NE
24,250.35,241.65,8.5,1.7,Simple,0.75,SE
25,134.79,102.31,6.13,1.23,Simple,0.74,NW
26,298.71,199.52,6.22,1.24,Simple,0.72,NE
27,315.16,312.84,12.19,2.44,Simple,0.68,SE
28,269.68,233.16,7.83,1.57,Simple/Overlapping,0.66,SE
29,234.54,77.26,6.54,1.31,Simple,0.63,NE
30,266.8,205.5,6.62,1.32,Simple,0.63,NE
31,269.41,236.21,8.02,1.6,Simple/Overlapping,0.63,SE
32,284.15,68.94,7.71,1.54,Simple,0.62,NE
33,318.46,276.35,6.66,1.33,Simple,0.62,SE
34,296.2,193.35,6.02,1.2,Simple,0.59,NE
35,373.74,37.91,6.34,1.27,Simple,0.58,NE
36,269.64,234.84,8.32,1.66,Simple/Overlapping,0.57,SE
37,319.9,253.9,9.2,1.84,Simple,0.56,SE
38,356.59,128.73,12.09,2.42,Simple,0.56,NE
39,205.69,106.16,9.19,1.84,Simple,0.55,NW
40,128.09,297.45,18.22,3.64,Simple,0.54,SW
41,115.61,174.43,10.4,2.08,Simple,0.54,NW
42,104.79,165.17,7.47,1.49,Simple,0.53,NW
43,305.01,196.32,5.57,1.11,Simple,0.47,NE
44,74.29,255.24,19.73,3.95,Simple,0.45,SW
45,105.52,270.42,6.5,1.3,Simple,0.45,SW
46,361.07,219.34,8.82,1.76,Simple,0.44,SE
47,57.77,299.98,71.52,14.3,Complex,0.44,SW
48,102.38,200.6,22.32,4.46,Complex,0.44,NW
49,207.53,411.51,8.76,1.75,Simple,0.44,SW
50,282.92,176.63,8.47,1.69,Simple,0.43,NE
51,348.18,29.14,11.35,2.27,Simple,0.43,NE
52,342.17,62.66,6.37,1.27,Simple,0.41,NE
53,198.27,222.75,8.88,1.78,Simple,0.41,SW
54,364.15,405.18,6.52,1.3,Simple,0.4,SE
55,167.85,90.96,5.96,1.19,Simple,0.37,NW
56,377.85,272.83,41.65,8.33,Complex,0.37,SE
57,101.5,85.65,6.04,1.21,Simple,0.35,NW
58,184.88,96.72,5.8,1.16,Simple,0.34,NW
59,255.3,236.07,6.67,1.33,Simple,0.34,SE
60,308.76,62.25,6.03,1.21,Simple,0.33,NE
61,373.18,317.82,11.7,2.34,Simple,0.33,SE
62,284.24,213.44,5.85,1.17,Simple,0.32,SE
63,48.24,19.4,9.39,1.88,Simple,0.31,NW
64,336.43,72.05,5.01,1.0,Simple,0.3,NE
65,345.07,410.14,5.57,1.11,Simple,0.3,SE
66,317.59,34.35,6.21,1.24,Simple,0.29,NE
67,385.44,34.65,5.27,1.05,Simple,0.29,NE
68,327.65,15.85,5.66,1.13,Simple,0.28,NE
69,382.53,325.47,11.08,2.22,Simple,0.27,SE
70,238.26,410.47,6.99,1.4,Simple,0.26,SE
71,286.8,167.29,6.61,1.32,Simple,0.25,NE
