ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,262.22,104.46,9.43,1.89,Simple,0.92,NE
2,393.13,55.19,9.84,1.97,Simple,0.91,NE
3,194.01,169.77,7.71,1.54,Simple,0.91,NW
4,338.73,349.09,9.63,1.93,Simple,0.9,SE
5,31.7,398.4,10.82,2.16,Simple,0.9,SW
6,240.13,55.32,7.41,1.48,Simple,0.88,NE
7,294.46,84.49,14.12,2.82,Simple,0.88,NE
8,305.88,157.64,7.3,1.46,Simple,0.86,NE
9,234.63,294.81,7.05,1.41,Simple,0.86,SE
10,192.39,13.69,7.56,1.51,Simple,0.86,NW
11,272.02,99.36,7.79,1.56,Simple,0.85,NE
12,15.96,385.52,7.45,1.49,Simple,0.84,SW
13,95.2,257.66,6.3,1.26,Simple,0.84,SW
14,26.4,14.69,14.1,2.82,Simple,0.83,NW
15,234.0,117.02,7.01,1.4,Simple,0.81,NE
16,42.54,365.55,6.19,1.24,Simple,0.78,SW
17,6.85,295.61,6.24,1.25,Simple,0.76,SW
18,146.21,384.73,8.27,1.65,Simple,0.75,SW
19,397.78,95.11,6.46,1.29,Simple,0.74,NE
20,336.32,385.19,6.04,1.21,Simple,0.74,SE
21,159.5,32.09,6.29,1.26,Simple,0.72,NW
22,341.6,362.97,5.39,1.08,Simple,0.69,SE
23,184.33,35.32,6.28,1.26,Simple,0.67,NW
24,290.95,152.07,5.44,1.09,Simple,0.64,NE
25,89.32,259.4,5.85,1.17,Simple,0.62,SW
26,298.76,124.3,6.05,1.21,Simple,0.61,NE
27,366.04,366.89,5.38,1.08,Simple,0.61,SE
28,283.9,104.24,5.85,1.17,Simple,0.61,NE
29,146.55,11.56,9.41,1.88,Simple,0.57,NW
30,89.27,294.71,5.13,1.03,Simple,0.56,SW
31,9.31,305.12,6.19,1.24,Simple,0.54,SW
32,213.83,298.87,4.89,0.98,Simple,0.54,SE
33,63.46,175.72,5.47,1.09,Simple,0.53,NW
34,6.59,286.12,6.49,1.3,Simple,0.51,SW
35,297.79,137.4,5.52,1.1,Simple,0.5,NE
36,152.73,117.82,5.43,1.09,Simple,0.5,NW
37,10.13,4.59,13.23,2.65,Degraded,0.5,NW
38,139.52,240.24,5.35,1.07,Simple,0.5,SW
39,162.16,43.5,5.61,1.12,Simple,0.49,NW
40,88.3,97.3,5.7,1.14,Simple,0.48,NW
41,339.21,220.02,5.09,1.02,Simple,0.48,SE
42,38.94,17.25,8.51,1.7,Simple/Overlapping,0.46,NW
43,384.09,40.82,5.53,1.11,Simple,0.45,NE
44,67.08,245.01,5.22,1.04,Simple,0.45,SW
45,66.05,260.73,4.99,1.0,Simple,0.43,SW
46,162.59,414.12,8.12,1.62,Degraded,0.41,SW
47,39.02,13.25,11.87,2.37,Simple/Overlapping,0.41,NW
48,357.16,305.67,4.91,0.98,Simple,0.4,SE
49,129.64,91.07,5.11,1.02,Simple,0.39,NW
50,73.55,163.28,5.08,1.02,Simple,0.38,NW
51,404.7,302.73,5.17,1.03,Simple,0.38,SE
52,70.21,310.13,4.76,0.95,Simple,0.37,SW
53,57.58,45.66,5.56,1.11,Simple,0.37,NW
54,293.64,292.74,5.38,1.08,Simple,0.36,SE
55,408.46,113.96,5.47,1.09,Simple,0.36,NE
56,343.93,268.58,5.25,1.05,Simple,0.35,SE
57,376.06,68.56,5.04,1.01,Simple,0.34,NE
58,318.78,77.51,5.08,1.02,Simple,0.32,NE
59,27.65,5.09,6.46,1.29,Simple,0.31,NW
60,351.05,140.82,5.28,1.06,Simple,0.29,NE
61,360.2,251.9,4.87,0.97,Simple,0.29,SE
62,284.63,414.4,6.46,1.29,Degraded,0.29,SE
63,19.14,243.95,5.03,1.01,Simple,0.28,SW
64,112.43,383.93,4.91,0.98,Simple,0.26,SW
