ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,243.62,147.55,19.34,3.87,Simple,0.94,NE
2,179.95,236.41,9.66,1.93,Simple,0.94,SW
3,302.62,202.38,15.03,3.01,Simple,0.92,NE
4,301.77,334.72,9.05,1.81,Simple,0.91,SE
5,331.18,229.14,24.17,4.83,Complex,0.91,SE
6,95.63,47.69,13.81,2.76,Simple,0.91,NW
7,47.42,50.24,27.2,5.44,Complex,0.9,NW
8,23.95,399.23,17.77,3.55,Simple,0.9,SW
9,57.38,162.21,16.57,3.31,Simple,0.9,NW
10,337.67,328.74,8.31,1.66,Simple,0.89,SE
11,278.69,290.57,14.76,2.95,Simple,0.89,SE
12,126.54,9.98,9.71,1.94,Simple,0.89,NW
13,376.65,285.31,15.17,3.03,Simple,0.89,SE
14,76.27,267.14,14.2,2.84,Simple,0.89,SW
15,310.6,156.03,7.65,1.53,Simple,0.88,NE
16,232.11,40.71,13.33,2.67,Simple,0.88,NE
17,283.2,120.43,15.14,3.03,Simple,0.87,NE
18,215.93,194.83,15.49,3.1,Simple,0.87,NE
19,305.65,315.71,10.1,2.02,Simple,0.87,SE
20,255.16,276.13,8.88,1.78,Simple,0.86,SE
21,392.32,205.23,21.43,4.29,Complex/Overlapping,0.86,NE
22,327.26,66.45,9.83,1.97,Simple,0.86,NE
23,28.35,158.59,8.7,1.74,Simple,0.86,NW
24,177.18,137.06,11.79,2.36,Simple,0.86,NW
25,268.21,262.84,10.97,2.19,Simple,0.85,SE
26,226.52,281.3,10.64,2.13,Simple,0.85,SE
27,40.43,229.66,8.67,1.73,Simple,0.85,SW
28,202.4,347.65,8.72,1.74,Simple,0.85,SW
29,339.18,82.73,9.06,1.81,Simple,0.85,NE
30,354.5,71.16,9.48,1.9,Simple,0.84,NE
31,144.3,42.87,7.18,1.44,Simple,0.83,NW
32,251.98,306.75,8.27,1.65,Simple,0.82,SE
33,204.07,206.67,11.02,2.2,Simple,0.8,NW
34,387.68,69.28,10.91,2.18,Simple,0.8,NE
35,148.07,340.03,8.38,1.68,Simple,0.78,SW
36,260.73,296.0,6.82,1.36,Simple,0.78,SE
37,292.13,150.59,9.75,1.95,Simple,0.78,NE
38,62.48,272.05,15.18,3.04,Simple,0.77,SW
39,242.59,249.94,9.94,1.99,Simple,0.77,SE
40,91.04,299.95,6.47,1.29,Simple,0.76,SW
41,258.65,317.36,16.38,3.28,Simple/Overlapping,0.75,SE
42,47.49,365.81,12.7,2.54,Simple,0.75,SW
43,252.55,286.93,6.9,1.38,Simple,0.75,SE
44,205.25,273.74,8.17,1.63,Simple,0.74,SW
45,39.67,291.12,11.54,2.31,Simple,0.74,SW
46,266.96,166.75,6.98,1.4,Simple,0.73,NE
47,204.07,263.96,9.56,1.91,Simple,0.71,SW
48,41.34,302.22,12.36,2.47,Simple,0.7,SW
49,218.43,55.95,10.73,2.15,Simple,0.69,NE
50,108.11,227.79,7.91,1.58,Simple,0.69,SW
51,150.27,168.58,11.08,2.22,Simple,0.67,NW
52,218.25,214.74,7.67,1.53,Simple,0.66,SE
53,390.33,37.96,7.66,1.53,Simple,0.62,NE
54,395.74,214.58,11.56,2.31,Simple/Overlapping,0.62,SE
55,246.5,97.94,8.44,1.69,Simple,0.62,NE
56,342.86,409.72,7.98,1.6,Simple,0.61,SE
57,73.74,40.57,9.95,1.99,Simple,0.6,NW
58,368.31,141.63,5.93,1.19,Simple,0.59,NE
59,76.81,55.66,6.06,1.21,Simple,0.59,NW
60,129.89,59.87,69.64,13.93,Complex,0.59,NW
61,65.98,283.37,9.3,1.86,Simple,0.59,SW
62,179.95,375.52,9.97,1.99,Simple,0.58,SW
63,138.16,347.69,11.05,2.21,Simple,0.56,SW
64,20.28,314.58,7.82,1.56,Simple,0.55,SW
65,359.4,318.7,8.58,1.72,Simple,0.55,SE
66,36.05,327.72,9.41,1.88,Simple,0.54,SW
67,159.29,187.82,6.11,1.22,Simple,0.54,NW
68,175.05,21.23,5.72,1.14,Simple,0.53,NW
69,281.13,225.5,8.34,1.67,Simple,0.53,SE
70,77.65,189.63,6.58,1.32,Simple,0.53,NW
71,257.69,49.11,10.98,2.2,Simple,0.53,NE
72,393.36,128.19,8.07,1.61,Simple,0.53,NE
73,338.75,36.15,6.75,1.35,Simple,0.51,NE
74,42.1,182.48,28.82,5.76,Complex,0.5,NW
75,230.36,331.66,5.67,1.13,Simple,0.5,SE
76,234.07,267.66,6.97,1.39,Simple,0.49,SE
77,288.81,183.85,11.64,2.33,Simple,0.48,NE
