ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,77.78,200.46,9.23,1.85,Simple,0.94,NW
2,52.92,156.24,30.55,6.11,Complex,0.94,NW
3,233.28,82.28,38.8,7.76,Complex,0.93,NE
4,298.72,227.35,23.02,4.6,Complex,0.93,SE
5,303.27,94.59,7.62,1.52,Simple,0.92,NE
6,43.58,123.12,21.98,4.4,Complex,0.92,NW
7,106.24,337.75,10.09,2.02,Simple,0.91,SW
8,197.89,66.03,9.45,1.89,Simple,0.91,NW
9,333.43,164.81,7.84,1.57,Simple,0.91,NE
10,82.19,361.45,9.82,1.96,Simple,0.9,SW
11,195.4,93.13,9.25,1.85,Simple,0.9,NW
12,256.7,57.49,9.89,1.98,Simple,0.89,NE
13,31.33,408.37,11.38,2.28,Simple,0.89,SW
14,274.98,337.23,14.5,2.9,Simple,0.89,SE
15,361.28,64.35,8.0,1.6,Simple,0.89,NE
16,45.98,399.01,12.74,2.55,Simple,0.89,SW
17,100.33,348.11,10.07,2.01,Simple,0.89,SW
18,173.83,267.27,14.48,2.9,Simple,0.89,SW
19,72.51,126.22,33.42,6.68,Complex,0.88,NW
20,236.51,125.04,9.51,1.9,Simple,0.88,NE
21,318.95,343.35,8.22,1.64,Simple,0.88,SE
22,294.33,366.78,7.35,1.47,Simple,0.87,SE
23,105.12,235.6,21.56,4.31,Complex,0.87,SW
24,246.18,326.41,8.58,1.72,Simple,0.87,SE
25,176.85,31.67,22.95,4.59,Complex,0.87,NW
26,104.11,36.65,9.23,1.85,Simple,0.86,NW
27,365.99,137.09,31.54,6.31,Complex/Overlapping,0.86,NE
28,384.37,268.21,27.27,5.45,Complex,0.85,SE
29,220.76,29.82,7.6,1.52,Simple,0.85,NE
30,104.89,95.54,7.52,1.5,Simple,0.85,NW
31,195.29,84.21,9.02,1.8,Simple,0.85,NW
32,145.83,213.66,39.1,7.82,Complex,0.85,SW
33,62.55,74.84,7.84,1.57,Simple,0.84,NW
34,101.81,14.3,9.83,1.97,Simple,0.83,NW
35,56.77,234.57,11.87,2.37,Simple,0.83,SW
36,332.72,328.1,7.58,1.52,Simple,0.82,SE
37,361.56,82.72,9.82,1.96,Simple,0.82,NE
38,126.64,65.28,6.98,1.4,Simple,0.81,NW
39,220.23,214.61,7.25,1.45,Simple,0.8,SE
40,10.81,59.44,13.82,2.76,Simple,0.8,NW
41,402.63,222.14,13.02,2.6,Simple,0.79,SE
42,191.71,396.19,24.87,4.97,Complex,0.77,SW
43,74.55,203.87,70.98,14.2,Complex,0.76,NW
44,403.83,9.57,7.92,1.58,Simple,0.76,NE
45,115.91,47.5,6.7,1.34,Simple,0.75,NW
46,32.41,340.7,7.61,1.52,Simple,0.74,SW
47,83.7,402.0,7.53,1.51,Simple,0.74,SW
48,62.32,382.47,8.49,1.7,Simple,0.74,SW
49,134.79,355.98,6.53,1.31,Simple,0.74,SW
50,336.41,215.89,29.68,5.94,Complex,0.72,SE
51,230.26,41.17,7.44,1.49,Simple,0.72,NE
52,355.19,25.03,10.3,2.06,Simple,0.72,NE
53,393.47,51.86,6.7,1.34,Simple,0.71,NE
54,198.91,128.35,7.84,1.57,Simple,0.71,NW
55,61.58,411.34,9.29,1.86,Simple,0.69,SW
56,133.45,257.83,16.45,3.29,Simple,0.69,SW
57,243.92,30.74,7.95,1.59,Simple,0.69,NE
58,315.55,273.49,6.67,1.33,Simple,0.68,SE
59,267.21,319.38,8.83,1.77,Simple,0.67,SE
60,282.26,26.72,6.76,1.35,Simple,0.67,NE
61,336.8,42.14,6.12,1.22,Simple,0.67,NE
62,154.6,287.21,6.9,1.38,Simple,0.66,SW
63,384.25,93.8,7.51,1.5,Simple,0.66,NE
64,284.51,343.57,7.05,1.41,Simple,0.66,SE
65,386.35,107.55,18.91,3.78,Simple,0.66,NE
66,282.99,269.94,7.0,1.4,Simple,0.65,SE
67,41.12,142.48,8.66,1.73,Simple,0.65,NW
68,150.39,254.29,9.4,1.88,Simple,0.64,SW
69,112.16,371.69,11.46,2.29,Simple,0.64,SW
70,190.79,77.34,6.82,1.36,Simple,0.61,NW
71,393.5,295.33,8.23,1.65,Simple,0.6,SE
72,80.31,50.46,6.8,1.36,Simple,0.59,NW
73,79.29,159.58,23.35,4.67,Complex/Overlapping,0.57,NW
74,189.33,351.57,7.98,1.6,Simple,0.57,SW
75,258.39,406.87,23.62,4.72,Degraded,0.57,SE
76,21.82,297.74,36.16,7.23,Complex,0.56,SW
77,345.16,306.96,7.06,1.41,Simple,0.56,SE
78,247.35,23.42,6.96,1.39,Simple,0.56,NE
79,32.07,82.64,6.11,1.22,Simple,0.55,NW
80,316.71,47.05,6.0,1.2,Simple,0.55,NE
81,214.45,38.4,6.61,1.32,Simple,0.54,NE
82,266.59,364.89,6.29,1.26,Simple,0.54,SE
83,276.47,299.9,8.32,1.66,Simple/Overlapping,0.52,SE
84,266.36,43.25,6.88,1.38,Simple,0.51,NE
85,11.68,129.93,8.3,1.66,Simple,0.51,NW
86,193.38,30.31,8.48,1.7,Simple,0.51,NW
87,138.43,159.79,7.04,1.41,Simple,0.51,NW
88,339.43,124.27,39.42,7.88,Complex/Overlapping,0.51,NE
89,168.62,306.01,6.34,1.27,Simple,0.51,SW
90,237.44,105.14,5.63,1.13,Simple,0.5,NE
91,245.55,47.7,6.69,1.34,Simple,0.5,NE
92,66.45,43.4,6.87,1.37,Simple,0.49,NW
93,90.01,275.15,6.31,1.26,Simple,0.48,SW
94,182.44,225.17,16.17,3.23,Simple,0.48,SW
95,320.65,268.18,7.29,1.46,Simple,0.48,SE
96,201.15,224.6,20.89,4.18,Complex,0.47,SW
97,168.42,234.24,21.08,4.22,Complex,0.46,SW
98,84.02,144.45,20.29,4.06,Complex/Overlapping,0.46,NW
99,104.62,324.6,6.68,1.34,Simple,0.46,SW
100,17.45,378.43,32.81,6.56,Degraded,0.45,SW
101,77.05,99.1,11.97,2.39,Simple,0.44,NW
102,367.09,407.89,33.52,6.7,Degraded,0.44,SE
103,134.28,342.19,6.11,1.22,Simple,0.44,SW
104,346.8,121.24,47.62,9.52,Complex/Overlapping,0.44,NE
105,381.73,5.9,8.58,1.72,Simple,0.44,NE
106,69.5,323.9,6.38,1.28,Simple,0.43,SW
107,350.12,43.92,17.75,3.55,Simple,0.41,NE
108,179.43,136.75,6.24,1.25,Simple,0.41,NW
109,149.25,97.77,5.92,1.18,Simple,0.4,NW
110,213.22,97.11,7.31,1.46,Simple,0.39,NE
111,255.72,307.46,5.32,1.06,Simple,0.38,SE
112,183.01,23.95,6.62,1.32,Simple,0.38,NW
113,196.76,41.32,6.36,1.27,Simple,0.38,NW
114,156.63,331.81,7.41,1.48,Simple,0.36,SW
115,146.53,27.25,5.25,1.05,Simple,0.36,NW
116,310.58,98.54,5.19,1.04,Simple,0.36,NE
117,264.36,329.9,9.98,2.0,Simple,0.36,SE
118,189.37,383.2,8.11,1.62,Simple,0.36,SW
119,169.03,162.93,7.03,1.41,Simple,0.36,NW
120,170.2,11.12,23.06,4.61,Complex,0.35,NW
121,110.81,362.03,8.75,1.75,Simple,0.35,SW
122,276.13,301.78,7.62,1.52,Simple/Overlapping,0.34,SE
123,8.84,229.68,6.38,1.28,Simple,0.34,SW
124,340.42,13.13,29.57,5.91,Complex,0.33,NE
125,28.04,26.39,8.73,1.75,Simple,0.32,NW
126,235.6,398.81,6.79,1.36,Simple,0.32,SE
127,53.89,334.1,17.88,3.58,Simple,0.31,SW
128,28.2,171.63,34.1,6.82,Complex,0.31,NW
129,80.27,155.45,29.74,5.95,Complex/Overlapping,0.31,NW
130,166.05,293.49,10.22,2.04,Simple,0.29,SW
131,222.51,386.53,8.23,1.65,Simple,0.28,SE
132,138.67,411.41,9.92,1.98,Degraded,0.28,SW
133,165.73,335.9,13.39,2.68,Simple,0.27,SW
134,382.1,122.24,7.99,1.6,Simple,0.27,NE
135,21.04,11.26,25.21,5.04,Complex,0.26,NW
136,137.45,97.14,6.39,1.28,Simple,0.26,NW
137,340.2,13.27,5.95,1.19,Simple,0.25,NE
138,389.22,408.27,7.57,1.51,Simple,0.25,SE
