ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,116.81,102.92,9.0,1.8,Simple,0.92,NW
2,242.68,92.69,25.79,5.16,Complex,0.92,NE
3,180.25,20.43,19.82,3.96,Simple,0.92,NW
4,348.44,386.62,15.97,3.19,Simple,0.92,SE
5,360.49,68.29,38.45,7.69,Complex,0.92,NE
6,360.82,125.29,57.18,11.44,Complex,0.91,NE
7,359.4,195.78,15.14,3.03,Simple,0.91,NE
8,390.53,309.82,9.5,1.9,Simple,0.91,SE
9,44.55,82.33,11.54,2.31,Simple,0.91,NW
10,67.09,339.14,13.56,2.71,Simple,0.89,SW
11,207.23,56.69,9.3,1.86,Simple,0.89,NW
12,198.24,361.24,38.38,7.68,Complex,0.89,SW
13,113.97,37.13,33.5,6.7,Complex/Overlapping,0.89,NW
14,36.15,326.43,9.34,1.87,Simple,0.89,SW
15,302.06,46.53,14.01,2.8,Simple,0.89,NE
16,42.56,178.63,16.76,3.35,Simple,0.89,NW
17,306.53,21.34,16.11,3.22,Simple,0.88,NE
18,65.01,92.3,9.93,1.99,Simple,0.88,NW
19,220.84,307.15,8.31,1.66,Simple,0.88,SE
20,393.63,336.28,17.62,3.52,Simple,0.88,SE
21,163.29,390.52,7.89,1.58,Simple,0.88,SW
22,314.64,45.73,9.7,1.94,Simple,0.88,NE
23,282.54,122.12,22.71,4.54,Complex/Overlapping,0.87,NE
24,311.06,64.66,13.84,2.77,Simple,0.87,NE
25,75.57,317.55,13.71,2.74,Simple,0.87,SW
26,157.31,134.6,9.12,1.82,Simple,0.87,NW
27,323.93,26.68,17.78,3.56,Simple,0.87,NE
28,237.76,146.98,12.06,2.41,Simple,0.86,NE
29,160.31,211.38,9.39,1.88,Simple,0.86,SW
30,349.8,11.75,10.53,2.11,Simple,0.86,NE
31,120.8,264.83,18.99,3.8,Simple,0.86,SW
32,143.48,190.92,7.9,1.58,Simple,0.86,NW
33,299.04,314.75,43.74,8.75,Complex/Overlapping,0.85,SE
34,370.03,170.89,15.11,3.02,Simple,0.85,NE
35,44.28,291.92,9.25,1.85,Simple,0.85,SW
36,72.68,79.95,7.94,1.59,Simple,0.85,NW
37,325.09,82.9,14.68,2.94,Simple,0.85,NE
38,12.52,326.32,8.73,1.75,Simple,0.85,SW
39,33.62,200.59,9.53,1.91,Simple,0.84,NW
40,167.3,35.45,9.73,1.95,Simple,0.84,NW
41,62.02,127.92,15.84,3.17,Simple,0.84,NW
42,23.03,380.8,11.06,2.21,Simple,0.84,SW
43,276.96,19.29,40.62,8.12,Complex,0.84,NE
44,140.47,132.17,11.46,2.29,Simple,0.83,NW
45,388.11,172.78,7.96,1.59,Simple,0.83,NE
46,50.02,37.16,50.91,10.18,Complex/Overlapping,0.83,NW
47,268.13,287.05,38.59,7.72,Complex,0.83,SE
48,12.68,232.53,7.6,1.52,Simple,0.83,SW
49,56.5,401.73,6.5,1.3,Simple,0.83,SW
50,97.1,81.86,8.28,1.66,Simple,0.83,NW
51,360.75,355.53,24.84,4.97,Complex,0.82,SE
52,158.14,231.82,67.6,13.52,Complex,0.82,SW
53,356.12,180.68,15.21,3.04,Simple,0.82,NE
54,350.75,91.68,13.92,2.78,Simple,0.81,NE
