ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,328.22,246.59,25.22,5.04,Complex,0.96,SE
2,40.09,267.71,8.84,1.77,Simple,0.93,SW
3,74.57,390.46,22.84,4.57,Complex,0.93,SW
4,166.17,290.45,18.1,3.62,Simple,0.93,SW
5,50.66,351.56,11.79,2.36,Simple,0.93,SW
6,40.05,372.61,8.6,1.72,Simple,0.91,SW
7,152.37,206.06,10.44,2.09,Simple,0.91,NW
8,320.97,300.22,16.78,3.36,Simple,0.91,SE
9,77.61,345.61,9.0,1.8,Simple,0.91,SW
10,140.21,256.57,8.33,1.67,Simple,0.91,SW
11,198.91,107.27,20.34,4.07,Complex,0.91,NW
12,270.81,277.86,11.45,2.29,Simple,0.9,SE
13,142.97,162.02,11.41,2.28,Simple,0.9,NW
14,174.44,355.05,9.11,1.82,Simple,0.9,SW
15,59.47,282.94,18.7,3.74,Simple,0.9,SW
16,64.66,352.73,8.12,1.62,Simple,0.89,SW
17,183.68,206.1,9.13,1.83,Simple,0.89,NW
18,21.36,111.35,9.79,1.96,Simple,0.89,NW
19,266.75,349.34,8.85,1.77,Simple,0.87,SE
20,349.83,273.94,9.19,1.84,Simple,0.87,SE
21,392.62,311.93,13.7,2.74,Simple,0.87,SE
22,64.32,111.92,8.26,1.65,Simple,0.87,NW
23,96.67,345.5,13.97,2.79,Simple,0.87,SW
24,114.57,197.49,11.24,2.25,Simple,0.87,NW
25,67.7,272.89,11.31,2.26,Simple,0.87,SW
26,385.1,236.74,13.6,2.72,Simple,0.87,SE
27,259.95,262.44,10.57,2.11,Simple,0.86,SE
28,224.85,220.91,9.96,1.99,Simple,0.86,SE
29,48.77,115.02,13.05,2.61,Simple,0.86,NW
30,103.4,323.58,8.9,1.78,Simple,0.85,SW
31,118.69,166.47,12.61,2.52,Simple,0.85,NW
32,28.06,126.12,9.68,1.94,Simple/Overlapping,0.85,NW
33,32.78,321.52,7.62,1.52,Simple,0.85,SW
34,246.82,256.2,12.13,2.43,Simple,0.85,SE
35,104.46,284.39,14.83,2.97,Simple,0.85,SW
36,19.71,351.25,9.18,1.84,Simple,0.84,SW
37,270.46,410.21,9.35,1.87,Simple,0.84,SE
38,159.42,401.06,7.8,1.56,Simple,0.84,SW
39,55.33,93.45,7.96,1.59,Simple,0.84,NW
40,77.67,412.58,10.91,2.18,Degraded,0.83,SW
41,153.03,188.66,8.01,1.6,Simple,0.83,NW
42,270.71,257.9,8.07,1.61,Simple,0.83,SE
43,95.42,293.23,9.09,1.82,Simple,0.83,SW
44,108.6,150.98,8.15,1.63,Simple,0.82,NW
45,159.67,330.14,9.06,1.81,Simple,0.82,SW
46,248.68,242.07,8.98,1.8,Simple,0.81,SE
47,167.59,161.33,25.26,5.05,Complex,0.8,NW
48,13.59,172.69,7.26,1.45,Simple,0.79,NW
49,246.28,311.59,7.89,1.58,Simple,0.79,SE
50,369.83,379.26,8.79,1.76,Simple,0.78,SE
51,8.55,303.67,6.94,1.39,Simple,0.78,SW
52,205.86,397.48,8.61,1.72,Simple,0.78,SW
53,147.99,376.52,9.53,1.91,Simple,0.78,SW
54,258.21,361.77,9.03,1.81,Simple,0.77,SE
55,369.11,27.87,6.79,1.36,Simple,0.77,NE
56,154.78,393.9,9.69,1.94,Simple,0.76,SW
57,406.78,351.66,10.72,2.14,Simple,0.76,SE
58,203.81,385.59,9.11,1.82,Simple,0.76,SW
59,140.27,4.55,7.56,1.51,Simple,0.75,NW
60,213.09,14.95,8.39,1.68,Simple,0.74,NE
61,82.33,136.32,20.32,4.06,Complex,0.74,NW
62,389.03,380.01,7.2,1.44,Simple,0.74,SE
63,27.21,341.94,7.81,1.56,Simple,0.74,SW
64,224.65,288.02,6.63,1.33,Simple,0.73,SE
65,59.19,380.24,7.39,1.48,Simple,0.73,SW
66,232.99,178.17,10.99,2.2,Simple,0.73,NE
67,138.92,342.11,8.47,1.69,Simple,0.72,SW
68,153.21,384.02,8.88,1.78,Simple,0.72,SW
69,120.58,147.99,9.16,1.83,Simple,0.71,NW
70,64.49,222.1,13.36,2.67,Simple,0.7,SW
71,231.67,331.07,6.44,1.29,Simple,0.69,SE
72,37.15,309.18,6.56,1.31,Simple,0.68,SW
73,20.27,316.46,7.46,1.49,Simple,0.68,SW
74,20.87,398.29,7.51,1.5,Simple,0.67,SW
75,294.71,79.53,20.85,4.17,Complex,0.67,NE
76,288.62,250.75,8.34,1.67,Simple,0.66,SE
77,267.79,268.55,7.17,1.43,Simple,0.65,SE
78,330.28,110.21,15.41,3.08,Simple,0.65,NE
79,270.93,309.6,7.57,1.51,Simple,0.64,SE
80,278.03,325.01,6.81,1.36,Simple,0.64,SE
81,378.22,356.13,7.68,1.54,Simple,0.63,SE
82,99.26,196.22,6.54,1.31,Simple,0.63,NW
83,172.19,381.7,6.97,1.39,Simple,0.63,SW
84,81.54,176.99,7.09,1.42,Simple,0.62,NW
85,173.26,342.84,7.03,1.41,Simple,0.62,SW
86,132.83,378.75,8.92,1.78,Simple,0.61,SW
87,51.46,381.54,7.65,1.53,Simple,0.6,SW
88,55.58,208.24,13.37,2.67,Simple,0.59,SW
89,141.05,286.12,7.49,1.5,Simple,0.59,SW
90,91.57,362.85,7.66,1.53,Simple,0.59,SW
91,27.53,165.42,7.41,1.48,Simple,0.58,NW
92,311.8,146.88,9.69,1.94,Simple,0.57,NE
93,58.48,310.01,6.58,1.32,Simple,0.56,SW
94,369.59,337.3,6.95,1.39,Simple,0.56,SE
95,85.25,160.93,24.96,4.99,Complex/Overlapping,0.55,NW
96,118.71,187.27,7.47,1.49,Simple,0.55,NW
97,384.57,128.18,35.25,7.05,Complex,0.55,NE
98,354.52,220.27,8.7,1.74,Simple,0.55,SE
99,355.42,377.54,6.66,1.33,Simple,0.54,SE
100,345.11,360.95,7.82,1.56,Simple,0.54,SE
101,327.98,405.22,6.19,1.24,Simple,0.54,SE
102,37.88,157.18,9.11,1.82,Simple,0.53,NW
103,150.45,339.96,7.34,1.47,Simple,0.51,SW
104,77.42,373.95,8.34,1.67,Simple,0.51,SW
105,383.09,152.36,24.05,4.81,Complex,0.5,NE
106,184.67,272.62,6.19,1.24,Simple,0.49,SW
107,367.25,132.96,6.23,1.25,Simple,0.49,NE
108,356.34,31.02,10.45,2.09,Simple,0.49,NE
109,345.31,406.91,6.6,1.32,Simple,0.49,SE
110,310.93,112.29,15.19,3.04,Simple,0.48,NE
111,200.53,377.49,8.83,1.77,Simple,0.48,SW
112,250.94,262.18,5.86,1.17,Simple,0.48,SE
113,213.82,394.8,6.47,1.29,Simple,0.47,SE
114,272.41,63.17,7.95,1.59,Simple,0.46,NE
115,343.63,387.52,5.83,1.17,Simple,0.46,SE
116,155.66,324.91,6.91,1.38,Simple,0.46,SW
117,55.8,413.24,8.5,1.7,Degraded,0.45,SW
118,359.07,40.7,5.94,1.19,Simple,0.45,NE
119,271.66,195.55,8.88,1.78,Simple,0.44,NE
120,325.62,221.68,19.99,4.0,Simple,0.43,SE
121,197.96,180.7,6.63,1.33,Simple,0.41,NW
122,152.23,164.49,6.65,1.33,Simple,0.41,NW
123,238.27,320.21,6.25,1.25,Simple,0.4,SE
124,81.86,158.18,19.76,3.95,Simple/Overlapping,0.4,NW
125,339.13,333.65,7.52,1.5,Simple,0.39,SE
126,359.53,410.77,8.32,1.66,Simple,0.38,SE
127,85.75,314.93,7.81,1.56,Simple,0.38,SW
128,269.35,300.97,6.29,1.26,Simple,0.38,SE
129,173.34,364.06,10.43,2.09,Simple,0.38,SW
130,285.86,7.32,5.43,1.09,Simple,0.37,NE
131,209.66,240.67,7.97,1.59,Simple,0.37,SE
132,62.24,200.41,6.71,1.34,Simple,0.37,NW
133,9.67,129.53,7.01,1.4,Simple,0.36,NW
134,329.52,98.25,5.61,1.12,Simple,0.36,NE
135,318.02,115.24,5.16,1.03,Simple,0.36,NE
136,201.82,189.89,6.65,1.33,Simple,0.36,NW
137,151.94,314.86,6.59,1.32,Simple,0.35,SW
138,254.41,237.44,6.79,1.36,Simple,0.34,SE
139,21.93,91.29,7.96,1.59,Simple,0.33,NW
140,195.96,228.69,6.16,1.23,Simple,0.33,SW
141,347.18,367.99,7.52,1.5,Simple,0.33,SE
142,97.08,146.51,15.42,3.08,Simple,0.33,NW
143,34.08,134.63,17.44,3.49,Simple/Overlapping,0.33,NW
144,138.92,382.28,7.54,1.51,Simple,0.33,SW
145,166.12,214.84,6.23,1.25,Simple,0.32,SW
146,342.04,341.48,7.73,1.55,Simple,0.32,SE
147,152.08,357.56,6.64,1.33,Simple,0.31,SW
148,104.09,299.65,5.97,1.19,Simple,0.31,SW
149,67.53,147.82,10.81,2.16,Simple,0.29,NW
150,208.26,85.59,16.11,3.22,Simple,0.28,NE
151,129.1,190.77,6.38,1.28,Simple,0.28,NW
152,408.59,62.13,5.75,1.15,Simple,0.28,NE
153,267.02,3.07,6.4,1.28,Simple,0.28,NE
154,138.0,247.47,7.17,1.43,Simple,0.28,SW
155,129.24,30.51,5.56,1.11,Simple,0.28,NW
156,35.58,102.91,6.0,1.2,Simple,0.27,NW
157,126.12,312.94,6.8,1.36,Simple,0.27,SW
158,127.8,159.45,7.66,1.53,Simple,0.27,NW
159,221.45,390.82,5.77,1.15,Simple,0.27,SE
160,38.88,299.45,6.31,1.26,Simple,0.27,SW
161,256.72,398.17,5.67,1.13,Simple,0.27,SE
162,87.25,247.34,12.65,2.53,Simple,0.27,SW
163,408.98,91.06,5.96,1.19,Simple,0.27,NE
164,116.1,214.93,7.02,1.4,Simple,0.27,SW
165,41.89,144.08,21.75,4.35,Complex/Overlapping,0.27,NW
166,24.47,201.9,7.57,1.51,Simple,0.26,NW
167,168.66,331.01,7.8,1.56,Simple,0.25,SW
