ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,283.66,169.81,8.64,1.73,Simple,0.92,NE
2,58.89,247.64,10.15,2.03,Simple,0.92,SW
3,384.23,261.86,14.8,2.96,Simple,0.92,SE
4,47.07,175.82,12.64,2.53,Simple,0.91,NW
5,264.28,346.45,7.61,1.52,Simple,0.91,SE
6,196.89,54.65,9.71,1.94,Simple,0.9,NW
7,338.17,20.07,12.85,2.57,Simple,0.9,NE
8,123.96,136.52,6.9,1.38,Simple,0.9,NW
9,378.51,28.42,12.52,2.5,Simple,0.88,NE
10,120.49,86.78,8.19,1.64,Simple,0.88,NW
11,385.42,82.43,9.71,1.94,Simple,0.88,NE
12,100.84,308.17,6.5,1.3,Simple,0.87,SW
13,145.65,59.92,7.82,1.56,Simple,0.86,NW
14,280.49,251.17,7.74,1.55,Simple,0.86,SE
15,79.12,48.64,7.09,1.42,Simple,0.84,NW
16,266.32,245.65,8.03,1.61,Simple,0.84,SE
17,239.3,380.65,6.62,1.32,Simple,0.83,SE
18,362.53,283.86,9.95,1.99,Simple,0.83,SE
19,208.56,22.66,14.42,2.88,Simple,0.83,NE
20,319.98,354.68,7.16,1.43,Simple,0.83,SE
21,102.37,343.9,7.34,1.47,Simple,0.82,SW
22,231.97,292.79,6.27,1.25,Simple,0.82,SE
23,370.82,302.59,6.67,1.33,Simple,0.82,SE
24,268.72,314.58,8.73,1.75,Simple,0.81,SE
25,134.05,386.09,5.94,1.19,Simple,0.8,SW
26,88.89,133.94,5.9,1.18,Simple,0.8,NW
27,185.75,11.89,7.68,1.54,Simple,0.8,NW
28,80.03,339.0,7.12,1.42,Simple,0.79,SW
29,133.54,303.58,5.58,1.12,Simple,0.79,SW
30,333.65,182.16,7.45,1.49,Simple,0.78,NE
31,383.03,235.78,6.14,1.23,Simple,0.78,SE
32,193.96,248.43,7.63,1.53,Simple,0.76,SW
33,58.52,211.18,6.12,1.22,Simple,0.75,SW
34,60.86,63.84,6.3,1.26,Simple,0.75,NW
35,42.87,322.0,5.91,1.18,Simple,0.74,SW
36,285.06,133.3,9.86,1.97,Simple,0.73,NE
37,262.09,131.04,7.81,1.56,Simple,0.73,NE
