ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,195.34,32.63,24.95,4.99,Complex,0.94,NW
2,50.99,140.69,22.42,4.48,Complex,0.94,NW
3,122.53,17.24,10.73,2.15,Simple,0.93,NW
4,205.1,270.73,10.2,2.04,Simple,0.91,SW
5,43.86,259.38,10.13,2.03,Simple,0.91,SW
6,87.74,366.16,12.62,2.52,Simple,0.9,SW
7,321.98,169.96,10.57,2.11,Simple,0.9,NE
8,130.8,103.92,13.07,2.61,Simple,0.9,NW
9,178.27,277.95,14.18,2.84,Simple,0.89,SW
10,129.12,355.98,15.38,3.08,Simple,0.89,SW
11,335.97,22.75,8.08,1.62,Simple,0.89,NE
12,310.63,202.6,8.21,1.64,Simple,0.88,NE
13,234.91,35.34,7.52,1.5,Simple,0.87,NE
14,103.91,119.39,10.08,2.02,Simple,0.87,NW
15,280.35,68.44,9.18,1.84,Simple,0.87,NE
16,119.81,304.23,8.39,1.68,Simple,0.87,SW
17,112.45,85.45,20.26,4.05,Complex,0.87,NW
18,118.33,54.22,9.57,1.91,Simple,0.87,NW
19,334.97,133.65,7.83,1.57,Simple,0.86,NE
20,49.15,393.22,20.87,4.17,Complex,0.86,SW
21,247.62,274.22,7.25,1.45,Simple,0.86,SE
22,42.31,304.13,9.18,1.84,Simple,0.85,SW
23,347.19,324.26,95.94,19.19,Complex,0.84,SE
24,283.36,92.29,8.21,1.64,Simple,0.83,NE
25,108.87,296.84,9.15,1.83,Simple,0.83,SW
26,172.81,378.23,18.42,3.68,Simple,0.82,SW
27,177.88,245.51,7.35,1.47,Simple,0.81,SW
28,35.22,291.6,15.87,3.17,Simple,0.81,SW
29,101.38,264.58,14.43,2.89,Simple/Overlapping,0.8,SW
30,357.05,41.08,13.37,2.67,Simple,0.79,NE
31,351.3,139.85,7.12,1.42,Simple,0.78,NE
32,122.02,30.44,6.41,1.28,Simple,0.78,NW
33,294.79,284.63,7.35,1.47,Simple,0.78,SE
34,100.89,148.69,21.18,4.24,Complex,0.76,NW
35,271.51,291.57,6.65,1.33,Simple,0.75,SE
36,144.67,365.59,12.89,2.58,Simple/Overlapping,0.75,SW
37,104.43,202.84,14.11,2.82,Simple,0.75,NW
38,113.13,337.15,12.59,2.52,Simple,0.74,SW
39,310.1,8.97,6.42,1.28,Simple,0.73,NE
40,324.69,393.91,6.13,1.23,Simple,0.72,SE
41,295.61,73.51,6.74,1.35,Simple,0.71,NE
42,90.89,327.03,28.02,5.6,Complex/Overlapping,0.7,SW
43,124.04,141.91,24.49,4.9,Complex,0.7,NW
44,267.45,207.51,55.08,11.02,Complex,0.7,NE
45,301.06,16.01,7.53,1.51,Simple,0.69,NE
46,253.47,207.05,6.9,1.38,Simple,0.69,NE
47,146.27,289.71,5.96,1.19,Simple,0.69,SW
48,87.02,54.54,5.64,1.13,Simple,0.69,NW
49,251.98,283.18,10.35,2.07,Simple,0.68,SE
50,263.26,214.53,5.83,1.17,Simple,0.67,SE
51,269.97,75.1,6.97,1.39,Simple,0.66,NE
52,182.71,394.4,6.72,1.34,Simple/Overlapping,0.66,SW
53,224.86,223.89,12.18,2.44,Simple,0.64,SE
54,156.19,386.23,19.39,3.88,Simple,0.64,SW
55,97.06,76.12,6.35,1.27,Simple,0.62,NW
56,347.5,242.39,6.15,1.23,Simple,0.62,SE
57,84.98,343.44,10.98,2.2,Simple,0.62,SW
58,93.71,406.07,19.56,3.91,Simple,0.62,SW
59,145.17,237.01,15.66,3.13,Simple,0.61,SW
