ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,161.97,51.18,19.85,3.97,Simple/Overlapping,0.92,NW
2,146.78,160.17,11.09,2.22,Simple,0.92,NW
3,147.0,17.73,11.39,2.28,Simple,0.92,NW
4,87.68,110.92,9.12,1.82,Simple,0.92,NW
5,110.63,154.27,29.18,5.84,Complex,0.91,NW
6,250.86,175.01,12.49,2.5,Simple,0.91,NE
7,149.04,250.96,14.86,2.97,Simple,0.9,SW
8,245.78,60.0,12.31,2.46,Simple,0.9,NE
9,90.33,9.67,6.78,1.36,Simple,0.9,NW
10,255.0,127.72,10.84,2.17,Simple,0.89,NE
11,161.07,178.8,9.32,1.86,Simple,0.89,NW
12,249.55,113.79,9.65,1.93,Simple,0.89,NE
13,287.76,233.03,8.22,1.64,Simple,0.89,SE
14,186.93,374.23,25.92,5.18,Complex,0.88,SW
15,110.16,392.61,8.32,1.66,Simple,0.87,SW
16,355.89,98.17,11.58,2.32,Simple,0.86,NE
17,109.14,372.14,8.28,1.66,Simple,0.86,SW
18,76.97,190.2,8.18,1.64,Simple,0.86,NW
19,390.92,42.02,16.85,3.37,Simple,0.85,NE
20,185.06,43.97,11.91,2.38,Simple,0.85,NW
21,228.49,232.83,7.51,1.5,Simple,0.84,SE
22,302.3,43.6,8.34,1.67,Simple,0.82,NE
23,400.29,107.37,9.02,1.8,Simple,0.8,NE
24,199.0,311.21,8.45,1.69,Simple,0.79,SW
25,249.72,140.6,7.19,1.44,Simple,0.78,NE
26,311.76,117.66,8.69,1.74,Simple/Overlapping,0.76,NE
27,194.24,140.46,8.73,1.75,Simple,0.75,NW
28,149.65,40.18,23.54,4.71,Complex/Overlapping,0.75,NW
29,189.55,125.97,10.77,2.15,Simple/Overlapping,0.74,NW
30,208.76,8.64,7.72,1.54,Simple,0.74,NE
31,64.45,388.88,9.29,1.86,Simple,0.74,SW
32,51.1,123.55,6.91,1.38,Simple,0.74,NW
33,93.09,156.48,6.98,1.4,Simple,0.72,NW
34,390.06,138.32,7.5,1.5,Simple,0.72,NE
35,82.51,184.29,7.86,1.57,Simple,0.7,NW
36,6.6,40.8,5.63,1.13,Simple,0.69,NW
37,318.58,45.05,11.25,2.25,Simple,0.68,NE
38,406.11,100.99,7.4,1.48,Simple,0.68,NE
39,347.54,109.82,7.07,1.41,Simple,0.65,NE
40,34.54,46.25,5.53,1.11,Simple,0.65,NW
41,226.59,103.81,6.75,1.35,Simple,0.65,NE
42,263.14,121.72,8.55,1.71,Simple,0.65,NE
43,224.91,409.48,11.73,2.35,Simple,0.64,SE
44,309.86,189.95,8.36,1.67,Simple,0.64,NE
45,126.29,99.38,5.53,1.11,Simple,0.62,NW
