ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,234.37,204.26,53.46,10.69,Complex,0.95,NE
2,161.5,356.3,16.42,3.28,Simple,0.93,SW
3,74.8,92.89,14.02,2.8,Simple,0.92,NW
4,248.93,325.49,9.86,1.97,Simple,0.92,SE
5,14.2,154.69,9.98,2.0,Simple,0.92,NW
6,109.87,320.32,12.17,2.43,Simple,0.92,SW
7,314.79,309.52,8.91,1.78,Simple,0.92,SE
8,36.68,360.76,12.61,2.52,Simple,0.92,SW
9,187.16,215.44,16.5,3.3,Simple,0.92,SW
10,64.77,174.43,8.77,1.75,Simple,0.91,NW
11,145.24,377.42,11.52,2.3,Simple,0.9,SW
12,199.76,74.83,8.81,1.76,Simple,0.9,NW
13,295.14,369.46,11.45,2.29,Simple,0.9,SE
14,346.08,101.28,8.9,1.78,Simple,0.9,NE
15,38.88,67.57,10.73,2.15,Simple,0.9,NW
16,238.31,27.53,11.27,2.25,Simple,0.9,NE
17,129.69,307.49,9.2,1.84,Simple,0.9,SW
18,46.18,338.03,9.04,1.81,Simple,0.89,SW
19,28.93,192.74,12.55,2.51,Simple,0.89,NW
20,50.76,129.94,9.96,1.99,Simple,0.89,NW
21,304.36,337.03,10.0,2.0,Simple,0.88,SE
22,34.63,268.71,13.41,2.68,Simple,0.88,SW
23,42.27,178.78,9.31,1.86,Simple,0.88,NW
24,97.13,298.16,8.44,1.69,Simple,0.88,SW
25,205.33,41.6,7.75,1.55,Simple,0.87,NW
26,210.8,144.93,10.89,2.18,Simple,0.87,NE
27,266.55,26.27,7.92,1.58,Simple,0.87,NE
28,332.86,26.69,9.11,1.82,Simple,0.87,NE
29,23.74,385.72,8.12,1.62,Simple,0.87,SW
30,7.2,97.32,12.15,2.43,Simple,0.87,NW
31,333.49,48.87,7.71,1.54,Simple,0.87,NE
32,261.25,353.66,9.41,1.88,Simple,0.87,SE
33,32.24,103.73,9.35,1.87,Simple,0.86,NW
34,110.06,203.26,14.74,2.95,Simple,0.86,NW
35,290.64,340.83,7.8,1.56,Simple,0.85,SE
36,337.13,359.15,13.16,2.63,Simple,0.85,SE
37,262.58,219.2,11.89,2.38,Simple,0.85,SE
38,89.78,230.1,10.71,2.14,Simple,0.85,SW
39,278.73,72.6,9.3,1.86,Simple,0.85,NE
40,265.57,410.34,10.26,2.05,Simple,0.84,SE
