ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,92.65,8.27,21.06,4.21,Complex,0.92,NW
2,282.67,138.17,12.88,2.58,Simple,0.92,NE
3,37.0,242.36,22.83,4.57,Complex,0.91,SW
4,316.05,296.84,9.85,1.97,Simple,0.91,SE
5,78.21,280.44,20.53,4.11,Complex,0.91,SW
6,231.92,343.39,10.85,2.17,Simple,0.9,SE
7,221.61,199.2,18.27,3.65,Simple,0.9,NE
8,348.69,56.49,10.41,2.08,Simple,0.9,NE
9,349.65,282.96,16.57,3.31,Simple,0.9,SE
10,226.2,377.66,8.87,1.77,Simple,0.9,SE
11,309.34,361.9,13.37,2.67,Simple,0.89,SE
12,128.95,175.93,8.66,1.73,Simple,0.89,NW
13,47.02,252.0,9.45,1.89,Simple,0.89,SW
14,75.45,254.25,17.55,3.51,Simple,0.89,SW
15,365.7,356.96,16.54,3.31,Simple,0.89,SE
16,325.25,209.63,10.36,2.07,Simple,0.89,SE
17,62.5,159.45,16.67,3.33,Simple,0.89,NW
18,220.19,128.94,10.49,2.1,Simple,0.89,NE
19,58.22,253.12,13.34,2.67,Simple/Overlapping,0.88,SW
20,198.92,158.13,9.12,1.82,Simple,0.88,NW
21,286.32,319.16,9.24,1.85,Simple,0.88,SE
22,219.53,334.17,8.25,1.65,Simple,0.88,SE
23,280.03,165.96,8.79,1.76,Simple,0.88,NE
24,173.98,135.95,12.8,2.56,Simple,0.88,NW
25,298.15,271.73,7.32,1.46,Simple,0.88,SE
26,89.21,295.88,20.92,4.18,Complex,0.88,SW
27,326.37,278.94,19.2,3.84,Simple/Overlapping,0.87,SE
28,122.79,318.29,17.93,3.59,Simple,0.87,SW
29,284.0,248.81,13.34,2.67,Simple,0.87,SE
30,92.78,381.94,15.13,3.03,Simple,0.86,SW
31,34.04,73.29,10.1,2.02,Simple,0.86,NW
32,47.55,12.36,8.89,1.78,Simple,0.86,NW
33,102.06,237.0,11.9,2.38,Simple,0.86,SW
34,125.39,338.5,9.31,1.86,Simple,0.86,SW
35,40.98,189.13,14.57,2.91,Simple,0.86,NW
36,144.43,65.64,12.82,2.56,Simple,0.86,NW
37,246.32,112.76,8.91,1.78,Simple,0.86,NE
38,57.76,285.88,17.59,3.52,Simple,0.85,SW
39,103.01,364.63,13.4,2.68,Simple,0.85,SW
40,380.07,339.77,11.91,2.38,Simple,0.85,SE
41,281.48,336.13,6.92,1.38,Simple,0.85,SE
42,265.51,211.81,19.25,3.85,Simple/Overlapping,0.85,SE
43,281.37,311.2,7.49,1.5,Simple,0.84,SE
44,116.93,245.21,7.87,1.57,Simple,0.84,SW
45,353.37,16.81,8.23,1.65,Simple,0.84,NE
46,137.3,377.04,7.64,1.53,Simple,0.84,SW
47,223.67,104.27,10.41,2.08,Simple,0.83,NE
48,267.44,301.9,13.17,2.63,Simple/Overlapping,0.83,SE
49,104.46,255.1,9.28,1.86,Simple,0.83,SW
50,179.61,113.14,7.82,1.56,Simple,0.83,NW
51,194.59,207.11,7.31,1.46,Simple,0.82,NW
52,159.32,150.54,9.74,1.95,Simple,0.82,NW
53,175.05,182.24,16.44,3.29,Simple,0.82,NW
54,338.8,321.72,14.0,2.8,Simple,0.82,SE
55,105.76,79.87,11.51,2.3,Simple,0.81,NW
56,156.22,82.64,9.25,1.85,Simple,0.81,NW
57,218.26,300.3,7.22,1.44,Simple,0.8,SE
58,204.0,74.86,7.69,1.54,Simple,0.8,NW
59,47.22,384.01,10.32,2.06,Simple,0.8,SW
60,30.91,125.17,7.19,1.44,Simple,0.8,NW
61,214.55,346.03,7.53,1.51,Simple,0.8,SE
62,121.13,293.94,20.98,4.2,Complex,0.8,SW
63,344.89,182.45,11.11,2.22,Simple,0.8,NE
64,139.51,129.55,9.71,1.94,Simple,0.8,NW
65,133.31,349.82,11.32,2.26,Simple,0.8,SW
66,99.41,197.32,13.17,2.63,Simple,0.79,NW
67,268.31,403.01,14.31,2.86,Simple,0.79,SE
68,48.35,115.44,12.37,2.47,Simple/Overlapping,0.79,NW
69,214.62,159.05,8.67,1.73,Simple,0.79,NE
70,192.85,317.19,11.3,2.26,Simple,0.79,SW
71,94.55,314.94,18.73,3.75,Simple/Overlapping,0.79,SW
72,280.18,125.64,7.72,1.54,Simple,0.78,NE
73,121.29,397.65,11.0,2.2,Simple/Overlapping,0.78,SW
74,375.45,323.69,11.18,2.24,Simple,0.78,SE
75,135.66,360.47,12.19,2.44,Simple/Overlapping,0.78,SW
76,317.99,249.29,11.18,2.24,Simple,0.77,SE
77,87.74,181.35,8.21,1.64,Simple,0.77,NW
78,26.79,54.7,7.41,1.48,Simple,0.77,NW
79,288.15,207.91,14.96,2.99,Simple/Overlapping,0.77,NE
80,186.5,201.54,15.41,3.08,Simple,0.77,NW
81,271.88,88.39,8.29,1.66,Simple,0.77,NE
82,106.21,305.45,14.79,2.96,Simple,0.77,SW
83,346.56,79.16,7.19,1.44,Simple,0.77,NE
84,54.46,352.6,7.8,1.56,Simple,0.76,SW
85,252.0,216.26,9.14,1.83,Simple,0.76,SE
86,327.37,343.72,7.02,1.4,Simple,0.75,SE
87,84.88,158.0,7.53,1.51,Simple/Overlapping,0.75,NW
88,71.06,165.77,8.35,1.67,Simple,0.75,NW
89,76.2,93.62,10.46,2.09,Simple,0.74,NW
90,125.19,74.39,7.37,1.47,Simple,0.74,NW
91,328.19,119.33,9.82,1.96,Simple,0.74,NE
92,58.13,109.65,9.65,1.93,Simple,0.73,NW
93,29.2,377.49,8.07,1.61,Simple,0.73,SW
94,317.36,269.65,13.15,2.63,Simple/Overlapping,0.73,SE
95,218.7,284.75,9.5,1.9,Simple/Overlapping,0.72,SE
96,111.32,95.74,10.47,2.09,Simple,0.72,NW
97,306.6,68.25,7.0,1.4,Simple/Overlapping,0.71,NE
98,45.07,112.0,7.92,1.58,Simple/Overlapping,0.71,NW
99,96.57,186.42,12.14,2.43,Simple,0.71,NW
100,234.86,210.2,7.83,1.57,Simple,0.7,SE
101,377.0,409.82,6.22,1.24,Simple,0.7,SE
102,306.97,246.38,11.15,2.23,Simple/Overlapping,0.7,SE
103,264.84,313.01,10.48,2.1,Simple/Overlapping,0.7,SE
104,25.31,15.89,7.06,1.41,Simple,0.7,NW
105,73.8,218.2,11.89,2.38,Simple,0.7,SW
106,121.91,263.89,10.39,2.08,Simple,0.7,SW
