ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,293.99,93.37,8.23,1.65,Simple,0.91,NE
2,150.26,399.41,10.84,2.17,Simple,0.89,SW
3,205.8,99.08,10.38,2.08,Simple,0.88,NW
4,300.55,325.18,6.76,1.35,Simple,0.87,SE
5,193.91,155.05,9.13,1.83,Simple,0.85,NW
6,161.02,13.4,6.71,1.34,Simple,0.82,NW
7,117.73,231.52,23.74,4.75,Complex,0.79,SW
8,341.94,33.6,14.5,2.9,Simple/Overlapping,0.78,NE
9,266.73,339.72,9.32,1.86,Simple,0.78,SE
10,59.05,86.7,23.0,4.6,Complex,0.77,NW
11,181.09,173.42,9.19,1.84,Simple,0.74,NW
12,130.05,192.64,7.34,1.47,Simple,0.74,NW
13,191.43,178.1,14.74,2.95,Simple/Overlapping,0.72,NW
14,366.98,11.32,6.85,1.37,Simple,0.72,NE
15,277.37,285.9,6.21,1.24,Simple,0.71,SE
16,330.53,43.4,11.04,2.21,Simple,0.69,NE
17,295.59,312.82,5.65,1.13,Simple,0.68,SE
18,305.73,383.14,8.5,1.7,Simple,0.67,SE
19,244.99,110.76,5.71,1.14,Simple,0.65,NE
20,233.51,62.78,5.64,1.13,Simple,0.65,NE
21,175.33,192.33,6.79,1.36,Simple,0.62,NW
22,75.36,4.71,6.81,1.36,Simple,0.62,NW
23,43.38,20.18,14.89,2.98,Degraded,0.62,NW
24,265.44,363.57,5.5,1.1,Simple,0.58,SE
25,107.26,70.74,5.2,1.04,Simple,0.57,NW
26,326.29,176.78,6.22,1.24,Simple,0.56,NE
27,292.78,392.77,5.41,1.08,Simple,0.55,SE
28,218.18,411.42,5.52,1.1,Simple,0.54,SE
29,148.05,199.97,7.31,1.46,Simple,0.53,NW
30,268.19,156.97,5.28,1.06,Simple,0.53,NE
31,192.54,26.95,18.87,3.77,Simple,0.49,NW
32,183.62,184.86,14.98,3.0,Simple/Overlapping,0.48,NW
33,118.08,166.82,6.34,1.27,Simple,0.48,NW
34,50.12,279.45,5.56,1.11,Simple,0.47,SW
35,151.25,221.31,11.27,2.25,Simple/Overlapping,0.46,SW
36,366.3,214.27,5.71,1.14,Simple,0.46,SE
37,287.54,352.18,5.92,1.18,Simple,0.45,SE
38,357.64,191.91,46.77,9.35,Complex,0.44,NE
39,337.5,38.38,7.09,1.42,Simple/Overlapping,0.43,NE
40,256.84,372.6,5.4,1.08,Simple,0.43,SE
41,55.18,174.97,5.08,1.02,Simple,0.43,NW
42,189.61,167.17,7.06,1.41,Simple,0.41,NW
43,131.66,243.78,15.66,3.13,Simple,0.41,SW
44,138.21,154.15,6.1,1.22,Simple,0.41,NW
45,122.91,13.41,4.88,0.98,Simple,0.39,NW
46,326.55,330.34,5.26,1.05,Simple,0.38,SE
47,108.45,11.09,4.77,0.95,Simple,0.37,NW
48,361.94,47.92,11.28,2.26,Simple,0.37,NE
49,273.34,99.4,18.11,3.62,Simple,0.37,NE
50,281.47,209.01,10.99,2.2,Simple,0.36,SE
51,244.75,341.15,4.77,0.95,Simple,0.35,SE
52,302.57,295.02,5.24,1.05,Simple,0.35,SE
53,245.34,362.43,6.0,1.2,Simple,0.33,SE
54,369.03,20.66,6.1,1.22,Simple,0.32,NE
55,306.31,248.85,9.56,1.91,Simple,0.31,SE
56,132.96,224.77,7.94,1.59,Simple,0.3,SW
57,145.63,213.11,7.87,1.57,Simple,0.29,SW
58,232.24,414.05,7.41,1.48,Degraded,0.28,SE
59,68.98,253.83,6.85,1.37,Simple,0.28,SW
60,153.47,216.78,9.42,1.88,Simple/Overlapping,0.26,SW
61,87.72,286.15,7.69,1.54,Simple,0.26,SW
62,121.4,7.06,4.57,0.91,Simple,0.26,NW
63,188.85,412.5,5.45,1.09,Simple,0.25,SW
64,327.53,253.07,5.46,1.09,Simple,0.25,SE
