ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,279.38,10.58,16.75,3.35,Simple,0.92,NE
2,268.98,199.85,37.87,7.57,Complex,0.92,NE
3,322.17,310.65,66.57,13.31,Complex,0.91,SE
4,382.05,163.14,8.87,1.77,Simple,0.9,NE
5,88.23,205.1,9.31,1.86,Simple,0.89,NW
6,364.35,154.86,11.34,2.27,Simple,0.89,NE
7,208.23,387.1,12.41,2.48,Simple,0.89,SE
8,211.39,274.5,10.02,2.0,Simple,0.89,SE
9,292.86,372.97,10.96,2.19,Simple,0.89,SE
10,303.78,44.53,8.73,1.75,Simple,0.89,NE
11,47.11,165.86,13.27,2.65,Simple,0.87,NW
12,136.84,263.2,11.4,2.28,Simple,0.86,SW
13,375.32,315.61,11.1,2.22,Simple,0.86,SE
14,255.88,405.65,24.7,4.94,Complex,0.85,SE
15,328.99,164.69,14.46,2.89,Simple,0.85,NE
16,347.77,233.44,13.2,2.64,Simple,0.85,SE
17,164.9,99.88,17.34,3.47,Simple,0.84,NW
18,276.4,252.78,15.2,3.04,Simple,0.84,SE
19,301.15,216.85,8.16,1.63,Simple,0.84,SE
20,94.69,88.94,10.41,2.08,Simple,0.84,NW
21,338.79,208.2,9.44,1.89,Simple,0.84,SE
22,304.94,348.98,15.3,3.06,Simple,0.82,SE
23,146.13,409.74,13.27,2.65,Simple,0.82,SW
24,180.05,143.36,19.98,4.0,Simple,0.81,NW
25,276.98,31.58,12.18,2.44,Simple,0.81,NE
26,254.63,52.62,12.07,2.41,Simple,0.79,NE
27,78.73,184.33,13.21,2.64,Simple,0.79,NW
28,237.56,408.3,11.97,2.39,Simple,0.77,SE
29,294.55,76.61,6.23,1.25,Simple,0.77,NE
30,287.78,88.06,15.6,3.12,Simple,0.76,NE
31,55.91,206.51,13.23,2.65,Simple,0.76,NW
32,199.13,402.5,8.49,1.7,Simple,0.75,SW
33,323.93,173.84,9.33,1.87,Simple,0.75,NE
34,399.9,25.73,19.9,3.98,Simple/Overlapping,0.74,NE
35,264.77,357.45,21.11,4.22,Complex,0.73,SE
36,179.61,306.98,10.55,2.11,Simple,0.73,SW
37,94.13,339.94,11.92,2.38,Simple,0.72,SW
38,175.98,328.63,11.51,2.3,Simple,0.71,SW
39,184.22,190.34,10.89,2.18,Simple,0.71,NW
40,348.71,8.62,9.46,1.89,Simple,0.69,NE
41,306.49,111.1,14.5,2.9,Simple,0.68,NE
42,222.21,188.83,13.96,2.79,Simple,0.67,NE
43,167.14,19.95,21.71,4.34,Complex,0.65,NW
44,355.41,148.51,12.91,2.58,Simple,0.65,NE
45,116.92,347.53,6.35,1.27,Simple,0.64,SW
46,309.67,156.67,6.67,1.33,Simple,0.63,NE
47,180.1,367.64,35.53,7.11,Complex,0.62,SW
48,47.06,184.52,8.13,1.63,Simple,0.61,NW
49,253.31,86.51,9.87,1.97,Simple,0.61,NE
50,132.36,283.57,9.47,1.89,Simple,0.6,SW
51,216.72,412.65,10.47,2.09,Degraded,0.6,SE
52,200.0,168.38,12.22,2.44,Simple,0.59,NW
53,117.12,8.94,13.88,2.78,Simple,0.57,NW
54,363.88,250.6,8.23,1.65,Simple,0.54,SE
55,90.92,363.43,6.18,1.24,Simple,0.53,SW
56,306.7,204.75,7.94,1.59,Simple,0.53,NE
57,364.02,262.73,9.56,1.91,Simple,0.52,SE
58,173.92,38.08,8.07,1.61,Simple,0.52,NW
59,352.16,286.47,10.05,2.01,Simple,0.51,SE
60,343.32,220.77,12.91,2.58,Simple/Overlapping,0.5,SE
61,286.25,127.01,23.85,4.77,Complex,0.5,NE
62,283.04,53.25,12.51,2.5,Simple,0.5,NE
63,151.04,354.51,10.29,2.06,Simple,0.5,SW
64,266.61,133.66,15.56,3.11,Simple,0.49,NE
65,55.81,20.63,8.07,1.61,Simple,0.48,NW
66,181.55,343.28,17.84,3.57,Simple,0.48,SW
67,259.63,121.4,9.08,1.82,Simple,0.46,NE
68,259.6,243.2,9.5,1.9,Simple,0.45,SE
69,132.95,355.69,9.67,1.93,Simple,0.44,SW
70,301.81,153.86,9.0,1.8,Simple,0.44,NE
71,348.71,264.65,5.28,1.06,Simple,0.44,SE
72,274.06,380.17,5.97,1.19,Simple,0.43,SE
73,15.31,106.49,8.43,1.69,Simple,0.43,NW
74,361.1,231.05,10.47,2.09,Simple,0.43,SE
75,22.63,149.87,11.48,2.3,Simple,0.42,NW
76,236.47,179.39,5.35,1.07,Simple,0.41,NE
77,204.86,320.49,8.43,1.69,Simple,0.41,SW
78,353.3,104.57,9.96,1.99,Simple,0.4,NE
79,83.85,405.77,5.78,1.16,Simple,0.4,SW
80,389.08,65.67,16.95,3.39,Simple/Overlapping,0.4,NE
81,182.2,198.75,6.98,1.4,Simple,0.39,NW
82,86.52,99.58,10.31,2.06,Simple,0.38,NW
83,202.07,380.08,4.93,0.99,Simple,0.37,SW
84,399.47,16.9,10.27,2.05,Simple/Overlapping,0.37,NE
85,400.29,22.56,21.84,4.37,Degraded/Overlapping,0.37,NE
86,204.12,79.73,24.6,4.92,Complex,0.36,NW
87,294.12,162.46,6.66,1.33,Simple,0.36,NE
88,110.36,326.33,8.26,1.65,Simple,0.34,SW
89,147.63,231.26,12.06,2.41,Simple,0.34,SW
90,344.27,222.75,11.76,2.35,Simple/Overlapping,0.33,SE
