ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,217.58,361.44,20.84,4.17,Complex,0.93,SE
2,252.03,182.73,11.5,2.3,Simple,0.9,NE
3,166.0,192.89,10.35,2.07,Simple,0.89,NW
4,219.21,382.25,7.4,1.48,Simple,0.88,SE
5,150.11,18.55,8.8,1.76,Simple,0.87,NW
6,276.83,270.53,9.51,1.9,Simple,0.87,SE
7,221.52,9.01,9.42,1.88,Simple,0.87,NE
8,136.16,166.35,17.34,3.47,Simple,0.86,NW
9,201.62,390.14,16.25,3.25,Simple/Overlapping,0.86,SW
10,261.04,239.33,20.54,4.11,Complex,0.85,SE
11,150.81,235.19,12.0,2.4,Simple,0.84,SW
12,211.18,262.99,9.27,1.85,Simple,0.84,SE
13,238.66,180.11,10.63,2.13,Simple,0.84,NE
14,211.46,125.07,9.43,1.89,Simple,0.84,NE
15,241.11,169.07,13.39,2.68,Simple,0.83,NE
16,291.99,136.98,9.8,1.96,Simple,0.83,NE
17,209.69,71.56,15.46,3.09,Simple,0.83,NE
18,246.29,4.76,7.42,1.48,Simple,0.82,NE
19,240.83,244.92,17.04,3.41,Simple,0.8,SE
20,222.68,287.36,9.04,1.81,Simple,0.79,SE
21,162.59,324.89,7.13,1.43,Simple,0.79,SW
22,147.54,4.64,7.35,1.47,Simple,0.78,NW
23,135.83,118.16,8.33,1.67,Simple,0.76,NW
24,128.45,141.8,12.92,2.58,Simple,0.75,NW
25,241.71,155.9,13.26,2.65,Simple,0.73,NE
26,163.68,86.94,9.58,1.92,Simple,0.73,NW
27,202.48,402.15,11.32,2.26,Simple/Overlapping,0.71,SW
28,141.02,75.55,13.5,2.7,Simple,0.7,NW
29,300.78,31.42,7.46,1.49,Simple,0.69,NE
30,264.83,266.88,7.01,1.4,Simple,0.68,SE
31,144.82,26.04,8.09,1.62,Simple,0.66,NW
32,280.37,402.05,6.82,1.36,Simple,0.66,SE
33,225.1,170.39,12.2,2.44,Simple,0.64,NE
34,252.76,31.82,8.54,1.71,Simple,0.63,NE
35,205.71,397.09,8.39,1.68,Simple/Overlapping,0.63,SW
36,228.97,88.88,21.11,4.22,Complex,0.62,NE
37,264.1,130.4,7.95,1.59,Simple,0.61,NE
38,277.19,183.53,11.42,2.28,Simple,0.6,NE
39,251.03,257.66,14.4,2.88,Simple,0.6,SE
40,194.22,24.97,15.64,3.13,Simple,0.6,NW
41,157.62,34.71,8.28,1.66,Simple,0.59,NW
42,224.26,248.25,13.78,2.76,Simple,0.59,SE
43,165.4,209.15,8.62,1.72,Simple,0.58,SW
44,124.98,81.56,7.4,1.48,Simple,0.58,NW
45,156.4,329.58,6.76,1.35,Simple,0.56,SW
46,225.32,126.16,12.15,2.43,Simple/Overlapping,0.56,NE
47,236.04,29.71,10.85,2.17,Simple,0.52,NE
48,229.01,22.72,6.98,1.4,Simple,0.51,NE
49,135.29,182.29,11.94,2.39,Simple,0.5,NW
50,287.36,194.76,15.36,3.07,Simple,0.5,NE
51,211.81,3.11,6.85,1.37,Simple,0.49,NE
52,252.1,73.93,30.1,6.02,Complex,0.49,NE
53,143.27,34.48,8.7,1.74,Simple,0.47,NW
54,146.24,174.47,12.14,2.43,Simple,0.47,NW
55,203.36,153.66,13.68,2.74,Simple/Overlapping,0.47,NW
56,144.49,250.16,6.88,1.38,Simple,0.47,SW
57,175.59,151.38,6.19,1.24,Simple,0.44,NW
58,194.25,73.86,11.34,2.27,Simple,0.44,NW
59,177.06,371.06,6.16,1.23,Simple,0.44,SW
60,168.95,44.41,20.39,4.08,Complex,0.44,NW
61,145.98,90.23,8.27,1.65,Simple,0.41,NW
62,212.35,137.35,6.76,1.35,Simple,0.4,NE
63,283.98,138.66,7.8,1.56,Simple,0.39,NE
64,293.3,145.61,8.61,1.72,Simple,0.36,NE
65,194.56,171.0,26.07,5.21,Complex,0.36,NW
66,210.21,193.55,18.44,3.69,Simple,0.36,NE
67,113.13,247.6,15.95,3.19,Simple,0.35,SW
68,228.8,130.99,10.01,2.0,Simple/Overlapping,0.31,NE
69,283.46,227.33,8.64,1.73,Simple,0.31,SE
70,204.12,401.05,11.77,2.35,Simple/Overlapping,0.31,SW
71,202.49,141.31,20.86,4.17,Complex/Overlapping,0.3,NW
72,117.53,143.1,9.06,1.81,Simple,0.3,NW
73,257.8,40.78,6.4,1.28,Simple,0.3,NE
74,228.03,129.42,11.18,2.24,Simple/Overlapping,0.29,NE
75,142.51,363.44,6.51,1.3,Simple,0.26,SW
76,202.42,91.3,16.71,3.34,Simple,0.26,NW
77,164.47,269.35,28.23,5.65,Complex,0.25,SW
