ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,308.1,148.35,8.07,1.61,Simple,0.93,NE
2,305.91,112.67,8.44,1.69,Simple,0.93,NE
3,214.32,267.48,8.22,1.64,Simple,0.92,SE
4,42.65,126.2,10.78,2.16,Simple,0.91,NW
5,360.56,64.18,8.39,1.68,Simple,0.91,NE
6,315.3,90.28,8.99,1.8,Simple,0.91,NE
7,288.14,50.6,9.5,1.9,Simple,0.9,NE
8,299.91,90.57,10.69,2.14,Simple,0.9,NE
9,316.62,38.09,15.44,3.09,Simple,0.89,NE
10,282.55,265.01,10.33,2.07,Simple,0.89,SE
11,126.58,404.51,8.19,1.64,Simple,0.88,SW
12,63.51,292.61,10.39,2.08,Simple,0.88,SW
13,354.7,19.1,11.49,2.3,Simple,0.87,NE
14,357.49,176.69,16.07,3.21,Simple/Overlapping,0.87,NE
15,206.44,262.31,11.02,2.2,Simple,0.87,SW
16,100.98,387.07,11.06,2.21,Simple,0.87,SW
17,230.82,397.45,7.79,1.56,Simple,0.87,SE
18,246.55,321.83,7.57,1.51,Simple,0.87,SE
19,153.84,379.24,9.06,1.81,Simple,0.86,SW
20,173.37,258.01,9.1,1.82,Simple,0.86,SW
21,364.24,43.69,8.99,1.8,Simple,0.86,NE
22,309.01,25.82,12.09,2.42,Simple,0.86,NE
23,38.58,313.12,12.95,2.59,Simple,0.85,SW
24,151.85,232.15,8.81,1.76,Simple,0.85,SW
25,143.98,213.58,12.47,2.49,Simple,0.84,SW
26,252.03,189.11,6.47,1.29,Simple,0.84,NE
27,58.45,267.01,10.82,2.16,Simple/Overlapping,0.83,SW
28,82.33,314.46,8.3,1.66,Simple,0.83,SW
29,227.25,404.19,7.61,1.52,Simple,0.83,SE
30,247.61,241.56,8.5,1.7,Simple,0.83,SE
31,59.39,193.53,13.13,2.63,Simple,0.83,NW
32,324.45,69.81,9.41,1.88,Simple,0.83,NE
33,163.51,152.82,11.82,2.36,Simple,0.83,NW
34,151.77,199.56,8.38,1.68,Simple,0.83,NW
35,298.39,71.66,10.07,2.01,Simple,0.83,NE
36,346.23,74.78,7.07,1.41,Simple,0.82,NE
37,294.46,228.6,9.69,1.94,Simple,0.82,SE
38,287.75,67.84,10.28,2.06,Simple,0.82,NE
39,94.81,409.92,10.97,2.19,Simple,0.82,SW
40,381.97,224.71,8.51,1.7,Simple,0.82,SE
41,181.61,238.98,7.78,1.56,Simple,0.81,SW
42,80.41,212.17,7.35,1.47,Simple,0.81,SW
43,99.81,224.17,8.99,1.8,Simple,0.81,SW
44,111.52,205.39,8.12,1.62,Simple,0.8,NW
45,79.02,355.3,16.59,3.32,Simple,0.8,SW
46,170.68,250.94,7.16,1.43,Simple,0.8,SW
47,115.22,370.18,8.69,1.74,Simple,0.8,SW
48,101.17,359.15,9.8,1.96,Simple,0.79,SW
49,159.94,232.25,8.45,1.69,Simple,0.79,SW
50,89.86,392.7,16.66,3.33,Simple,0.79,SW
51,205.22,410.36,7.84,1.57,Simple,0.79,SW
52,70.42,330.19,10.3,2.06,Simple,0.79,SW
53,102.94,346.39,11.84,2.37,Simple,0.78,SW
54,131.25,169.61,9.0,1.8,Simple,0.78,NW
55,329.3,387.23,11.31,2.26,Simple,0.78,SE
56,80.84,176.03,6.75,1.35,Simple,0.77,NW
57,316.12,285.7,14.08,2.82,Simple/Overlapping,0.77,SE
58,36.15,277.6,9.22,1.84,Simple,0.77,SW
59,161.56,410.11,9.2,1.84,Simple,0.77,SW
60,221.78,220.12,7.2,1.44,Simple,0.77,SE
61,226.67,387.77,6.25,1.25,Simple,0.77,SE
62,94.75,234.13,8.24,1.65,Simple,0.77,SW
63,94.78,216.22,6.95,1.39,Simple,0.77,SW
64,199.42,256.86,9.09,1.82,Simple/Overlapping,0.77,SW
65,352.99,70.11,9.08,1.82,Simple,0.76,NE
66,73.88,181.79,8.07,1.61,Simple,0.76,NW
67,305.44,374.62,6.47,1.29,Simple,0.76,SE
68,51.87,181.37,9.31,1.86,Simple,0.76,NW
69,280.57,366.79,6.15,1.23,Simple,0.76,SE
70,79.22,323.46,8.25,1.65,Simple,0.76,SW
71,188.26,173.35,7.09,1.42,Simple,0.75,NW
72,377.83,179.01,14.19,2.84,Simple,0.75,NE
73,311.48,314.41,8.97,1.79,Simple,0.75,SE
74,99.19,289.91,8.41,1.68,Simple,0.75,SW
75,245.26,227.67,9.79,1.96,Simple,0.75,SE
76,319.74,97.48,9.57,1.91,Simple,0.75,NE
77,133.79,215.83,10.41,2.08,Simple/Overlapping,0.74,SW
78,357.59,372.41,5.6,1.12,Simple,0.74,SE
79,45.25,397.33,10.16,2.03,Simple,0.74,SW
80,206.91,222.95,6.27,1.25,Simple,0.74,SW
81,241.34,330.47,6.9,1.38,Simple,0.74,SE
82,199.43,252.57,8.25,1.65,Simple/Overlapping,0.74,SW
