ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,377.61,351.27,18.53,3.71,Simple,0.94,SE
2,278.48,350.47,8.99,1.8,Simple,0.93,SE
3,348.04,402.9,9.08,1.82,Simple,0.93,SE
4,24.15,253.41,14.3,2.86,Simple,0.91,SW
5,288.27,376.77,9.8,1.96,Simple,0.91,SE
6,92.63,354.97,9.91,1.98,Simple,0.91,SW
7,406.36,384.73,9.5,1.9,Simple,0.9,SE
8,49.88,128.14,9.93,1.99,Simple,0.9,NW
9,78.16,365.39,10.94,2.19,Simple,0.9,SW
10,379.53,377.03,10.51,2.1,Simple,0.89,SE
11,298.88,192.34,8.48,1.7,Simple,0.89,NE
12,129.2,204.41,7.7,1.54,Simple,0.89,NW
13,74.72,225.31,10.92,2.18,Simple,0.89,SW
14,385.07,367.96,10.14,2.03,Simple,0.88,SE
15,357.42,186.17,7.63,1.53,Simple,0.88,NE
16,70.9,306.86,7.64,1.53,Simple,0.86,SW
17,59.73,305.73,12.82,2.56,Simple,0.86,SW
18,92.18,401.76,11.08,2.22,Simple,0.86,SW
19,115.5,206.23,6.76,1.35,Simple,0.85,NW
20,203.75,357.39,8.64,1.73,Simple,0.85,SW
21,219.9,332.88,8.2,1.64,Simple,0.84,SE
22,155.77,308.0,8.67,1.73,Simple,0.84,SW
23,28.31,197.44,6.98,1.4,Simple,0.84,NW
24,77.29,390.26,9.32,1.86,Simple,0.83,SW
25,301.65,401.26,8.33,1.67,Simple,0.82,SE
26,56.26,344.0,8.25,1.65,Simple,0.82,SW
27,104.37,8.99,9.77,1.95,Simple,0.81,NW
28,263.94,408.73,8.03,1.61,Simple,0.8,SE
29,392.28,380.58,8.27,1.65,Simple,0.8,SE
30,58.18,192.26,16.2,3.24,Simple,0.79,NW
31,163.11,327.28,7.48,1.5,Simple,0.78,SW
32,49.18,400.35,7.58,1.52,Simple,0.77,SW
33,233.96,337.23,7.64,1.53,Simple,0.75,SE
34,219.4,346.35,6.52,1.3,Simple,0.75,SE
35,408.29,307.44,7.24,1.45,Simple,0.74,SE
36,188.43,313.97,8.72,1.74,Simple,0.73,SW
37,371.46,329.68,6.1,1.22,Simple,0.72,SE
38,164.88,293.71,6.33,1.27,Simple,0.71,SW
39,210.17,352.43,8.01,1.6,Simple,0.7,SE
40,369.67,254.38,6.55,1.31,Simple,0.69,SE
41,124.77,359.96,7.11,1.42,Simple,0.68,SW
42,218.62,277.21,6.58,1.32,Simple,0.68,SE
43,18.17,310.65,7.88,1.58,Simple,0.68,SW
44,46.16,160.76,8.54,1.71,Simple,0.68,NW
45,204.39,369.64,7.02,1.4,Simple,0.66,SW
46,360.17,386.77,6.19,1.24,Simple,0.66,SE
47,360.42,410.24,5.89,1.18,Simple,0.66,SE
48,54.56,228.05,8.27,1.65,Simple,0.65,SW
49,271.72,220.18,6.41,1.28,Simple,0.62,SE
50,94.41,47.22,5.57,1.11,Simple,0.61,NW
51,15.08,89.24,8.89,1.78,Simple,0.6,NW
52,14.7,264.45,5.93,1.19,Simple,0.6,SW
53,236.03,100.58,7.02,1.4,Simple,0.59,NE
54,116.45,283.78,6.7,1.34,Simple,0.59,SW
55,294.02,412.07,6.7,1.34,Simple,0.59,SE
56,94.31,393.02,8.36,1.67,Simple,0.59,SW
57,128.78,149.97,5.11,1.02,Simple,0.58,NW
58,117.35,132.98,5.6,1.12,Simple,0.57,NW
59,366.16,13.6,5.75,1.15,Simple,0.57,NE
60,81.65,409.74,6.95,1.39,Simple,0.57,SW
61,64.67,211.02,8.4,1.68,Simple,0.55,SW
62,353.74,175.05,6.37,1.27,Simple,0.55,NE
63,41.91,288.77,6.79,1.36,Simple,0.55,SW
64,388.26,164.05,5.23,1.05,Simple,0.54,NE
65,35.14,103.51,16.17,3.23,Simple,0.52,NW
66,68.16,235.05,8.63,1.73,Simple,0.52,SW
67,409.5,280.53,5.43,1.09,Simple,0.51,SE
68,93.32,329.07,7.26,1.45,Simple,0.49,SW
69,376.61,401.85,5.92,1.18,Simple,0.47,SE
70,255.86,30.49,5.34,1.07,Simple,0.46,NE
71,290.5,249.25,6.25,1.25,Simple,0.46,SE
72,324.23,4.9,6.0,1.2,Simple,0.46,NE
73,164.0,354.3,6.41,1.28,Simple,0.46,SW
74,38.39,410.58,6.83,1.37,Simple,0.44,SW
75,282.32,399.79,6.01,1.2,Simple,0.43,SE
76,192.56,179.75,5.64,1.13,Simple,0.43,NW
77,195.83,186.39,5.36,1.07,Simple,0.43,NW
78,17.9,100.83,17.14,3.43,Simple,0.42,NW
79,334.21,193.69,5.75,1.15,Simple,0.42,NE
80,25.74,350.21,5.96,1.19,Simple,0.42,SW
81,138.56,91.98,5.31,1.06,Simple,0.4,NW
82,279.01,58.4,5.12,1.02,Simple,0.39,NE
83,198.16,32.01,5.55,1.11,Simple,0.37,NW
84,30.4,282.58,8.55,1.71,Simple,0.37,SW
85,30.02,245.98,6.34,1.27,Degraded,0.37,SW
86,227.32,317.36,5.92,1.18,Simple,0.37,SE
87,150.43,36.3,5.76,1.15,Simple,0.36,NW
88,195.25,357.0,6.47,1.29,Simple,0.35,SW
89,12.74,124.21,29.16,5.83,Complex/Overlapping,0.35,NW
90,59.32,284.29,5.36,1.07,Simple,0.35,SW
91,216.34,84.21,6.36,1.27,Simple,0.34,NE
92,120.41,12.08,5.34,1.07,Simple,0.32,NW
93,250.13,82.96,5.87,1.17,Simple,0.32,NE
94,65.19,151.04,11.99,2.4,Simple,0.32,NW
95,274.65,12.2,5.4,1.08,Simple,0.31,NE
96,313.18,136.62,5.23,1.05,Simple,0.31,NE
97,228.15,333.1,6.03,1.21,Simple,0.29,SE
98,107.76,267.81,7.04,1.41,Simple,0.28,SW
99,265.66,115.78,5.26,1.05,Simple,0.28,NE
100,302.44,13.39,5.4,1.08,Simple,0.28,NE
101,89.01,283.48,5.46,1.09,Simple,0.27,SW
102,293.21,356.83,5.48,1.1,Simple,0.27,SE
103,244.16,86.27,5.52,1.1,Simple,0.26,NE
104,298.76,218.75,6.11,1.22,Simple,0.26,SE
105,206.88,158.39,5.79,1.16,Simple,0.26,NW
106,173.83,338.97,6.21,1.24,Simple,0.26,SW
107,12.62,120.64,21.75,4.35,Complex/Overlapping,0.25,NW
