ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,149.08,58.85,21.11,4.22,Complex,0.93,NW
2,135.14,230.27,27.47,5.49,Complex/Overlapping,0.91,SW
3,222.35,262.1,38.06,7.61,Complex,0.9,SE
4,320.04,37.18,10.27,2.05,Simple,0.9,NE
5,268.58,391.6,8.58,1.72,Simple,0.9,SE
6,320.18,342.35,7.58,1.52,Simple,0.89,SE
7,259.21,351.7,35.59,7.12,Complex,0.89,SE
8,116.15,269.29,10.37,2.07,Simple,0.89,SW
9,164.49,22.26,31.43,6.29,Complex,0.89,NW
10,135.72,8.05,10.38,2.08,Simple,0.89,NW
11,338.95,70.4,11.46,2.29,Simple,0.89,NE
12,213.13,39.91,15.05,3.01,Simple,0.88,NE
13,200.82,102.66,8.24,1.65,Simple,0.88,NW
14,196.75,156.67,12.72,2.54,Simple,0.88,NW
15,330.85,247.22,7.71,1.54,Simple,0.88,SE
16,204.36,23.83,8.81,1.76,Simple,0.88,NW
17,102.47,402.07,18.13,3.63,Simple,0.87,SW
18,219.97,18.7,8.29,1.66,Simple,0.87,NE
19,242.88,294.72,17.59,3.52,Simple,0.87,SE
20,194.69,294.87,52.61,10.52,Complex,0.86,SW
21,136.03,36.64,10.01,2.0,Simple,0.86,NW
22,83.92,288.9,9.12,1.82,Simple,0.86,SW
23,194.7,107.24,9.73,1.95,Simple,0.86,NW
24,323.6,107.7,8.5,1.7,Simple,0.86,NE
25,115.41,204.36,45.29,9.06,Complex,0.86,NW
26,315.96,221.59,11.85,2.37,Simple,0.86,SE
27,323.98,399.95,11.0,2.2,Simple,0.86,SE
28,240.32,94.73,12.57,2.51,Simple,0.85,NE
29,185.86,11.68,25.89,5.18,Complex,0.85,NW
30,336.82,405.29,20.96,4.19,Complex,0.85,SE
31,290.38,52.48,9.39,1.88,Simple,0.85,NE
32,218.77,74.37,25.53,5.11,Complex,0.85,NE
33,294.38,139.17,7.87,1.57,Simple,0.84,NE
34,203.34,6.88,17.04,3.41,Simple,0.84,NW
35,250.17,63.03,9.85,1.97,Simple,0.84,NE
36,109.9,227.83,20.81,4.16,Complex,0.83,SW
37,273.0,242.4,11.5,2.3,Simple,0.83,SE
38,143.58,376.87,7.97,1.59,Simple,0.83,SW
39,188.4,120.58,7.56,1.51,Simple,0.83,NW
40,247.06,77.87,7.76,1.55,Simple,0.83,NE
41,304.64,46.89,12.68,2.54,Simple,0.82,NE
42,258.49,6.18,7.36,1.47,Simple,0.82,NE
43,96.23,170.66,9.02,1.8,Simple,0.82,NW
44,111.23,171.11,24.81,4.96,Complex,0.81,NW
45,302.69,35.47,11.7,2.34,Simple,0.81,NE
46,93.85,183.92,11.75,2.35,Simple,0.81,NW
47,297.25,292.56,10.27,2.05,Simple,0.8,SE
48,311.3,244.32,8.35,1.67,Simple,0.8,SE
49,148.02,197.4,13.6,2.72,Simple,0.8,NW
50,250.47,30.03,21.37,4.27,Complex,0.79,NE
51,204.32,60.04,6.42,1.28,Simple,0.79,NW
52,134.75,282.77,12.22,2.44,Simple,0.79,SW
53,260.95,239.08,10.37,2.07,Simple,0.79,SE
54,108.38,101.73,7.19,1.44,Simple,0.79,NW
55,314.91,152.7,24.78,4.96,Complex,0.77,NE
56,102.32,324.02,13.53,2.71,Simple,0.77,SW
57,274.07,400.49,8.12,1.62,Simple/Overlapping,0.76,SE
58,178.61,53.69,7.14,1.43,Simple,0.75,NW
59,186.78,381.77,7.08,1.42,Simple/Overlapping,0.75,SW
60,110.78,336.26,15.33,3.07,Simple,0.75,SW
61,88.85,113.15,10.86,2.17,Simple,0.74,NW
62,280.03,127.06,6.63,1.33,Simple,0.74,NE
63,137.78,370.12,6.91,1.38,Simple,0.73,SW
64,80.79,96.77,20.09,4.02,Complex,0.73,NW
65,138.03,308.21,8.76,1.75,Simple,0.73,SW
66,337.8,101.04,6.93,1.39,Simple,0.72,NE
67,310.55,208.86,9.73,1.95,Simple,0.72,SE
68,242.46,116.93,17.81,3.56,Simple/Overlapping,0.71,NE
69,330.78,326.08,6.62,1.32,Simple,0.71,SE
70,301.85,69.81,5.63,1.13,Simple,0.7,NE
71,128.75,115.32,8.97,1.79,Simple/Overlapping,0.7,NW
72,253.61,218.16,7.54,1.51,Simple,0.7,SE
73,77.92,250.64,26.12,5.22,Complex/Overlapping,0.69,SW
74,343.72,86.0,6.56,1.31,Simple,0.69,NE
75,207.08,84.49,11.12,2.22,Simple,0.69,NW
76,242.64,127.69,16.22,3.24,Simple/Overlapping,0.69,NE
77,283.94,88.01,10.58,2.12,Simple,0.69,NE
78,302.8,141.61,7.64,1.53,Simple,0.69,NE
79,142.27,188.32,10.36,2.07,Simple,0.68,NW
80,331.73,197.22,17.13,3.43,Simple,0.68,NE
81,339.0,13.74,7.51,1.5,Simple,0.68,NE
82,239.81,12.84,15.75,3.15,Simple,0.67,NE
83,139.87,204.56,7.91,1.58,Simple,0.66,NW
84,189.31,386.71,8.82,1.76,Simple/Overlapping,0.66,SW
85,157.22,245.74,28.36,5.67,Complex/Overlapping,0.66,SW
86,153.28,109.5,24.09,4.82,Complex,0.66,NW
87,205.74,227.82,6.98,1.4,Simple,0.65,SW
88,182.3,374.31,6.39,1.28,Simple,0.65,SW
89,121.7,345.75,8.15,1.63,Simple,0.63,SW
90,254.18,46.05,13.35,2.67,Simple,0.63,NE
91,299.53,87.47,7.34,1.47,Simple,0.62,NE
92,243.01,123.83,22.41,4.48,Complex/Overlapping,0.62,NE
93,272.77,10.78,6.7,1.34,Simple,0.62,NE
94,167.43,296.44,12.8,2.56,Simple,0.62,SW
95,200.66,77.23,8.6,1.72,Simple,0.61,NW
96,253.4,166.29,14.9,2.98,Simple,0.61,NE
97,190.45,215.5,6.97,1.39,Simple,0.61,SW
98,119.04,278.05,6.83,1.37,Simple,0.61,SW
99,283.75,36.01,12.28,2.46,Simple,0.61,NE
100,169.18,197.99,15.01,3.0,Simple,0.6,NW
101,328.71,167.89,13.2,2.64,Simple/Overlapping,0.6,NE
