ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,295.36,314.74,8.63,1.73,Simple,0.93,SE
2,273.5,157.78,10.6,2.12,Simple,0.92,NE
3,213.93,219.51,10.34,2.07,Simple,0.92,SE
4,234.05,199.15,9.21,1.84,Simple,0.92,NE
5,292.41,256.02,13.82,2.76,Simple,0.91,SE
6,132.81,153.62,9.06,1.81,Simple/Overlapping,0.91,NW
7,117.11,318.91,8.29,1.66,Simple,0.9,SW
8,147.12,138.33,18.11,3.62,Simple,0.9,NW
9,116.48,130.21,8.93,1.79,Simple,0.9,NW
10,166.59,31.48,8.57,1.71,Simple,0.89,NW
11,194.53,378.44,7.33,1.47,Simple,0.89,SW
12,163.2,88.28,7.98,1.6,Simple,0.89,NW
13,113.93,53.17,10.87,2.17,Simple,0.89,NW
14,200.92,411.95,8.23,1.65,Simple,0.88,SW
15,271.37,257.52,8.46,1.69,Simple,0.87,SE
16,198.64,310.73,7.89,1.58,Simple,0.87,SW
17,150.13,356.27,8.2,1.64,Simple,0.86,SW
18,124.29,86.95,7.73,1.55,Simple,0.86,NW
19,234.18,224.89,7.47,1.49,Simple,0.86,SE
20,304.98,11.94,10.77,2.15,Simple,0.85,NE
21,161.91,391.82,13.7,2.74,Simple,0.85,SW
22,173.65,126.86,16.99,3.4,Simple,0.85,NW
23,212.63,186.94,8.02,1.6,Simple,0.84,NE
24,170.57,275.05,7.8,1.56,Simple,0.84,SW
25,291.23,208.6,8.2,1.64,Simple,0.84,SE
26,305.59,394.46,9.05,1.81,Simple/Overlapping,0.82,SE
27,306.75,410.23,11.64,2.33,Simple,0.82,SE
28,171.85,368.43,10.98,2.2,Simple,0.81,SW
29,263.08,222.2,6.63,1.33,Simple,0.81,SE
30,243.22,213.44,7.28,1.46,Simple,0.8,SE
31,284.24,127.41,6.45,1.29,Simple,0.79,NE
32,294.42,35.55,7.03,1.41,Simple,0.76,NE
33,196.09,208.43,6.1,1.22,Simple,0.76,SW
34,137.23,395.87,7.51,1.5,Simple,0.75,SW
35,299.14,169.53,6.33,1.27,Simple,0.75,NE
36,162.07,131.65,8.64,1.73,Simple,0.75,NW
