ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,198.3,357.23,25.75,5.15,Complex,0.94,SW
2,130.61,214.79,20.52,4.1,Complex,0.91,SW
3,249.1,221.34,40.18,8.04,Complex,0.9,SE
4,246.64,357.75,9.18,1.84,Simple,0.89,SE
5,190.26,277.57,7.69,1.54,Simple,0.88,SW
6,115.4,230.89,8.76,1.75,Simple,0.88,SW
7,244.5,8.74,28.21,5.64,Degraded/Overlapping,0.88,NE
8,275.86,138.91,37.23,7.45,Complex/Overlapping,0.88,NE
9,151.58,319.49,15.46,3.09,Simple,0.87,SW
10,166.93,208.19,40.91,8.18,Complex/Overlapping,0.87,SW
11,271.53,164.71,32.46,6.49,Complex/Overlapping,0.87,NE
12,246.83,154.09,25.19,5.04,Complex,0.87,NE
13,146.87,305.11,8.37,1.67,Simple,0.87,SW
14,279.43,295.55,32.36,6.47,Complex/Overlapping,0.86,SE
15,190.08,201.4,19.35,3.87,Simple,0.86,NW
16,290.68,182.78,21.08,4.22,Complex,0.86,NE
17,228.02,307.54,18.73,3.75,Simple,0.86,SE
18,157.05,50.34,27.7,5.54,Complex,0.86,NW
19,236.42,246.39,20.79,4.16,Complex,0.86,SE
20,165.04,354.68,12.97,2.59,Simple,0.85,SW
21,287.81,364.42,51.01,10.2,Complex,0.85,SE
22,123.39,381.39,60.88,12.18,Degraded/Overlapping,0.85,SW
23,179.83,46.5,11.28,2.26,Simple,0.85,NW
24,164.29,329.6,11.01,2.2,Simple,0.84,SW
25,214.97,198.28,37.49,7.5,Complex,0.83,NE
26,140.87,275.42,8.82,1.76,Simple,0.83,SW
27,172.24,77.27,36.99,7.4,Complex,0.82,NW
28,151.83,263.34,8.89,1.78,Simple,0.81,SW
29,215.08,330.65,10.77,2.15,Simple,0.81,SE
30,170.74,178.69,17.43,3.49,Simple,0.81,NW
31,243.23,40.8,9.13,1.83,Simple,0.8,NE
32,164.6,316.99,10.76,2.15,Simple,0.8,SW
33,253.87,185.99,37.55,7.51,Complex/Overlapping,0.79,NE
34,303.33,344.83,8.56,1.71,Simple,0.79,SE
35,208.11,400.14,7.97,1.59,Simple,0.79,SE
36,200.86,89.29,10.41,2.08,Simple,0.78,NW
37,169.68,255.98,10.56,2.11,Simple,0.78,SW
38,129.77,346.88,12.0,2.4,Simple,0.78,SW
39,211.15,171.11,24.53,4.91,Complex,0.78,NE
40,153.44,404.28,43.3,8.66,Degraded,0.77,SW
41,209.83,60.86,9.21,1.84,Simple,0.76,NE
42,209.02,313.37,8.28,1.66,Simple,0.76,SE
43,256.48,367.77,11.66,2.33,Simple,0.76,SE
44,173.86,309.42,12.26,2.45,Simple,0.76,SW
45,206.02,240.17,13.81,2.76,Simple/Overlapping,0.75,SW
46,111.61,284.08,20.12,4.02,Complex,0.75,SW
47,121.14,264.23,7.72,1.54,Simple,0.73,SW
48,136.34,239.79,13.99,2.8,Simple,0.73,SW
49,196.35,78.79,10.63,2.13,Simple,0.73,NW
50,153.73,184.68,15.23,3.05,Simple,0.73,NW
51,208.55,262.7,13.57,2.71,Simple/Overlapping,0.72,SE
52,206.67,33.23,10.42,2.08,Simple/Overlapping,0.72,NW
53,185.44,325.22,10.76,2.15,Simple/Overlapping,0.72,SW
54,198.07,155.82,15.55,3.11,Simple,0.72,NW
55,279.19,200.5,9.91,1.98,Simple,0.72,NE
56,262.43,264.83,19.24,3.85,Simple,0.71,SE
57,276.92,241.44,17.65,3.53,Simple,0.71,SE
58,219.54,410.55,6.22,1.24,Simple,0.71,SE
59,308.18,182.12,14.4,2.88,Simple,0.71,NE
60,304.53,164.7,10.75,2.15,Simple,0.71,NE
61,267.18,105.08,52.34,10.47,Complex/Overlapping,0.71,NE
62,284.29,219.94,8.48,1.7,Simple,0.7,SE
