ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,164.86,334.68,8.84,1.77,Simple,0.94,SW
2,404.48,286.32,20.51,4.1,Complex,0.93,SE
3,291.65,47.21,46.98,9.4,Complex,0.92,NE
4,161.42,297.97,13.56,2.71,Simple,0.92,SW
5,28.78,265.35,20.12,4.02,Complex,0.91,SW
6,111.85,102.75,28.5,5.7,Complex,0.91,NW
7,178.46,126.87,11.39,2.28,Simple,0.91,NW
8,63.84,12.42,12.15,2.43,Simple,0.91,NW
9,186.29,329.64,7.89,1.58,Simple,0.91,SW
10,16.37,216.41,14.21,2.84,Simple,0.91,SW
11,264.16,92.4,23.94,4.79,Complex,0.91,NE
12,138.71,50.46,9.82,1.96,Simple,0.91,NW
13,13.74,112.69,11.01,2.2,Simple,0.91,NW
14,121.17,126.16,21.62,4.32,Complex,0.9,NW
15,151.7,96.64,32.44,6.49,Complex,0.9,NW
16,102.47,63.9,13.14,2.63,Simple,0.89,NW
17,281.65,291.62,16.83,3.37,Simple,0.89,SE
18,288.52,245.85,10.09,2.02,Simple,0.89,SE
19,74.47,170.63,8.92,1.78,Simple,0.88,NW
20,188.91,290.73,7.35,1.47,Simple,0.88,SW
21,164.45,70.01,7.38,1.48,Simple,0.87,NW
22,399.53,175.3,13.41,2.68,Simple,0.87,NE
23,242.93,51.36,16.74,3.35,Simple,0.86,NE
24,42.9,60.05,14.95,2.99,Simple,0.86,NW
25,358.27,132.63,8.89,1.78,Simple,0.86,NE
26,21.66,4.05,8.76,1.75,Simple,0.85,NW
27,103.12,361.71,7.5,1.5,Simple,0.85,SW
28,78.35,234.25,24.45,4.89,Complex,0.85,SW
29,83.49,210.08,12.25,2.45,Simple,0.84,SW
30,166.17,259.35,7.2,1.44,Simple,0.84,SW
31,58.43,55.67,8.97,1.79,Simple,0.84,NW
32,274.48,223.33,16.52,3.3,Simple,0.83,SE
33,314.32,217.99,9.91,1.98,Simple,0.83,SE
34,326.09,150.83,10.29,2.06,Simple,0.83,NE
35,73.64,129.0,10.98,2.2,Simple,0.82,NW
36,361.25,44.46,9.11,1.82,Simple,0.82,NE
37,107.36,30.37,7.23,1.45,Simple,0.82,NW
38,219.64,132.64,9.37,1.87,Simple,0.82,NE
39,103.27,4.66,14.58,2.92,Degraded,0.82,NW
40,218.93,154.4,21.13,4.23,Complex,0.81,NE
41,44.12,332.86,28.79,5.76,Complex,0.81,SW
42,340.22,34.88,8.05,1.61,Simple,0.81,NE
43,23.28,149.5,7.19,1.44,Simple,0.81,NW
44,94.68,78.22,7.23,1.45,Simple,0.81,NW
45,340.18,203.61,9.56,1.91,Simple,0.81,NE
46,396.35,162.25,15.51,3.1,Simple,0.81,NE
47,60.51,232.39,9.68,1.94,Simple,0.8,SW
48,188.9,219.77,7.15,1.43,Simple,0.8,SW
49,244.27,64.13,14.24,2.85,Simple,0.8,NE
50,390.71,187.71,16.6,3.32,Simple/Overlapping,0.79,NE
51,223.88,110.47,16.37,3.27,Simple,0.78,NE
52,388.98,188.13,14.07,2.81,Simple/Overlapping,0.77,NE
53,130.03,164.25,10.51,2.1,Simple,0.77,NW
54,47.93,85.13,7.15,1.43,Simple,0.77,NW
55,95.22,218.63,23.5,4.7,Complex/Overlapping,0.77,SW
56,214.56,90.9,8.88,1.78,Simple,0.76,NE
57,215.49,24.57,7.48,1.5,Simple,0.76,NE
58,124.43,207.47,10.86,2.17,Simple,0.75,NW
59,309.58,341.31,6.2,1.24,Simple,0.75,SE
60,219.16,81.57,9.5,1.9,Simple,0.75,NE
61,189.56,117.36,7.68,1.54,Simple,0.75,NW
62,160.91,144.95,15.46,3.09,Simple,0.74,NW
63,14.42,231.16,5.95,1.19,Simple,0.74,SW
64,74.9,317.63,6.2,1.24,Simple,0.74,SW
65,70.2,6.8,6.81,1.36,Simple,0.74,NW
66,277.13,92.21,6.45,1.29,Simple,0.74,NE
67,37.79,400.09,11.64,2.33,Simple,0.73,SW
68,366.6,113.9,31.18,6.24,Complex,0.73,NE
69,181.43,209.14,12.49,2.5,Simple,0.73,SW
70,42.23,47.04,7.16,1.43,Simple,0.72,NW
71,267.17,254.7,6.64,1.33,Simple,0.72,SE
72,404.04,48.85,15.03,3.01,Simple,0.71,NE
73,292.07,218.79,24.38,4.88,Complex/Overlapping,0.71,SE
74,100.26,298.18,20.5,4.1,Complex,0.71,SW
75,354.27,76.29,20.08,4.02,Complex,0.71,NE
76,255.59,118.56,7.56,1.51,Simple,0.71,NE
77,206.03,11.38,9.2,1.84,Simple,0.7,NW
78,268.84,154.83,92.7,18.54,Complex,0.69,NE
79,187.5,66.42,9.74,1.95,Simple,0.68,NW
80,157.93,62.14,7.62,1.52,Simple,0.68,NW
81,261.55,44.2,6.54,1.31,Simple,0.67,NE
82,40.42,124.57,6.71,1.34,Simple,0.66,NW
83,149.62,224.7,8.8,1.76,Simple,0.66,SW
84,315.8,184.81,17.22,3.44,Simple,0.65,NE
85,325.54,251.79,13.31,2.66,Simple,0.65,SE
86,335.72,144.9,5.68,1.14,Simple,0.62,NE
87,38.47,34.27,7.52,1.5,Simple,0.62,NW
88,233.84,387.88,26.02,5.2,Complex,0.62,SE
89,140.5,165.26,8.47,1.69,Simple,0.62,NW
90,232.55,34.53,13.67,2.73,Simple,0.61,NE
91,274.66,149.85,8.12,1.62,Simple,0.59,NE
92,324.98,62.75,24.72,4.94,Complex,0.58,NE
93,318.3,160.48,8.73,1.75,Simple,0.58,NE
94,131.96,268.61,10.18,2.04,Simple,0.58,SW
95,391.19,99.98,26.77,5.35,Complex,0.57,NE
96,186.32,135.48,12.51,2.5,Simple,0.57,NW
97,327.95,37.51,5.6,1.12,Simple,0.57,NE
98,393.45,47.67,6.63,1.33,Simple,0.57,NE
99,173.24,220.03,13.82,2.76,Simple,0.55,SW
100,185.06,185.27,13.12,2.62,Simple,0.55,NW
101,314.2,251.3,7.76,1.55,Simple,0.54,SE
102,329.54,204.36,11.27,2.25,Simple,0.54,NE
103,29.39,123.14,6.39,1.28,Simple,0.54,NW
104,191.44,10.65,6.64,1.33,Simple,0.53,NW
105,21.71,276.36,5.14,1.03,Simple,0.53,SW
106,135.68,277.14,10.91,2.18,Simple,0.53,SW
107,298.35,206.71,9.05,1.81,Simple,0.52,NE
108,336.99,40.53,5.41,1.08,Simple,0.5,NE
109,283.1,253.59,10.45,2.09,Simple,0.49,SE
