ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,181.38,307.75,13.47,2.69,Simple,0.92,SW
2,68.13,111.14,10.91,2.18,Simple,0.92,NW
3,274.83,297.78,22.77,4.55,Complex,0.9,SE
4,324.45,142.07,11.16,2.23,Simple,0.9,NE
5,51.74,120.6,11.22,2.24,Simple,0.9,NW
6,331.26,374.73,9.76,1.95,Simple,0.9,SE
7,258.0,234.41,8.54,1.71,Simple,0.9,SE
8,47.66,129.79,10.43,2.09,Simple,0.9,NW
9,110.37,13.28,29.27,5.85,Complex,0.89,NW
10,190.78,13.97,22.93,4.59,Complex,0.88,NW
11,231.19,352.29,9.88,1.98,Simple,0.88,SE
12,336.87,188.92,10.92,2.18,Simple,0.88,NE
13,206.98,362.91,13.02,2.6,Simple,0.88,SW
14,242.12,388.26,9.36,1.87,Simple,0.88,SE
15,230.82,386.85,13.06,2.61,Simple,0.88,SE
16,269.6,381.78,9.38,1.88,Simple/Overlapping,0.87,SE
17,331.71,158.6,13.38,2.68,Simple,0.87,NE
18,185.98,346.73,9.83,1.97,Simple,0.87,SW
19,129.36,376.46,12.88,2.58,Simple,0.87,SW
20,214.23,356.76,9.31,1.86,Simple,0.87,SE
21,125.25,269.9,12.61,2.52,Simple/Overlapping,0.87,SW
22,181.87,331.65,9.47,1.89,Simple,0.86,SW
23,71.85,255.86,14.29,2.86,Simple,0.86,SW
24,349.61,227.78,9.09,1.82,Simple,0.86,SE
25,379.48,260.3,7.3,1.46,Simple,0.86,SE
26,253.0,99.53,36.64,7.33,Complex,0.86,NE
27,197.5,44.71,14.9,2.98,Simple,0.86,NW
28,133.28,260.93,12.4,2.48,Simple,0.85,SW
29,152.21,324.49,10.86,2.17,Simple,0.85,SW
30,60.44,264.56,11.1,2.22,Simple,0.85,SW
31,98.02,100.79,16.03,3.21,Simple,0.84,NW
32,302.69,66.76,7.43,1.49,Simple,0.84,NE
33,384.38,53.63,8.18,1.64,Simple,0.84,NE
