ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,310.56,189.05,18.92,3.78,Simple,0.92,NE
2,87.09,296.18,16.12,3.22,Simple,0.91,SW
3,265.34,230.4,10.71,2.14,Simple,0.91,SE
4,207.54,294.6,9.51,1.9,Simple,0.91,SW
5,327.94,88.0,28.26,5.65,Complex,0.9,NE
6,231.47,25.11,7.8,1.56,Simple,0.9,NE
7,230.35,213.62,9.54,1.91,Simple,0.9,SE
8,337.92,50.2,9.0,1.8,Simple,0.9,NE
9,40.84,350.16,9.57,1.91,Simple,0.9,SW
10,281.88,55.18,9.13,1.83,Simple/Overlapping,0.9,NE
11,183.42,121.6,23.19,4.64,Complex,0.89,NW
12,204.74,106.18,8.44,1.69,Simple,0.89,NW
13,327.12,128.15,12.29,2.46,Simple,0.89,NE
14,283.54,92.26,13.45,2.69,Simple,0.89,NE
15,203.58,368.32,9.85,1.97,Simple,0.89,SW
16,67.69,111.49,18.12,3.62,Simple,0.89,NW
17,61.37,154.7,9.35,1.87,Simple,0.88,NW
18,335.2,26.63,21.96,4.39,Complex/Overlapping,0.88,NE
19,251.27,14.22,8.48,1.7,Simple,0.88,NE
20,330.43,10.4,11.66,2.33,Simple,0.87,NE
21,255.6,93.23,8.82,1.76,Simple,0.87,NE
22,289.32,111.76,22.64,4.53,Complex,0.87,NE
23,77.97,20.89,8.37,1.67,Simple,0.87,NW
24,90.84,346.42,8.33,1.67,Simple,0.86,SW
25,302.22,150.83,8.96,1.79,Simple,0.86,NE
26,47.8,47.3,18.5,3.7,Simple,0.86,NW
27,225.76,170.84,31.79,6.36,Complex,0.85,NE
28,115.44,114.65,8.43,1.69,Simple,0.85,NW
29,70.55,130.08,19.68,3.94,Simple/Overlapping,0.85,NW
30,207.32,148.66,6.99,1.4,Simple,0.82,NW
31,242.84,212.02,6.62,1.32,Simple,0.81,SE
32,220.15,40.71,9.67,1.93,Simple/Overlapping,0.8,NE
33,357.83,149.19,20.44,4.09,Complex,0.79,NE
34,292.87,172.52,5.91,1.18,Simple,0.78,NE
35,273.08,323.66,6.57,1.31,Simple,0.78,SE
36,214.22,95.23,18.31,3.66,Simple,0.77,NE
37,77.7,141.18,13.96,2.79,Simple/Overlapping,0.77,NW
38,218.69,108.69,8.62,1.72,Simple,0.75,NE
39,303.67,77.27,5.89,1.18,Simple,0.75,NE
40,346.32,16.83,10.14,2.03,Simple,0.75,NE
41,247.01,156.21,7.85,1.57,Simple,0.75,NE
42,233.89,77.21,7.51,1.5,Simple,0.74,NE
43,204.53,127.38,13.93,2.79,Simple,0.74,NW
44,221.39,31.87,7.59,1.52,Simple,0.74,NE
45,73.58,4.79,9.26,1.85,Simple,0.72,NW
46,301.0,90.92,10.39,2.08,Simple,0.72,NE
47,60.18,93.44,7.53,1.51,Simple,0.71,NW
48,254.21,177.85,6.97,1.39,Simple,0.71,NE
49,115.37,92.55,6.26,1.25,Simple,0.7,NW
50,243.46,245.62,5.86,1.17,Simple,0.68,SE
51,344.97,123.88,18.55,3.71,Simple,0.67,NE
52,273.05,256.75,6.39,1.28,Simple,0.67,SE
53,225.91,103.58,7.26,1.45,Simple,0.66,NE
54,166.1,183.74,6.3,1.26,Simple,0.66,NW
55,264.33,260.49,5.62,1.12,Simple,0.65,SE
56,66.34,179.86,6.0,1.2,Simple,0.64,NW
57,359.31,102.64,6.18,1.24,Simple,0.64,NE
58,319.09,109.03,8.73,1.75,Simple,0.63,NE
59,191.99,96.59,7.78,1.56,Simple,0.61,NW
60,281.88,62.73,6.08,1.22,Simple/Overlapping,0.61,NE
61,367.67,197.16,6.28,1.26,Simple,0.6,NE
62,214.95,114.06,7.77,1.55,Simple,0.6,NE
63,125.55,107.81,95.47,19.09,Complex,0.59,NW
64,321.4,19.42,7.03,1.41,Simple,0.59,NE
65,267.84,109.43,8.21,1.64,Simple,0.58,NE
66,294.36,207.64,5.99,1.2,Simple,0.58,NE
67,224.91,141.16,6.08,1.22,Simple,0.57,NE
68,271.88,69.69,5.97,1.19,Simple,0.57,NE
69,335.98,3.27,6.63,1.33,Simple,0.57,NE
70,224.17,38.67,9.06,1.81,Simple/Overlapping,0.57,NE
71,290.3,80.15,6.63,1.33,Simple,0.56,NE
72,76.0,208.97,6.05,1.21,Simple,0.55,SW
73,257.82,8.23,5.54,1.11,Simple,0.55,NE
74,127.17,367.53,6.28,1.26,Simple,0.54,SW
75,68.81,409.2,35.13,7.03,Degraded/Overlapping,0.54,SW
76,174.55,321.06,7.42,1.48,Simple,0.53,SW
77,167.95,66.76,46.16,9.23,Complex,0.52,NW
78,270.19,142.94,6.68,1.34,Simple,0.51,NE
79,79.51,176.89,6.08,1.22,Simple,0.48,NW
80,104.33,341.94,6.96,1.39,Simple,0.48,SW
81,318.43,154.29,6.16,1.23,Simple,0.46,NE
82,264.86,85.21,5.78,1.16,Simple/Overlapping,0.46,NE
83,264.01,117.43,13.75,2.75,Simple,0.45,NE
84,373.66,170.15,43.04,8.61,Degraded,0.45,NE
85,261.92,61.53,7.86,1.57,Simple,0.44,NE
86,281.95,61.01,7.96,1.59,Simple/Overlapping,0.4,NE
87,319.81,303.7,5.32,1.06,Simple,0.4,SE
88,354.86,21.33,6.4,1.28,Simple,0.4,NE
89,226.5,390.53,22.72,4.54,Complex,0.4,SE
90,98.96,387.02,7.45,1.49,Simple,0.39,SW
91,168.78,175.04,5.93,1.19,Simple,0.37,NW
92,280.08,141.43,26.66,5.33,Complex,0.37,NE
93,325.18,302.54,5.35,1.07,Simple,0.35,SE
94,72.31,221.79,21.89,4.38,Complex,0.35,SW
95,266.37,81.41,5.71,1.14,Simple/Overlapping,0.34,NE
96,374.82,118.99,4.96,0.99,Simple,0.33,NE
97,280.84,14.92,11.69,2.34,Simple,0.33,NE
