ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,306.67,20.35,29.97,5.99,Complex,0.94,NE
2,209.65,31.56,45.74,9.15,Complex,0.94,NE
3,181.37,126.56,14.08,2.82,Simple,0.93,NW
4,42.97,120.97,12.96,2.59,Simple,0.92,NW
5,218.73,200.76,26.76,5.35,Complex,0.92,NE
6,242.11,297.0,17.04,3.41,Simple,0.91,SE
7,49.27,87.41,9.22,1.84,Simple,0.91,NW
8,131.32,105.91,9.57,1.91,Simple,0.9,NW
9,47.51,365.7,9.57,1.91,Simple,0.9,SW
10,326.97,293.11,8.06,1.61,Simple,0.9,SE
11,218.84,313.62,14.66,2.93,Simple,0.9,SE
12,360.27,361.34,10.21,2.04,Simple,0.9,SE
13,44.83,354.26,9.94,1.99,Simple,0.89,SW
14,155.45,226.27,24.56,4.91,Complex,0.89,SW
15,25.1,217.72,12.57,2.51,Simple,0.88,SW
16,290.83,249.83,8.74,1.75,Simple,0.88,SE
17,289.15,327.27,8.47,1.69,Simple,0.88,SE
18,78.77,170.87,10.6,2.12,Simple,0.88,NW
19,244.31,198.94,8.44,1.69,Simple,0.88,NE
20,30.33,409.16,25.43,5.09,Degraded,0.87,SW
21,29.65,168.05,9.18,1.84,Simple,0.87,NW
22,398.22,42.37,9.38,1.88,Simple,0.87,NE
23,369.93,94.91,9.52,1.9,Simple,0.87,NE
24,199.54,181.01,8.08,1.62,Simple,0.87,NW
25,149.35,394.36,7.95,1.59,Simple,0.86,SW
26,264.14,82.06,8.16,1.63,Simple,0.86,NE
27,278.22,235.04,7.65,1.53,Simple,0.86,SE
28,340.21,363.23,9.66,1.93,Simple,0.86,SE
29,329.2,360.52,8.23,1.65,Simple,0.86,SE
30,72.29,163.91,8.99,1.8,Simple,0.85,NW
31,183.54,34.26,10.69,2.14,Simple,0.85,NW
32,141.04,210.41,8.58,1.72,Simple,0.85,SW
33,249.3,404.82,11.71,2.34,Simple,0.85,SE
34,304.29,341.01,7.94,1.59,Simple,0.83,SE
35,255.94,310.31,8.89,1.78,Simple,0.83,SE
36,38.89,199.69,8.29,1.66,Simple,0.81,NW
37,275.19,71.88,7.81,1.56,Simple,0.81,NE
38,23.03,178.29,9.05,1.81,Simple,0.81,NW
39,255.14,244.99,8.38,1.68,Simple,0.81,SE
40,301.99,407.93,7.83,1.57,Simple,0.79,SE
41,363.36,133.51,17.51,3.5,Simple,0.79,NE
42,206.94,97.57,20.09,4.02,Complex,0.79,NW
43,280.17,405.04,7.19,1.44,Simple,0.78,SE
44,39.0,259.18,7.25,1.45,Simple,0.78,SW
45,146.93,163.34,8.65,1.73,Simple/Overlapping,0.77,NW
46,149.51,62.05,7.65,1.53,Simple,0.77,NW
47,302.0,271.57,7.55,1.51,Simple/Overlapping,0.77,SE
48,371.6,143.13,12.83,2.57,Simple,0.76,NE
49,274.6,338.23,8.66,1.73,Simple,0.76,SE
50,261.52,293.93,16.34,3.27,Simple,0.76,SE
51,34.63,67.38,8.03,1.61,Simple,0.75,NW
52,333.94,388.77,7.65,1.53,Simple,0.75,SE
53,307.08,127.7,35.9,7.18,Complex/Overlapping,0.74,NE
54,307.63,401.68,8.98,1.8,Simple,0.74,SE
55,278.88,28.57,8.36,1.67,Simple,0.73,NE
56,89.68,60.8,9.17,1.83,Simple,0.72,NW
57,80.16,368.57,9.06,1.81,Simple,0.72,SW
58,294.79,147.09,14.05,2.81,Simple,0.72,NE
59,89.58,329.72,5.97,1.19,Simple,0.72,SW
60,34.2,273.07,7.41,1.48,Simple,0.71,SW
61,105.05,374.54,6.65,1.33,Simple,0.71,SW
62,231.86,398.59,6.49,1.3,Simple,0.71,SE
63,6.95,149.32,9.04,1.81,Simple,0.71,NW
64,388.91,407.97,8.47,1.69,Simple,0.71,SE
65,313.13,270.14,6.8,1.36,Simple,0.7,SE
66,278.43,196.05,9.92,1.98,Simple,0.69,NE
67,230.68,131.67,12.49,2.5,Simple,0.69,NE
68,382.31,267.25,6.76,1.35,Simple,0.68,SE
69,283.12,307.73,6.72,1.34,Simple,0.68,SE
70,41.8,281.01,6.74,1.35,Simple,0.68,SW
71,229.6,104.24,12.92,2.58,Simple/Overlapping,0.67,NE
72,274.73,134.91,11.85,2.37,Simple,0.66,NE
73,368.33,326.93,6.55,1.31,Simple,0.64,SE
74,118.35,148.56,7.14,1.43,Simple,0.64,NW
75,150.18,159.95,8.19,1.64,Simple/Overlapping,0.63,NW
76,114.64,214.51,21.0,4.2,Complex,0.6,SW
77,17.07,376.79,8.18,1.64,Simple,0.58,SW
78,280.18,276.3,7.55,1.51,Simple,0.58,SE
79,207.17,121.43,8.0,1.6,Simple,0.57,NW
80,36.56,321.82,8.06,1.61,Simple,0.57,SW
81,322.02,279.32,8.25,1.65,Simple,0.57,SE
82,300.59,278.88,6.89,1.38,Simple,0.56,SE
83,281.88,241.71,6.55,1.31,Simple,0.55,SE
84,130.78,8.8,6.23,1.25,Simple,0.55,NW
85,136.51,360.78,17.69,3.54,Simple,0.54,SW
86,298.92,217.79,6.24,1.25,Simple,0.53,SE
87,220.51,82.2,7.96,1.59,Simple,0.53,NE
88,355.43,260.01,26.97,5.39,Complex,0.53,SE
89,145.45,260.93,17.72,3.54,Simple,0.52,SW
90,407.43,155.84,12.01,2.4,Simple,0.51,NE
91,84.29,322.96,6.25,1.25,Simple,0.51,SW
92,407.15,165.97,10.51,2.1,Simple,0.49,NE
93,175.57,292.85,7.62,1.52,Simple,0.48,SW
94,159.3,10.21,7.54,1.51,Simple,0.48,NW
95,123.64,69.68,7.12,1.42,Simple,0.47,NW
96,35.22,186.05,8.03,1.61,Simple/Overlapping,0.47,NW
97,262.93,10.87,15.74,3.15,Simple,0.43,NE
98,255.51,282.29,7.82,1.56,Simple,0.43,SE
99,276.14,269.07,6.71,1.34,Simple,0.43,SE
100,182.44,200.86,12.45,2.49,Simple,0.42,NW
101,79.42,200.43,43.44,8.69,Complex,0.42,NW
102,393.21,154.94,7.52,1.5,Simple,0.41,NE
103,115.91,74.95,8.16,1.63,Simple,0.4,NW
104,326.33,100.05,7.35,1.47,Simple,0.4,NE
105,60.46,367.4,5.93,1.19,Simple,0.39,SW
106,230.49,118.25,13.5,2.7,Simple/Overlapping,0.38,NE
107,43.53,173.03,8.45,1.69,Simple,0.37,NW
108,23.12,105.52,6.06,1.21,Simple,0.36,NW
109,69.57,228.59,10.73,2.15,Simple,0.35,SW
110,36.53,249.34,8.83,1.77,Simple,0.35,SW
111,99.07,181.88,10.17,2.03,Simple,0.35,NW
112,380.62,109.97,6.33,1.27,Simple,0.34,NE
113,319.11,148.92,32.71,6.54,Complex/Overlapping,0.34,NE
114,53.1,358.22,8.23,1.65,Simple,0.34,SW
115,66.0,151.57,7.08,1.42,Simple,0.33,NW
116,79.75,378.83,5.58,1.12,Simple,0.33,SW
117,35.7,187.48,7.49,1.5,Simple/Overlapping,0.33,NW
118,128.67,387.96,20.94,4.19,Complex,0.32,SW
119,221.84,169.76,7.79,1.56,Simple,0.32,NE
120,388.81,34.43,8.42,1.68,Simple,0.31,NE
121,183.65,16.0,8.28,1.66,Simple,0.31,NW
122,299.53,298.1,5.72,1.14,Simple,0.31,SE
123,8.49,41.13,8.73,1.75,Simple,0.3,NW
124,52.3,117.5,6.53,1.31,Simple,0.3,NW
125,145.34,371.19,12.7,2.54,Simple,0.3,SW
