ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,397.99,398.05,32.85,6.57,Complex,0.94,SE
2,396.12,27.46,9.12,1.82,Simple,0.92,NE
3,123.6,403.23,7.94,1.59,Simple,0.91,SW
4,187.43,30.51,9.07,1.81,Simple,0.91,NW
5,32.57,362.2,8.06,1.61,Simple,0.91,SW
6,173.93,49.55,7.73,1.55,Simple,0.91,NW
7,124.68,330.39,7.65,1.53,Simple,0.91,SW
8,50.48,408.49,7.84,1.57,Simple,0.9,SW
9,147.16,269.14,12.41,2.48,Simple,0.9,SW
10,34.12,378.88,7.79,1.56,Simple,0.9,SW
11,118.77,243.44,12.87,2.57,Simple,0.9,SW
12,14.35,409.23,10.64,2.13,Simple,0.9,SW
13,368.11,318.94,7.19,1.44,Simple,0.89,SE
14,201.76,193.08,7.1,1.42,Simple,0.87,NW
15,409.82,69.79,14.11,2.82,Simple,0.87,NE
16,260.47,317.62,8.08,1.62,Simple,0.87,SE
17,236.93,43.43,6.25,1.25,Simple,0.87,NE
18,250.88,40.86,7.71,1.54,Simple,0.87,NE
19,72.11,157.49,6.57,1.31,Simple,0.87,NW
20,60.23,147.53,6.1,1.22,Simple,0.86,NW
21,291.61,117.56,6.58,1.32,Simple,0.85,NE
22,316.0,357.87,6.56,1.31,Simple,0.84,SE
23,5.21,164.44,9.2,1.84,Simple,0.84,NW
24,156.1,222.38,7.19,1.44,Simple,0.84,SW
25,333.28,216.63,5.81,1.16,Simple,0.84,SE
26,29.09,204.76,6.41,1.28,Simple,0.83,NW
27,397.19,14.17,5.89,1.18,Simple,0.81,NE
28,171.01,38.97,6.45,1.29,Simple,0.81,NW
29,383.35,68.55,5.45,1.09,Simple,0.8,NE
30,209.52,189.45,6.13,1.23,Simple,0.79,NE
31,400.19,299.52,6.69,1.34,Simple,0.78,SE
32,200.84,155.39,6.1,1.22,Simple,0.78,NW
33,220.68,202.72,6.45,1.29,Simple,0.78,NE
34,278.38,254.38,5.92,1.18,Simple,0.77,SE
35,320.74,324.93,5.78,1.16,Simple,0.75,SE
36,398.56,64.24,5.01,1.0,Simple,0.74,NE
37,83.72,298.43,5.76,1.15,Simple,0.73,SW
38,413.42,235.77,7.37,1.47,Degraded,0.73,SE
39,235.06,308.32,5.32,1.06,Simple,0.72,SE
40,300.11,272.93,5.53,1.11,Simple,0.69,SE
41,192.87,325.91,6.21,1.24,Simple,0.67,SW
42,360.34,385.67,5.77,1.15,Simple,0.67,SE
43,66.69,129.26,6.29,1.26,Simple,0.66,NW
44,180.67,294.11,7.35,1.47,Simple,0.66,SW
45,232.07,294.35,5.22,1.04,Simple,0.66,SE
46,145.36,256.22,6.05,1.21,Simple,0.64,SW
47,245.33,330.61,5.75,1.15,Simple,0.63,SE
48,398.65,5.5,5.02,1.0,Simple,0.61,NE
49,414.03,356.87,11.09,2.22,Degraded/Overlapping,0.6,SE
50,213.5,346.36,5.69,1.14,Simple,0.6,SE
51,286.41,275.29,4.95,0.99,Simple,0.58,SE
52,139.41,265.47,6.38,1.28,Simple,0.56,SW
53,308.54,315.03,5.17,1.03,Simple,0.56,SE
54,71.54,398.59,5.92,1.18,Simple,0.55,SW
55,161.6,401.03,5.68,1.14,Simple,0.55,SW
56,215.54,212.66,5.69,1.14,Simple,0.53,SE
57,371.79,339.56,5.67,1.13,Simple,0.52,SE
58,21.72,373.81,5.47,1.09,Simple,0.52,SW
59,316.65,70.15,5.12,1.02,Simple,0.52,NE
60,121.68,188.5,7.28,1.46,Simple,0.51,NW
61,414.41,279.53,6.03,1.21,Degraded,0.51,SE
62,245.44,367.65,5.52,1.1,Simple,0.51,SE
63,357.18,369.51,5.39,1.08,Simple,0.51,SE
64,145.4,362.86,5.21,1.04,Simple,0.51,SW
65,159.32,237.45,4.92,0.98,Simple,0.51,SW
66,327.02,116.6,4.98,1.0,Simple,0.51,NE
67,149.27,377.41,4.96,0.99,Simple,0.5,SW
68,150.59,11.97,5.23,1.05,Simple,0.49,NW
69,19.26,191.22,6.31,1.26,Simple,0.48,NW
70,234.28,321.4,5.23,1.05,Simple,0.47,SE
71,405.14,185.81,4.76,0.95,Simple,0.45,NE
72,210.51,258.91,5.02,1.0,Simple,0.44,SE
73,192.25,212.91,5.84,1.17,Simple,0.43,SW
74,232.64,268.24,5.13,1.03,Simple,0.43,SE
75,238.36,368.67,5.97,1.19,Simple,0.43,SE
76,259.08,207.66,5.72,1.14,Simple,0.42,NE
77,264.75,196.16,5.09,1.02,Simple,0.42,NE
78,413.89,351.04,7.41,1.48,Degraded/Overlapping,0.42,SE
79,5.19,72.99,5.55,1.11,Simple,0.41,NW
80,181.84,35.57,5.24,1.05,Simple,0.4,NW
81,395.89,176.88,5.35,1.07,Simple,0.4,NE
82,383.81,231.29,5.34,1.07,Simple,0.38,SE
83,192.5,175.33,5.38,1.08,Simple,0.38,NW
84,238.78,361.78,5.06,1.01,Simple,0.36,SE
85,151.02,236.39,7.02,1.4,Simple,0.36,SW
86,1.37,64.81,7.03,1.41,Degraded,0.35,NW
87,214.87,86.29,4.98,1.0,Simple,0.35,NE
88,11.03,159.41,6.08,1.22,Simple,0.35,NW
89,282.58,109.41,5.21,1.04,Simple,0.34,NE
90,29.15,188.88,5.67,1.13,Simple,0.33,NW
91,326.24,327.88,5.01,1.0,Simple,0.32,SE
92,72.69,199.41,5.27,1.05,Simple,0.32,NW
93,295.73,9.49,4.49,0.9,Simple,0.32,NE
94,63.92,249.05,5.02,1.0,Simple,0.31,SW
95,1.46,298.28,6.4,1.28,Degraded,0.31,SW
96,328.72,304.39,5.3,1.06,Simple,0.31,SE
97,112.0,386.34,5.95,1.19,Simple,0.3,SW
98,344.75,76.48,4.95,0.99,Simple,0.3,NE
99,24.8,191.82,5.2,1.04,Simple,0.29,NW
100,107.68,202.26,5.04,1.01,Simple,0.29,NW
101,6.78,305.97,5.24,1.05,Simple,0.28,SW
102,125.66,153.06,5.37,1.07,Simple,0.27,NW
103,197.54,54.08,5.5,1.1,Simple,0.27,NW
104,348.1,218.81,4.79,0.96,Simple,0.26,SE
105,2.09,193.31,9.43,1.89,Degraded,0.25,NW
