ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,265.17,342.67,23.81,4.76,Complex,0.94,SE
2,194.12,19.09,36.46,7.29,Complex,0.93,NW
3,202.24,208.93,22.65,4.53,Complex,0.93,SW
4,277.94,154.09,23.13,4.63,Complex,0.92,NE
5,279.12,83.69,30.64,6.13,Complex,0.92,NE
6,193.89,368.32,11.86,2.37,Simple,0.91,SW
7,201.94,284.07,18.92,3.78,Simple,0.91,SW
8,249.79,279.47,15.02,3.0,Simple,0.91,SE
9,155.7,360.57,16.21,3.24,Simple,0.91,SW
10,211.13,162.87,10.4,2.08,Simple,0.91,NE
11,145.53,191.73,14.92,2.98,Simple,0.9,NW
12,241.97,180.86,9.7,1.94,Simple,0.9,NE
13,219.9,352.09,10.77,2.15,Simple,0.9,SE
14,267.72,259.41,9.4,1.88,Simple,0.89,SE
15,224.2,105.84,9.78,1.96,Simple,0.89,NE
16,133.61,216.12,9.27,1.85,Simple,0.88,SW
17,247.16,104.98,9.6,1.92,Simple,0.88,NE
18,299.09,264.69,10.92,2.18,Simple,0.88,SE
19,159.82,194.57,8.06,1.61,Simple,0.88,NW
20,223.85,142.01,9.08,1.82,Simple,0.88,NE
21,142.13,247.98,7.26,1.45,Simple,0.87,SW
22,217.59,259.93,13.56,2.71,Simple,0.87,SE
23,199.14,52.79,9.38,1.88,Simple,0.87,NW
24,130.76,137.66,12.66,2.53,Simple,0.87,NW
25,234.73,152.73,10.05,2.01,Simple,0.87,NE
26,234.8,307.05,9.96,1.99,Simple,0.87,SE
27,155.45,88.89,19.17,3.83,Simple,0.86,NW
28,274.06,236.7,7.59,1.52,Simple,0.86,SE
29,260.28,282.33,8.75,1.75,Simple,0.86,SE
30,175.05,315.43,14.89,2.98,Simple,0.86,SW
31,278.18,112.04,8.23,1.65,Simple,0.86,NE
32,184.0,260.52,8.06,1.61,Simple,0.86,SW
33,137.96,129.1,10.92,2.18,Simple,0.85,NW
34,292.39,236.21,12.24,2.45,Simple,0.85,SE
35,115.24,395.53,15.87,3.17,Simple,0.85,SW
36,207.35,227.01,8.36,1.67,Simple,0.85,SW
37,238.28,377.89,9.16,1.83,Simple,0.85,SE
38,156.48,251.36,8.93,1.79,Simple,0.85,SW
39,232.17,60.45,9.51,1.9,Simple,0.85,NE
40,174.81,208.17,7.64,1.53,Simple,0.85,SW
41,197.8,237.84,8.95,1.79,Simple,0.85,SW
42,166.01,116.15,10.01,2.0,Simple,0.85,NW
43,163.38,326.28,9.88,1.98,Simple,0.85,SW
44,185.66,161.88,10.47,2.09,Simple/Overlapping,0.84,NW
45,242.56,290.84,8.85,1.77,Simple,0.84,SE
46,222.6,250.44,9.55,1.91,Simple,0.84,SE
47,221.23,190.15,8.18,1.64,Simple,0.84,NE
48,129.18,353.43,7.88,1.58,Simple,0.84,SW
49,116.19,229.58,7.96,1.59,Simple,0.84,SW
50,178.08,220.7,8.01,1.6,Simple,0.84,SW
51,294.26,160.99,13.06,2.61,Simple,0.84,NE
52,186.64,147.71,9.13,1.83,Simple,0.84,NW
53,280.99,55.61,8.07,1.61,Simple,0.84,NE
54,204.16,397.46,12.96,2.59,Simple/Overlapping,0.84,SW
55,290.37,256.3,11.03,2.21,Simple,0.83,SE
56,252.94,368.57,9.93,1.99,Simple,0.83,SE
57,239.83,236.98,6.61,1.32,Simple,0.83,SE
58,249.97,351.17,10.46,2.09,Simple,0.83,SE
59,219.45,68.66,8.14,1.63,Simple,0.83,NE
60,238.26,333.54,8.67,1.73,Simple,0.83,SE
61,183.51,411.29,13.15,2.63,Degraded,0.83,SW
62,169.82,248.57,9.14,1.83,Simple,0.83,SW
63,256.89,261.08,9.51,1.9,Simple,0.83,SE
64,237.73,346.79,9.25,1.85,Simple,0.82,SE
65,204.51,254.86,7.59,1.52,Simple,0.82,SW
66,135.51,173.68,9.92,1.98,Simple,0.82,NW
67,144.26,223.44,9.79,1.96,Simple,0.82,SW
68,234.45,193.69,8.62,1.72,Simple,0.82,NE
69,233.89,12.65,27.35,5.47,Complex,0.82,NE
70,194.18,157.47,9.92,1.98,Simple,0.82,NW
71,218.85,386.17,9.06,1.81,Simple,0.82,SE
72,266.01,140.95,10.2,2.04,Simple,0.81,NE
73,177.53,63.35,14.93,2.99,Simple/Overlapping,0.81,NW
74,204.02,60.25,7.34,1.47,Simple,0.81,NW
75,253.23,240.07,6.58,1.32,Simple,0.81,SE
76,121.69,45.05,8.39,1.68,Simple,0.81,NW
77,230.79,219.95,10.71,2.14,Simple,0.81,SE
78,208.91,365.19,9.86,1.97,Simple,0.81,SE
79,283.88,65.24,10.87,2.17,Simple,0.81,NE
80,264.84,97.23,9.8,1.96,Simple,0.81,NE
81,260.53,223.9,7.1,1.42,Simple,0.81,SE
82,295.47,105.44,9.15,1.83,Simple,0.81,NE
83,210.68,100.12,7.35,1.47,Simple,0.81,NE
84,261.29,307.79,9.61,1.92,Simple,0.81,SE
85,260.46,85.61,9.78,1.96,Simple,0.81,NE
86,135.2,193.06,7.57,1.51,Simple,0.8,NW
87,174.67,370.72,6.64,1.33,Simple,0.8,SW
88,262.92,161.74,6.79,1.36,Simple,0.8,NE
89,132.55,232.96,12.77,2.55,Simple,0.8,SW
90,160.3,29.34,15.43,3.09,Simple,0.8,NW
91,234.05,271.81,9.2,1.84,Simple,0.79,SE
92,144.21,361.71,7.89,1.58,Simple,0.79,SW
93,275.11,285.54,7.9,1.58,Simple,0.79,SE
94,132.5,102.83,7.42,1.48,Simple,0.79,NW
95,253.12,139.54,6.89,1.38,Simple,0.79,NE
96,201.25,193.1,11.77,2.35,Simple,0.79,NW
97,299.91,385.43,7.91,1.58,Simple,0.79,SE
98,222.38,367.91,10.28,2.06,Simple,0.79,SE
99,222.73,76.48,8.93,1.79,Simple,0.78,NE
100,267.92,21.5,8.01,1.6,Simple,0.78,NE
101,223.07,341.03,8.78,1.76,Simple,0.78,SE
102,248.33,146.5,7.28,1.46,Simple,0.78,NE
103,275.63,171.62,13.04,2.61,Simple/Overlapping,0.78,NE
104,251.66,127.13,7.69,1.54,Simple,0.78,NE
105,288.93,379.94,8.29,1.66,Simple,0.78,SE
106,298.07,172.24,7.71,1.54,Simple,0.78,NE
