ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,220.5,285.92,16.49,3.3,Simple,0.94,SE
2,139.76,155.59,16.05,3.21,Simple,0.93,NW
3,330.99,365.24,7.92,1.58,Simple,0.93,SE
4,222.01,355.74,9.23,1.85,Simple,0.93,SE
5,269.17,193.2,28.11,5.62,Complex,0.93,NE
6,25.92,79.36,18.19,3.64,Simple/Overlapping,0.93,NW
7,387.0,33.88,29.92,5.98,Complex,0.93,NE
8,151.22,26.86,13.38,2.68,Simple,0.93,NW
9,316.33,342.78,19.07,3.81,Simple,0.92,SE
10,82.44,252.14,19.07,3.81,Simple,0.92,SW
11,143.97,39.82,16.55,3.31,Simple,0.92,NW
12,252.43,276.23,25.03,5.01,Complex,0.92,SE
13,377.49,347.84,35.69,7.14,Complex,0.92,SE
14,360.1,248.48,41.98,8.4,Complex,0.92,SE
15,184.61,191.75,9.1,1.82,Simple,0.92,NW
16,26.83,164.42,12.66,2.53,Simple,0.91,NW
17,399.95,299.45,14.28,2.86,Simple,0.91,SE
18,274.01,130.75,11.94,2.39,Simple,0.91,NE
19,207.94,291.97,11.39,2.28,Simple,0.91,SW
20,118.75,321.84,10.85,2.17,Simple,0.91,SW
21,275.92,349.49,11.84,2.37,Simple,0.9,SE
22,105.91,130.01,9.12,1.82,Simple,0.9,NW
23,247.18,41.88,19.15,3.83,Simple,0.9,NE
24,159.59,268.16,11.73,2.35,Simple,0.9,SW
25,261.2,304.03,9.96,1.99,Simple,0.9,SE
26,200.6,76.26,16.26,3.25,Simple,0.9,NW
27,244.83,158.31,9.92,1.98,Simple,0.9,NE
28,409.4,37.81,11.26,2.25,Simple,0.9,NE
29,229.49,192.92,8.99,1.8,Simple,0.9,NE
30,12.9,13.02,12.13,2.43,Simple,0.9,NW
31,85.28,91.32,7.92,1.58,Simple,0.9,NW
32,187.65,389.22,17.26,3.45,Simple,0.89,SW
33,168.3,159.66,42.94,8.59,Complex,0.89,NW
34,217.06,7.94,8.44,1.69,Simple,0.89,NE
35,15.53,97.47,22.34,4.47,Complex,0.89,NW
36,213.61,269.88,16.89,3.38,Simple,0.89,SE
37,261.13,316.26,10.57,2.11,Simple,0.89,SE
38,357.1,393.77,11.05,2.21,Simple,0.89,SE
39,58.52,320.72,9.44,1.89,Simple,0.89,SW
40,369.0,116.32,10.36,2.07,Simple,0.89,NE
41,310.79,194.99,7.77,1.55,Simple,0.89,NE
42,52.43,201.42,8.68,1.74,Simple,0.88,NW
43,196.53,137.6,13.65,2.73,Simple,0.88,NW
44,50.86,22.01,7.8,1.56,Simple,0.88,NW
45,49.92,381.07,19.03,3.81,Simple,0.88,SW
46,357.55,105.06,33.62,6.72,Complex/Overlapping,0.88,NE
47,58.11,282.9,7.96,1.59,Simple,0.88,SW
48,243.96,237.18,11.92,2.38,Simple,0.88,SE
49,285.0,178.96,9.55,1.91,Simple,0.88,NE
50,144.38,310.13,16.52,3.3,Simple,0.88,SW
51,98.93,324.69,8.74,1.75,Simple,0.88,SW
52,114.55,35.36,9.09,1.82,Simple,0.87,NW
53,131.72,124.49,14.59,2.92,Simple/Overlapping,0.87,NW
54,86.17,72.67,7.92,1.58,Simple,0.87,NW
55,209.21,112.81,8.97,1.79,Simple,0.87,NE
56,233.06,57.75,8.19,1.64,Simple,0.87,NE
57,107.41,285.69,7.02,1.4,Simple,0.87,SW
58,131.11,87.18,10.02,2.0,Simple,0.86,NW
59,178.04,134.95,7.9,1.58,Simple,0.86,NW
60,129.28,107.0,12.55,2.51,Simple,0.86,NW
61,205.97,198.86,7.89,1.58,Simple/Overlapping,0.86,NW
62,218.87,207.15,8.57,1.71,Simple,0.86,NE
63,169.08,392.02,21.32,4.26,Complex,0.86,SW
64,387.05,388.38,9.97,1.99,Simple,0.85,SE
65,240.15,70.48,8.06,1.61,Simple,0.85,NE
66,125.58,179.78,13.89,2.78,Simple,0.85,NW
67,404.92,247.51,17.18,3.44,Simple,0.85,SE
68,91.78,174.51,8.74,1.75,Simple,0.85,NW
69,334.3,356.16,11.49,2.3,Simple,0.85,SE
70,94.24,295.41,9.66,1.93,Simple,0.85,SW
71,355.98,325.62,39.92,7.98,Complex,0.84,SE
72,167.8,223.87,29.46,5.89,Complex/Overlapping,0.84,SW
73,184.24,250.69,10.1,2.02,Simple/Overlapping,0.84,SW
74,293.64,406.96,25.41,5.08,Degraded,0.84,SE
75,189.16,287.37,12.25,2.45,Simple,0.84,SW
76,262.54,162.15,15.88,3.18,Simple,0.84,NE
77,150.01,120.03,10.46,2.09,Simple,0.84,NW
78,153.61,276.71,11.92,2.38,Simple,0.83,SW
79,80.73,144.99,7.6,1.52,Simple,0.83,NW
80,369.32,137.19,9.41,1.88,Simple,0.83,NE
81,321.5,290.67,8.77,1.75,Simple,0.83,SE
82,398.67,211.59,16.45,3.29,Simple,0.83,SE
83,316.75,258.02,13.59,2.72,Simple,0.83,SE
84,49.45,335.9,22.77,4.55,Complex,0.83,SW
85,26.43,7.84,17.18,3.44,Simple,0.82,NW
86,272.9,150.1,6.97,1.39,Simple,0.82,NE
87,59.28,127.99,7.29,1.46,Simple,0.82,NW
88,160.56,250.44,9.23,1.85,Simple,0.82,SW
89,202.74,298.64,8.89,1.78,Simple,0.82,SW
90,111.05,410.79,13.84,2.77,Degraded,0.82,SW
91,45.33,36.26,10.12,2.02,Simple,0.82,NW
92,350.46,299.52,6.11,1.22,Simple,0.81,SE
93,18.52,138.93,6.25,1.25,Simple,0.81,NW
94,20.03,357.55,17.51,3.5,Simple,0.81,SW
95,212.83,245.45,9.83,1.97,Simple,0.81,SE
96,186.28,177.9,14.57,2.91,Simple,0.81,NW
97,251.89,230.63,6.43,1.29,Simple,0.81,SE
98,130.07,7.79,11.38,2.28,Simple,0.8,NW
99,184.76,240.05,22.51,4.5,Complex/Overlapping,0.8,SW
100,256.85,405.81,8.39,1.68,Simple,0.8,SE
101,96.38,167.25,6.84,1.37,Simple,0.8,NW
102,328.21,197.02,7.21,1.44,Simple,0.8,NE
103,315.22,41.05,11.74,2.35,Simple,0.8,NE
104,144.83,255.58,6.78,1.36,Simple,0.8,SW
105,86.26,378.31,9.75,1.95,Simple,0.79,SW
106,266.47,176.37,9.91,1.98,Simple,0.79,NE
107,42.64,129.93,6.67,1.33,Simple,0.79,NW
108,255.9,213.35,7.1,1.42,Simple,0.79,SE
109,116.95,395.5,14.98,3.0,Simple,0.78,SW
110,128.1,365.07,13.86,2.77,Simple,0.78,SW
111,245.07,302.7,10.3,2.06,Simple/Overlapping,0.78,SE
112,213.5,391.38,8.05,1.61,Simple,0.78,SE
113,144.79,237.51,9.76,1.95,Simple,0.77,SW
114,407.37,130.69,8.61,1.72,Simple,0.77,NE
115,269.47,48.61,5.88,1.18,Simple,0.77,NE
116,158.25,93.06,7.82,1.56,Simple,0.77,NW
117,13.51,68.39,11.01,2.2,Simple,0.77,NW
118,221.91,249.47,8.24,1.65,Simple,0.76,SE
119,236.74,154.8,8.18,1.64,Simple,0.76,NE
120,120.13,73.85,7.0,1.4,Simple,0.76,NW
121,55.31,162.15,6.26,1.25,Simple,0.76,NW
122,255.69,239.99,11.9,2.38,Simple,0.76,SE
123,292.87,247.58,21.58,4.32,Complex,0.76,SE
124,376.43,110.3,6.51,1.3,Simple,0.76,NE
125,82.26,320.83,7.05,1.41,Simple,0.74,SW
126,192.12,43.91,7.3,1.46,Simple,0.74,NW
127,239.78,7.01,8.96,1.79,Simple,0.73,NE
128,69.92,242.94,6.06,1.21,Simple,0.73,SW
129,201.2,249.64,17.25,3.45,Simple,0.72,SW
130,295.86,93.31,9.77,1.95,Simple,0.72,NE
131,380.22,198.07,8.26,1.65,Simple,0.72,NE
132,337.82,88.76,15.17,3.03,Simple,0.72,NE
133,346.28,211.71,9.92,1.98,Simple,0.72,SE
