ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,246.92,154.31,21.63,4.33,Complex,0.94,NE
2,246.24,345.52,41.0,8.2,Complex,0.93,SE
3,178.85,143.88,36.81,7.36,Complex/Overlapping,0.9,NW
4,264.72,119.25,9.96,1.99,Simple,0.89,NE
5,245.18,167.47,9.97,1.99,Simple,0.87,NE
6,162.96,89.54,8.29,1.66,Simple,0.86,NW
7,183.75,244.27,12.87,2.57,Simple,0.86,SW
8,269.62,391.95,9.45,1.89,Simple,0.84,SE
9,145.33,96.62,8.52,1.7,Simple,0.83,NW
10,135.9,16.61,15.15,3.03,Simple/Overlapping,0.83,NW
11,236.61,291.83,8.61,1.72,Simple,0.82,SE
12,175.31,64.37,8.66,1.73,Simple,0.82,NW
13,187.76,52.94,8.21,1.64,Simple,0.81,NW
14,184.73,62.81,9.39,1.88,Simple,0.81,NW
15,225.03,114.79,9.3,1.86,Simple,0.8,NE
16,193.54,312.38,10.22,2.04,Simple,0.79,SW
17,229.27,373.41,9.44,1.89,Simple,0.79,SE
18,199.77,183.02,7.61,1.52,Simple,0.78,NW
19,281.82,162.0,6.94,1.39,Simple,0.78,NE
20,201.03,401.06,7.09,1.42,Simple,0.78,SW
21,227.44,67.82,7.19,1.44,Simple,0.77,NE
22,154.56,14.77,10.05,2.01,Simple,0.77,NW
23,200.63,142.77,9.07,1.81,Simple,0.77,NW
24,248.82,54.66,8.76,1.75,Simple,0.76,NE
25,137.87,25.59,13.11,2.62,Simple/Overlapping,0.75,NW
26,149.31,132.06,9.0,1.8,Simple,0.75,NW
27,135.28,117.65,8.24,1.65,Simple/Overlapping,0.74,NW
28,295.27,379.01,10.5,2.1,Simple,0.74,SE
29,125.6,156.58,11.51,2.3,Simple,0.74,NW
30,207.43,121.85,8.27,1.65,Simple,0.74,NW
31,161.69,124.76,13.36,2.67,Simple/Overlapping,0.72,NW
32,217.6,150.02,8.43,1.69,Simple,0.72,NE
33,273.45,102.24,7.83,1.57,Simple,0.7,NE
34,261.42,106.96,7.17,1.43,Simple,0.7,NE
35,161.32,129.17,15.5,3.1,Simple/Overlapping,0.69,NW
36,243.84,91.05,6.66,1.33,Simple,0.69,NE
37,246.82,123.54,6.99,1.4,Simple,0.68,NE
38,291.13,398.18,13.08,2.62,Simple/Overlapping,0.67,SE
39,259.64,34.35,9.27,1.85,Simple/Overlapping,0.67,NE
40,174.51,122.28,7.46,1.49,Simple,0.65,NW
41,124.28,125.16,7.4,1.48,Simple,0.65,NW
42,157.12,54.18,11.92,2.38,Simple/Overlapping,0.65,NW
43,146.74,152.07,11.54,2.31,Simple,0.64,NW
44,258.67,389.03,6.68,1.34,Simple,0.62,SE
45,259.15,211.9,6.88,1.38,Simple,0.62,SE
46,133.17,61.87,8.26,1.65,Simple,0.62,NW
47,162.17,123.45,11.59,2.32,Simple/Overlapping,0.62,NW
48,194.2,8.33,6.34,1.27,Simple,0.61,NW
49,126.63,103.2,6.38,1.28,Simple,0.6,NW
50,194.97,282.23,6.6,1.32,Simple,0.59,SW
51,289.96,13.08,8.38,1.68,Simple,0.58,NE
52,206.53,42.91,11.36,2.27,Simple,0.58,NW
53,141.36,137.61,7.51,1.5,Simple,0.57,NW
54,288.2,269.88,6.84,1.37,Simple,0.56,SE
55,170.06,247.81,10.42,2.08,Simple,0.56,SW
56,258.92,140.23,6.26,1.25,Simple,0.54,NE
57,205.79,177.49,8.49,1.7,Simple,0.54,NW
58,284.96,262.79,8.07,1.61,Simple,0.53,SE
59,226.52,386.17,6.58,1.32,Simple,0.52,SE
60,181.08,251.77,6.74,1.35,Simple,0.52,SW
61,221.92,143.6,6.44,1.29,Simple,0.52,NE
62,154.04,103.44,6.14,1.23,Simple,0.52,NW
63,203.22,8.58,5.68,1.14,Simple,0.51,NW
64,273.18,6.45,6.66,1.33,Simple,0.5,NE
65,283.62,394.41,8.85,1.77,Simple/Overlapping,0.5,SE
66,146.15,115.0,6.48,1.3,Simple,0.49,NW
67,281.9,141.62,10.96,2.19,Simple,0.48,NE
68,255.74,27.1,7.34,1.47,Simple,0.48,NE
69,258.91,36.45,8.77,1.75,Simple/Overlapping,0.47,NE
70,276.83,269.87,9.68,1.94,Simple,0.47,SE
71,173.2,261.68,8.91,1.78,Simple,0.47,SW
72,211.77,271.14,7.18,1.44,Simple,0.47,SE
73,194.5,373.99,6.19,1.24,Simple,0.47,SW
74,194.01,161.7,10.27,2.05,Simple/Overlapping,0.46,NW
75,134.04,114.02,8.28,1.66,Simple/Overlapping,0.45,NW
76,185.66,275.03,14.15,2.83,Simple/Overlapping,0.45,SW
77,156.4,74.55,5.8,1.16,Simple,0.42,NW
78,163.87,264.31,8.89,1.78,Simple,0.41,SW
79,178.18,14.51,14.11,2.82,Simple,0.4,NW
80,230.3,175.93,10.86,2.17,Simple,0.4,NE
81,254.09,47.7,7.27,1.45,Simple,0.4,NE
82,250.46,280.33,8.54,1.71,Simple,0.39,SE
83,222.98,160.63,7.67,1.53,Simple,0.38,NE
