ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,137.58,285.7,21.59,4.32,Complex,0.93,SW
2,286.17,322.17,15.82,3.16,Simple,0.92,SE
3,157.77,154.38,20.97,4.19,Complex,0.91,NW
4,256.53,230.46,8.87,1.77,Simple,0.91,SE
5,221.38,11.06,18.35,3.67,Simple,0.91,NE
6,138.45,138.02,15.43,3.09,Simple,0.9,NW
7,169.04,206.87,10.85,2.17,Simple,0.9,NW
8,275.45,343.86,15.41,3.08,Simple,0.9,SE
9,268.85,204.49,9.2,1.84,Simple,0.9,NE
10,266.14,293.48,6.7,1.34,Simple,0.89,SE
11,168.36,364.1,15.12,3.02,Simple,0.89,SW
12,290.13,285.69,12.94,2.59,Simple,0.89,SE
13,231.79,226.33,11.51,2.3,Simple,0.89,SE
14,207.34,368.17,9.51,1.9,Simple,0.89,SW
15,157.15,255.43,10.17,2.03,Simple/Overlapping,0.89,SW
16,147.19,103.79,10.71,2.14,Simple,0.88,NW
17,203.61,254.64,10.62,2.12,Simple,0.88,SW
18,178.38,34.5,10.09,2.02,Simple,0.88,NW
19,136.61,160.26,11.3,2.26,Simple,0.88,NW
20,209.81,299.08,12.92,2.58,Simple,0.88,SE
21,124.31,219.12,15.23,3.05,Simple,0.87,SW
22,237.23,261.84,10.92,2.18,Simple,0.87,SE
23,160.98,241.76,10.08,2.02,Simple,0.87,SW
24,279.34,282.53,9.5,1.9,Simple,0.87,SE
25,212.65,309.66,10.24,2.05,Simple,0.87,SE
26,243.54,236.22,9.44,1.89,Simple,0.87,SE
27,164.07,319.91,8.62,1.72,Simple,0.86,SW
28,217.33,281.18,10.23,2.05,Simple,0.86,SE
29,244.95,251.24,11.55,2.31,Simple,0.86,SE
30,268.62,177.38,10.61,2.12,Simple,0.86,NE
31,271.21,381.7,9.95,1.99,Simple,0.86,SE
32,227.51,278.49,7.01,1.4,Simple,0.85,SE
33,256.69,357.91,10.91,2.18,Simple/Overlapping,0.85,SE
34,269.79,258.16,9.4,1.88,Simple,0.85,SE
35,121.64,274.71,12.66,2.53,Simple,0.85,SW
36,278.64,23.66,7.88,1.58,Simple,0.84,NE
37,259.91,307.39,9.47,1.89,Simple,0.84,SE
38,221.74,380.58,12.27,2.45,Simple,0.84,SE
39,244.73,286.85,9.85,1.97,Simple,0.84,SE
40,219.03,270.81,11.17,2.23,Simple,0.84,SE
41,173.02,256.8,10.43,2.09,Simple,0.84,SW
42,210.68,231.0,7.48,1.5,Simple,0.83,SE
43,196.25,409.2,8.25,1.65,Simple,0.83,SW
44,291.58,341.84,9.87,1.97,Simple,0.83,SE
45,234.92,304.3,7.07,1.41,Simple,0.83,SE
46,248.01,360.74,8.93,1.79,Simple/Overlapping,0.83,SE
47,152.36,333.91,8.14,1.63,Simple,0.83,SW
48,207.04,391.54,12.99,2.6,Simple/Overlapping,0.83,SW
49,188.48,304.19,7.54,1.51,Simple,0.83,SW
50,188.41,235.02,8.79,1.76,Simple,0.83,SW
51,292.35,91.34,11.07,2.21,Simple/Overlapping,0.82,NE
52,263.0,278.22,8.8,1.76,Simple,0.82,SE
53,136.67,306.36,12.59,2.52,Simple,0.82,SW
54,251.04,377.21,19.37,3.87,Simple/Overlapping,0.82,SE
55,187.68,386.34,11.82,2.36,Simple/Overlapping,0.82,SW
56,178.14,376.68,6.8,1.36,Simple,0.82,SW
57,244.64,311.1,13.15,2.63,Simple,0.82,SE
58,267.97,309.11,8.23,1.65,Simple/Overlapping,0.81,SE
59,234.16,406.89,11.09,2.22,Simple,0.81,SE
60,270.66,274.92,8.23,1.65,Simple,0.81,SE
61,193.0,65.12,7.56,1.51,Simple,0.81,NW
62,217.94,248.03,8.83,1.77,Simple,0.81,SE
63,233.83,314.57,7.59,1.52,Simple,0.8,SE
64,226.58,244.92,10.06,2.01,Simple,0.8,SE
65,257.67,403.69,8.29,1.66,Simple/Overlapping,0.8,SE
66,211.58,355.44,7.47,1.49,Simple,0.8,SE
67,290.83,184.03,8.82,1.76,Simple,0.8,NE
68,147.98,272.16,13.98,2.8,Simple,0.79,SW
69,244.47,370.29,12.74,2.55,Simple/Overlapping,0.79,SE
70,201.95,233.05,8.18,1.64,Simple,0.79,SW
71,282.26,307.12,8.99,1.8,Simple,0.79,SE
72,152.44,348.72,6.49,1.3,Simple,0.79,SW
73,141.43,371.74,8.76,1.75,Simple,0.79,SW
74,152.51,142.06,11.54,2.31,Simple,0.79,NW
75,230.01,352.52,10.58,2.12,Simple,0.79,SE
76,273.35,299.69,11.03,2.21,Simple,0.79,SE
77,132.52,240.24,7.13,1.43,Simple,0.78,SW
78,302.55,364.79,7.51,1.5,Simple,0.78,SE
79,134.53,272.93,9.51,1.9,Simple,0.78,SW
80,192.69,292.29,5.84,1.17,Simple,0.78,SW
81,144.02,361.79,10.98,2.2,Simple/Overlapping,0.78,SW
82,294.42,81.15,9.96,1.99,Simple,0.78,NE
83,115.8,327.49,23.75,4.75,Degraded,0.77,SW
84,193.58,341.61,6.95,1.39,Simple,0.77,SW
85,185.44,341.04,8.74,1.75,Simple,0.76,SW
86,182.83,285.02,6.93,1.39,Simple,0.76,SW
87,128.78,400.58,7.54,1.51,Simple,0.76,SW
88,127.16,253.54,7.77,1.55,Simple,0.76,SW
89,223.43,368.41,12.1,2.42,Simple,0.76,SE
90,266.14,268.37,7.07,1.41,Simple,0.76,SE
91,293.22,51.62,7.89,1.58,Simple,0.76,NE
92,237.22,282.82,6.57,1.31,Simple,0.75,SE
93,114.64,410.4,8.0,1.6,Simple,0.75,SW
94,292.23,271.3,8.37,1.67,Simple/Overlapping,0.75,SE
