ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,78.32,74.06,25.36,5.07,Complex,0.92,NW
2,316.13,373.34,9.35,1.87,Simple,0.91,SE
3,317.71,318.51,11.76,2.35,Simple,0.91,SE
4,118.69,170.65,25.9,5.18,Complex,0.9,NW
5,130.92,151.98,11.14,2.23,Simple,0.9,NW
6,146.85,382.87,19.22,3.84,Simple/Overlapping,0.89,SW
7,217.65,333.79,17.67,3.53,Simple,0.89,SE
8,204.82,47.76,7.57,1.51,Simple,0.89,NW
9,102.7,372.04,12.92,2.58,Simple,0.88,SW
10,183.44,305.41,9.42,1.88,Simple,0.86,SW
11,214.09,296.17,10.27,2.05,Simple,0.86,SE
12,128.12,110.54,14.93,2.99,Simple,0.85,NW
13,177.63,300.35,76.88,15.38,Complex,0.84,SW
14,103.63,387.46,15.41,3.08,Simple,0.84,SW
15,337.57,26.43,9.16,1.83,Simple,0.84,NE
16,215.62,103.82,7.98,1.6,Simple,0.84,NE
17,146.18,399.02,36.65,7.33,Complex/Overlapping,0.83,SW
18,216.97,269.97,36.27,7.25,Complex,0.83,SE
19,94.61,211.05,8.58,1.72,Simple,0.82,SW
20,267.5,361.02,21.02,4.2,Complex,0.82,SE
21,200.19,237.0,8.01,1.6,Simple,0.81,SW
22,327.13,54.41,8.29,1.66,Simple,0.81,NE
23,186.79,235.95,21.55,4.31,Complex,0.81,SW
24,247.42,313.56,7.11,1.42,Simple,0.8,SE
25,94.05,325.18,24.66,4.93,Complex,0.8,SW
26,171.11,182.54,9.3,1.86,Simple,0.8,NW
27,239.43,378.41,71.26,14.25,Complex,0.79,SE
28,244.05,304.77,10.46,2.09,Simple,0.78,SE
29,126.11,285.34,8.04,1.61,Simple,0.78,SW
30,111.11,350.12,12.6,2.52,Simple,0.78,SW
31,219.41,67.82,24.61,4.92,Complex,0.77,NE
32,178.78,74.75,9.0,1.8,Simple/Overlapping,0.77,NW
33,187.68,73.15,7.61,1.52,Simple,0.76,NW
