ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,54.73,241.7,10.79,2.16,Simple,0.94,SW
2,121.41,227.22,33.36,6.67,Complex,0.94,SW
3,346.2,173.02,10.95,2.19,Simple,0.93,NE
4,142.56,120.13,12.22,2.44,Simple,0.92,NW
5,122.62,294.03,10.59,2.12,Simple,0.92,SW
6,189.65,160.58,15.7,3.14,Simple,0.91,NW
7,363.98,16.17,20.95,4.19,Complex,0.91,NE
8,135.6,372.23,10.91,2.18,Simple,0.91,SW
9,163.82,367.94,17.9,3.58,Simple,0.91,SW
10,283.53,147.13,9.82,1.96,Simple,0.91,NE
11,309.67,384.39,8.11,1.62,Simple,0.91,SE
12,255.39,25.26,10.85,2.17,Simple,0.91,NE
13,395.73,141.89,21.13,4.23,Complex,0.91,NE
14,113.74,109.6,14.84,2.97,Simple,0.9,NW
15,189.25,399.56,8.6,1.72,Simple,0.9,SW
16,180.34,288.85,8.37,1.67,Simple,0.9,SW
17,370.45,391.18,7.68,1.54,Simple,0.9,SE
18,285.61,333.39,9.07,1.81,Simple,0.9,SE
19,67.55,383.06,10.11,2.02,Simple,0.9,SW
20,83.38,348.24,9.42,1.88,Simple,0.89,SW
21,326.94,192.41,14.86,2.97,Simple,0.88,NE
22,150.33,329.93,10.79,2.16,Simple,0.88,SW
23,174.93,324.21,9.58,1.92,Simple,0.87,SW
24,275.74,278.07,10.18,2.04,Simple,0.87,SE
25,315.08,58.69,12.93,2.59,Simple,0.87,NE
26,213.39,192.8,11.81,2.36,Simple,0.87,NE
27,284.58,22.22,7.94,1.59,Simple,0.87,NE
28,299.24,267.54,7.73,1.55,Simple,0.87,SE
29,244.11,318.15,10.73,2.15,Simple,0.87,SE
30,272.38,177.95,7.64,1.53,Simple,0.86,NE
31,370.29,97.52,9.28,1.86,Simple,0.86,NE
32,236.41,222.49,9.11,1.82,Simple,0.85,SE
33,249.48,10.96,9.2,1.84,Simple,0.84,NE
34,373.28,318.72,6.92,1.38,Simple,0.83,SE
35,195.45,355.38,9.86,1.97,Simple,0.83,SW
36,262.47,277.31,12.27,2.45,Simple,0.81,SE
37,62.09,310.39,8.69,1.74,Simple,0.81,SW
38,294.74,81.36,9.83,1.97,Simple,0.8,NE
39,259.79,262.94,7.52,1.5,Simple,0.8,SE
40,389.35,107.56,7.75,1.55,Simple,0.79,NE
41,375.69,72.41,8.48,1.7,Simple,0.78,NE
