ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,248.86,71.46,13.08,2.62,Simple,0.91,NE
2,136.7,283.02,22.34,4.47,Complex,0.91,SW
3,152.61,195.5,10.56,2.11,Simple,0.9,NW
4,288.52,167.06,17.16,3.43,Simple,0.9,NE
5,191.03,90.83,8.36,1.67,Simple,0.9,NW
6,49.25,11.04,19.25,3.85,Simple,0.89,NW
7,311.49,178.64,12.42,2.48,Simple,0.89,NE
8,248.61,117.09,6.67,1.33,Simple,0.88,NE
9,342.95,262.37,9.07,1.81,Simple,0.86,SE
10,272.91,190.71,10.09,2.02,Simple,0.86,NE
11,86.99,8.54,9.1,1.82,Simple,0.86,NW
12,250.79,144.96,31.16,6.23,Complex,0.86,NE
13,295.04,192.23,9.44,1.89,Simple,0.85,NE
14,254.62,204.06,14.05,2.81,Simple,0.84,NE
15,196.07,235.25,35.26,7.05,Complex,0.84,SW
16,336.72,271.77,7.3,1.46,Simple,0.84,SE
17,378.12,404.61,17.24,3.45,Simple,0.83,SE
18,384.38,189.34,21.0,4.2,Complex,0.83,NE
19,381.62,392.59,6.08,1.22,Simple,0.82,SE
20,68.48,94.73,20.0,4.0,Complex,0.82,NW
21,357.03,408.54,10.76,2.15,Simple,0.8,SE
22,268.07,27.64,8.37,1.67,Simple,0.79,NE
23,360.79,107.27,6.64,1.33,Simple,0.79,NE
24,306.46,26.9,10.55,2.11,Simple,0.79,NE
25,48.81,139.72,26.95,5.39,Complex,0.77,NW
26,333.81,184.31,12.73,2.55,Simple,0.76,NE
27,222.53,167.35,9.38,1.88,Simple,0.76,NE
28,282.73,186.88,9.65,1.93,Simple,0.74,NE
29,140.16,352.31,19.81,3.96,Simple,0.71,SW
30,265.53,407.63,13.16,2.63,Simple,0.7,SE
31,99.34,36.83,7.08,1.42,Simple,0.7,NW
32,190.55,201.22,10.13,2.03,Simple,0.69,NW
33,392.12,221.03,19.57,3.91,Simple,0.69,SE
34,286.11,178.5,7.35,1.47,Simple,0.69,NE
35,373.47,296.44,6.7,1.34,Simple,0.68,SE
36,354.25,279.48,5.61,1.12,Simple,0.65,SE
37,237.05,407.42,14.65,2.93,Simple,0.65,SE
38,378.88,354.59,5.99,1.2,Simple,0.63,SE
39,339.3,329.92,10.34,2.07,Simple,0.62,SE
40,287.25,5.87,8.01,1.6,Simple,0.62,NE
41,363.42,254.83,19.52,3.9,Simple,0.61,SE
42,252.73,408.45,11.41,2.28,Simple,0.61,SE
43,328.0,151.34,8.04,1.61,Simple,0.58,NE
44,205.08,156.15,11.91,2.38,Simple,0.58,NW
45,36.28,410.11,21.48,4.3,Degraded/Overlapping,0.57,SW
46,362.31,291.3,5.52,1.1,Simple,0.56,SE
47,269.44,329.35,71.33,14.27,Complex/Overlapping,0.56,SE
48,97.59,129.53,7.88,1.58,Simple,0.56,NW
49,130.53,412.01,6.51,1.3,Simple,0.55,SW
50,378.31,216.2,7.69,1.54,Simple,0.54,SE
51,77.69,404.64,6.82,1.36,Simple,0.53,SW
52,46.14,60.19,5.59,1.12,Simple,0.52,NW
53,184.55,175.5,20.2,4.04,Complex,0.51,NW
54,294.36,351.95,26.21,5.24,Complex/Overlapping,0.51,SE
55,264.98,357.05,39.35,7.87,Complex/Overlapping,0.5,SE
56,309.04,335.43,12.96,2.59,Simple,0.49,SE
57,236.46,312.47,5.61,1.12,Simple,0.47,SE
58,350.73,358.75,6.95,1.39,Simple,0.47,SE
59,199.52,164.38,11.79,2.36,Simple,0.47,NW
60,343.41,216.27,27.27,5.45,Complex,0.46,SE
61,319.92,343.31,9.11,1.82,Simple,0.45,SE
62,338.56,365.57,14.15,2.83,Simple,0.45,SE
63,363.78,205.86,27.17,5.43,Complex,0.45,NE
64,389.62,120.15,23.34,4.67,Complex,0.44,NE
65,231.65,193.68,7.46,1.49,Simple,0.43,NE
66,298.87,101.85,77.7,15.54,Complex,0.42,NE
67,141.06,85.38,70.94,14.19,Complex,0.41,NW
68,201.25,329.4,5.34,1.07,Simple,0.41,SW
69,200.51,266.08,11.0,2.2,Simple,0.41,SW
70,277.77,136.5,6.53,1.31,Simple,0.4,NE
71,201.99,189.68,7.92,1.58,Simple,0.4,NW
72,227.85,282.31,7.31,1.46,Simple,0.4,SE
73,96.34,390.39,5.73,1.15,Simple,0.39,SW
74,266.05,230.23,17.44,3.49,Simple,0.39,SE
75,158.8,202.83,9.42,1.88,Simple,0.37,NW
76,148.7,150.67,19.78,3.96,Simple/Overlapping,0.36,NW
77,361.93,309.95,4.88,0.98,Simple,0.35,SE
78,37.46,374.15,5.01,1.0,Simple,0.34,SW
79,324.35,278.82,5.64,1.13,Simple,0.34,SE
80,36.31,412.56,20.72,4.14,Degraded/Overlapping,0.33,SW
81,148.54,146.12,12.21,2.44,Simple/Overlapping,0.32,NW
82,169.07,133.0,8.02,1.6,Simple,0.32,NW
83,170.84,231.5,8.87,1.77,Simple,0.31,SW
84,266.89,126.32,9.22,1.84,Simple,0.3,NE
85,318.65,161.43,7.54,1.51,Simple,0.29,NE
86,303.21,221.9,7.85,1.57,Simple,0.28,SE
87,194.08,411.59,16.37,3.27,Degraded,0.28,SW
