ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,75.89,239.82,26.18,5.24,Complex,0.95,SW
2,258.27,304.32,11.15,2.23,Simple,0.94,SE
3,196.06,46.77,18.69,3.74,Simple,0.93,NW
4,24.78,61.2,28.68,5.74,Complex,0.93,NW
5,251.17,13.76,12.86,2.57,Simple,0.92,NE
6,205.43,97.61,10.41,2.08,Simple,0.92,NW
7,149.92,310.22,28.44,5.69,Complex,0.92,SW
8,190.88,169.74,10.76,2.15,Simple,0.92,NW
9,44.43,188.54,15.39,3.08,Simple,0.92,NW
10,133.07,41.71,16.41,3.28,Simple,0.92,NW
11,383.38,324.91,8.33,1.67,Simple,0.92,SE
12,67.12,183.72,17.62,3.52,Simple,0.91,NW
13,231.41,171.73,9.06,1.81,Simple,0.91,NE
14,243.62,255.53,22.78,4.56,Complex,0.91,SE
15,229.21,200.34,9.58,1.92,Simple,0.91,NE
16,82.56,202.23,10.23,2.05,Simple,0.91,NW
17,288.43,301.85,16.39,3.28,Simple,0.9,SE
18,171.28,147.92,9.37,1.87,Simple,0.9,NW
19,391.75,266.62,11.93,2.39,Simple,0.9,SE
20,54.72,307.07,11.93,2.39,Simple,0.9,SW
21,335.29,231.05,89.1,17.82,Complex/Overlapping,0.89,SE
22,80.82,5.98,8.8,1.76,Simple,0.88,NW
23,185.68,354.15,11.53,2.31,Simple,0.88,SW
24,216.3,244.66,8.92,1.78,Simple,0.88,SE
25,239.86,386.02,7.42,1.48,Simple,0.88,SE
26,319.89,349.75,11.64,2.33,Simple/Overlapping,0.88,SE
27,256.2,217.01,19.71,3.94,Simple,0.88,SE
28,359.37,317.65,12.25,2.45,Simple,0.87,SE
29,177.89,158.57,9.07,1.81,Simple,0.87,NW
30,120.01,352.46,8.57,1.71,Simple,0.87,SW
31,190.38,196.84,9.43,1.89,Simple,0.86,NW
32,361.63,292.42,8.5,1.7,Simple,0.86,SE
33,240.4,217.15,15.55,3.11,Simple,0.86,SE
34,191.91,61.77,9.97,1.99,Simple,0.85,NW
35,327.79,89.47,94.12,18.82,Complex,0.85,NE
36,56.05,153.8,11.03,2.21,Simple,0.85,NW
37,309.84,320.54,16.25,3.25,Simple,0.85,SE
38,176.34,357.84,10.31,2.06,Simple,0.85,SW
39,318.82,105.14,10.11,2.02,Simple,0.84,NE
40,388.61,285.16,7.32,1.46,Simple,0.84,SE
41,195.06,359.41,8.6,1.72,Simple,0.83,SW
42,393.11,381.51,9.95,1.99,Simple,0.83,SE
43,93.96,235.56,9.01,1.8,Simple,0.83,SW
44,204.65,368.66,7.49,1.5,Simple,0.82,SW
45,269.16,262.5,8.51,1.7,Simple,0.82,SE
46,359.77,9.27,21.41,4.28,Complex,0.82,NE
