ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,161.66,335.71,19.76,3.95,Simple,0.94,SW
2,22.57,125.88,8.3,1.66,Simple,0.93,NW
3,115.35,298.88,50.14,10.03,Complex,0.93,SW
4,72.66,66.88,15.08,3.02,Simple,0.93,NW
5,157.47,376.12,7.37,1.47,Simple,0.93,SW
6,337.09,90.01,11.3,2.26,Simple,0.92,NE
7,92.12,365.25,13.07,2.61,Simple,0.92,SW
8,138.48,185.28,9.14,1.83,Simple,0.92,NW
9,45.42,203.94,15.29,3.06,Simple,0.92,NW
10,120.3,372.19,9.63,1.93,Simple,0.91,SW
11,82.0,203.6,9.61,1.92,Simple,0.91,NW
12,309.13,274.17,8.82,1.76,Simple,0.91,SE
13,130.19,385.45,9.45,1.89,Simple,0.91,SW
14,363.52,392.66,8.44,1.69,Simple,0.91,SE
15,55.36,387.81,7.52,1.5,Simple,0.91,SW
16,387.82,222.0,7.59,1.52,Simple,0.91,SE
17,141.56,295.88,11.37,2.27,Simple,0.91,SW
18,370.54,123.97,6.86,1.37,Simple,0.9,NE
19,55.18,69.71,7.01,1.4,Simple,0.9,NW
20,160.75,295.84,7.97,1.59,Simple,0.9,SW
21,138.76,362.93,9.96,1.99,Simple,0.9,SW
22,92.15,171.25,8.46,1.69,Simple,0.9,NW
23,351.53,26.44,7.34,1.47,Simple,0.9,NE
24,72.7,305.9,8.41,1.68,Simple,0.9,SW
25,250.35,90.8,7.99,1.6,Simple,0.9,NE
26,366.49,110.41,8.28,1.66,Simple,0.89,NE
27,126.88,410.43,7.07,1.41,Simple,0.89,SW
28,114.98,342.14,8.62,1.72,Simple,0.89,SW
29,228.22,286.89,8.93,1.79,Simple,0.89,SE
30,74.12,293.99,6.63,1.33,Simple,0.89,SW
31,355.33,196.53,6.93,1.39,Simple,0.89,NE
32,397.11,15.84,9.25,1.85,Simple,0.89,NE
33,240.58,189.32,8.48,1.7,Simple,0.89,NE
34,43.6,219.26,7.96,1.59,Simple,0.89,SW
35,168.75,284.65,7.15,1.43,Simple,0.89,SW
36,124.01,345.21,6.67,1.33,Simple,0.88,SW
37,73.69,278.35,9.05,1.81,Simple,0.88,SW
38,142.89,404.75,14.34,2.87,Simple,0.88,SW
39,191.25,409.98,7.32,1.46,Simple,0.88,SW
40,34.98,369.68,7.34,1.47,Simple,0.87,SW
41,383.63,39.54,5.88,1.18,Simple,0.87,NE
42,369.7,384.47,6.92,1.38,Simple,0.87,SE
43,15.63,108.74,7.57,1.51,Simple,0.87,NW
44,403.92,52.17,7.16,1.43,Simple,0.87,NE
45,146.79,376.88,6.31,1.26,Simple,0.87,SW
46,394.21,95.01,8.17,1.63,Simple,0.86,NE
47,376.29,24.44,7.95,1.59,Simple,0.86,NE
48,54.29,95.19,7.19,1.44,Simple,0.86,NW
49,158.91,390.92,7.12,1.42,Simple,0.86,SW
50,162.98,276.67,6.62,1.32,Simple,0.86,SW
51,17.98,211.45,6.77,1.35,Simple,0.86,SW
