ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,241.9,221.36,11.11,2.22,Simple,0.92,SE
2,163.82,259.45,11.85,2.37,Simple,0.91,SW
3,242.33,375.66,14.46,2.89,Simple,0.9,SE
4,359.6,330.97,7.81,1.56,Simple,0.9,SE
5,267.37,224.44,8.47,1.69,Simple,0.9,SE
6,172.34,188.79,8.66,1.73,Simple,0.9,NW
7,374.81,99.75,14.85,2.97,Simple,0.89,NE
8,72.06,300.31,9.69,1.94,Simple,0.89,SW
9,177.39,48.9,9.24,1.85,Simple,0.89,NW
10,190.23,223.09,12.5,2.5,Simple,0.89,SW
11,240.48,172.37,10.43,2.09,Simple,0.89,NE
12,74.86,355.17,8.58,1.72,Simple,0.88,SW
13,290.43,187.01,6.99,1.4,Simple,0.88,NE
14,376.61,123.87,11.63,2.33,Simple,0.88,NE
15,53.28,274.86,9.97,1.99,Simple,0.88,SW
16,371.33,332.4,6.64,1.33,Simple,0.87,SE
17,43.74,404.51,7.26,1.45,Simple,0.87,SW
18,194.48,327.86,8.96,1.79,Simple,0.87,SW
19,188.58,63.68,10.24,2.05,Simple,0.86,NW
20,323.46,128.4,10.79,2.16,Simple,0.86,NE
21,310.63,33.18,12.75,2.55,Simple,0.86,NE
22,185.48,71.76,9.41,1.88,Simple,0.86,NW
23,148.96,346.95,9.89,1.98,Simple,0.86,SW
24,250.83,138.74,9.8,1.96,Simple,0.86,NE
25,39.23,71.59,10.95,2.19,Simple,0.86,NW
26,310.54,322.47,7.48,1.5,Simple,0.86,SE
27,313.46,390.8,22.87,4.57,Complex,0.86,SE
28,240.9,159.72,8.29,1.66,Simple,0.85,NE
29,369.3,168.49,13.1,2.62,Simple,0.85,NE
30,379.88,381.27,14.89,2.98,Simple,0.85,SE
31,76.12,183.56,9.59,1.92,Simple,0.85,NW
32,117.05,143.82,12.31,2.46,Simple,0.85,NW
33,34.19,80.09,9.45,1.89,Simple,0.84,NW
34,181.67,158.83,13.65,2.73,Simple,0.84,NW
35,321.18,117.16,7.5,1.5,Simple,0.84,NE
36,203.13,379.57,11.4,2.28,Simple,0.84,SW
37,138.92,82.14,10.07,2.01,Simple,0.84,NW
38,194.67,278.13,10.55,2.11,Simple/Overlapping,0.84,SW
39,52.19,409.39,8.08,1.62,Simple,0.84,SW
40,339.1,208.18,10.78,2.16,Simple/Overlapping,0.84,SE
41,58.86,45.43,12.59,2.52,Simple,0.84,NW
42,195.44,199.73,7.11,1.42,Simple,0.84,NW
43,209.45,55.92,10.41,2.08,Simple,0.84,NE
44,183.99,185.16,13.54,2.71,Simple,0.84,NW
