Global_ID,Original_Image,X_Center_Global,Y_Center_Global,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,cda6bae7-a0bc-4f84-a8e3-0a09c0127621.jpg,38.76,612.07,28.58,3.72,Simple,0.94,SW
2,cda6bae7-a0bc-4f84-a8e3-0a09c0127621.jpg,514.08,296.49,31.42,4.08,Complex,0.94,NE
3,cda6bae7-a0bc-4f84-a8e3-0a09c0127621.jpg,458.08,278.17,89.8,11.67,Complex,0.93,NE
4,cda6bae7-a0bc-4f84-a8e3-0a09c0127621.jpg,188.29,54.27,32.6,4.24,Complex,0.93,NW
5,cda6bae7-a0bc-4f84-a8e3-0a09c0127621.jpg,598.47,340.94,28.54,3.71,Simple,0.93,SE
6,cda6bae7-a0bc-4f84-a8e3-0a09c0127621.jpg,160.23,232.59,33.63,4.37,Complex,0.93,NW
7,cda6bae7-a0bc-4f84-a8e3-0a09c0127621.jpg,418.89,450.5,45.4,5.9,Complex,0.93,SE
8,cda6bae7-a0bc-4f84-a8e3-0a09c0127621.jpg,165.84,409.3,27.6,3.59,Simple,0.92,SW
9,cda6bae7-a0bc-4f84-a8e3-0a09c0127621.jpg,31.2,203.96,20.66,2.69,Simple,0.92,NW
10,cda6bae7-a0bc-4f84-a8e3-0a09c0127621.jpg,554.98,224.23,25.29,3.29,Simple,0.92,NE
11,cda6bae7-a0bc-4f84-a8e3-0a09c0127621.jpg,385.29,237.13,21.66,2.82,Simple,0.92,NE
12,cda6bae7-a0bc-4f84-a8e3-0a09c0127621.jpg,493.91,228.22,24.35,3.17,Simple,0.91,NE
13,cda6bae7-a0bc-4f84-a8e3-0a09c0127621.jpg,124.29,487.67,14.42,1.87,Simple,0.9,SW
14,cda6bae7-a0bc-4f84-a8e3-0a09c0127621.jpg,170.68,329.06,22.29,2.9,Simple,0.9,SW
15,cda6bae7-a0bc-4f84-a8e3-0a09c0127621.jpg,588.19,393.46,29.82,3.88,Simple,0.9,SE
16,cda6bae7-a0bc-4f84-a8e3-0a09c0127621.jpg,81.79,387.65,22.92,2.98,Simple,0.9,SW
17,cda6bae7-a0bc-4f84-a8e3-0a09c0127621.jpg,34.78,489.25,19.25,2.5,Simple,0.9,SW
18,cda6bae7-a0bc-4f84-a8e3-0a09c0127621.jpg,58.89,253.78,15.28,1.99,Simple,0.9,NW
