Global_ID,Original_Image,X_Center_Global,Y_Center_Global,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,430.39,507.46,23.26,6.56,Complex,0.82,SE
2,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,41.86,582.65,15.39,4.34,Complex,0.81,SW
3,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,570.29,147.13,19.57,5.52,Complex,0.81,NE
4,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,427.29,78.16,23.33,6.58,Complex,0.8,NE
5,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,244.21,271.26,15.94,4.5,Complex,0.78,NW
6,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,217.98,339.48,11.21,3.16,Simple,0.77,SW
7,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,146.12,455.06,14.81,4.18,Complex,0.76,SW
8,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,238.22,357.68,11.33,3.2,Simple,0.75,SW
9,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,396.33,630.62,13.59,3.83,Simple,0.74,SE
10,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,583.05,570.97,16.3,4.6,Complex,0.73,SE
11,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,6.31,170.78,10.99,3.1,Simple,0.72,NW
12,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,497.3,48.77,23.38,6.6,Complex,0.71,NE
13,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,42.48,447.74,27.56,7.78,Complex,0.71,SW
14,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,243.54,489.33,21.35,6.02,Complex,0.7,SW
15,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,191.2,626.24,11.04,3.11,Simple,0.7,SW
16,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,302.51,562.66,39.34,11.1,Complex/Overlapping,0.7,SW
17,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,238.21,70.53,13.57,3.83,Simple,0.69,NW
18,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,248.76,435.22,14.73,4.16,Complex,0.68,SW
19,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,537.49,507.69,17.0,4.8,Complex,0.68,SE
20,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,110.47,374.85,18.87,5.32,Complex,0.68,SW
21,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,311.61,401.93,10.26,2.9,Simple,0.66,SW
22,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,503.67,378.58,14.77,4.17,Complex,0.66,SE
23,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,238.66,512.35,15.98,4.51,Complex,0.65,SW
24,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,265.11,447.77,11.54,3.26,Simple,0.64,SW
25,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,387.17,309.86,53.94,15.22,Complex,0.64,NE
26,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,608.83,527.91,13.14,3.71,Simple,0.63,SE
27,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,632.77,420.01,9.99,2.82,Simple,0.62,SE
28,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,217.07,153.49,10.56,2.98,Simple,0.62,NW
29,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,279.66,146.8,9.89,2.79,Simple,0.61,NW
30,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,227.66,359.28,9.67,2.73,Simple,0.61,SW
31,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,175.34,619.4,10.96,3.09,Simple,0.61,SW
32,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,308.7,417.85,14.23,4.02,Complex,0.59,SW
33,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,540.74,607.24,9.66,2.73,Simple,0.59,SE
34,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,604.6,603.75,11.13,3.14,Simple,0.59,SE
35,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,89.8,492.78,14.22,4.01,Complex,0.58,SW
36,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,112.38,182.68,13.72,3.87,Simple,0.58,NW
37,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,103.82,228.94,17.79,5.02,Complex,0.57,NW
38,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,26.53,200.62,9.37,2.64,Simple,0.57,NW
39,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,258.06,268.1,14.86,4.19,Complex,0.57,NW
40,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,29.48,474.53,23.29,6.57,Complex,0.57,SW
41,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,467.26,527.21,10.78,3.04,Simple/Overlapping,0.57,SE
42,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,21.9,589.67,12.84,3.62,Simple,0.56,SW
43,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,45.32,358.59,10.37,2.93,Simple,0.56,SW
44,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,532.0,467.79,10.42,2.94,Simple,0.56,SE
45,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,174.04,285.23,20.26,5.72,Complex,0.55,NW
46,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,122.98,269.18,9.48,2.68,Simple,0.53,NW
47,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,491.45,437.9,28.5,8.04,Complex,0.52,SE
48,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,603.64,156.29,15.29,4.32,Complex,0.52,NE
49,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,553.17,399.49,10.83,3.06,Simple,0.51,SE
50,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,623.09,465.32,37.39,10.55,Complex,0.51,SE
51,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,452.37,619.63,9.85,2.78,Simple,0.51,SE
52,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,469.56,513.29,21.66,6.11,Complex/Overlapping,0.51,SE
53,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,93.49,366.13,11.04,3.11,Simple,0.5,SW
54,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,550.02,524.6,14.58,4.11,Complex,0.5,SE
55,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,581.08,597.01,24.74,6.98,Complex,0.5,SE
56,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,442.15,21.49,11.35,3.2,Simple,0.5,NE
57,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,566.95,570.82,10.32,2.91,Simple,0.5,SE
58,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,116.04,209.31,13.03,3.68,Simple,0.5,NW
59,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,16.09,610.5,10.63,3.0,Simple,0.49,SW
60,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,459.48,156.74,83.25,23.49,Complex/Overlapping,0.49,NE
61,af3e19a5-2ebb-48c8-afc2-04253341b5bd.jpg,201.16,411.03,17.59,4.96,Complex,0.49,SW
