ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,39.21,132.09,11.99,2.4,Simple,0.93,NW
2,353.11,237.0,12.85,2.57,Simple,0.92,SE
3,34.17,190.65,10.2,2.04,Simple,0.92,NW
4,335.51,221.9,9.16,1.83,Simple,0.91,SE
5,347.68,103.22,14.61,2.92,Simple,0.91,NE
6,292.37,247.81,12.77,2.55,Simple,0.91,SE
7,174.88,378.57,10.42,2.08,Simple,0.91,SW
8,39.23,17.38,11.73,2.35,Simple,0.91,NW
9,42.85,233.25,12.07,2.41,Simple,0.91,SW
10,167.55,236.81,13.9,2.78,Simple,0.91,SW
11,106.12,265.62,10.47,2.09,Simple,0.91,SW
12,229.34,128.34,9.27,1.85,Simple,0.9,NE
13,145.8,44.94,8.94,1.79,Simple,0.9,NW
14,245.14,154.84,13.79,2.76,Simple,0.9,NE
15,314.58,313.38,9.24,1.85,Simple,0.9,SE
16,252.61,282.81,13.21,2.64,Simple,0.9,SE
17,145.22,199.71,9.2,1.84,Simple,0.9,NW
18,15.4,234.63,44.98,9.0,Degraded,0.89,SW
19,245.95,192.16,12.13,2.43,Simple,0.89,NE
20,43.66,75.54,14.83,2.97,Simple,0.89,NW
21,79.0,149.21,10.47,2.09,Simple,0.89,NW
22,154.92,303.03,10.24,2.05,Simple/Overlapping,0.89,SW
23,144.58,27.11,7.86,1.57,Simple,0.88,NW
24,218.2,295.24,8.17,1.63,Simple,0.88,SE
25,327.43,345.45,9.56,1.91,Simple,0.87,SE
26,230.31,200.82,8.3,1.66,Simple,0.87,NE
27,140.41,302.59,8.92,1.78,Simple,0.87,SW
28,96.9,130.33,9.65,1.93,Simple,0.87,NW
29,387.58,324.33,10.85,2.17,Simple/Overlapping,0.87,SE
30,359.51,305.24,11.17,2.23,Simple,0.87,SE
31,229.98,148.49,14.98,3.0,Simple,0.86,NE
32,398.38,6.1,12.13,2.43,Simple,0.86,NE
33,24.31,41.77,7.84,1.57,Simple,0.86,NW
34,118.15,178.18,15.79,3.16,Simple,0.86,NW
35,371.6,162.62,7.67,1.53,Simple,0.85,NE
36,345.26,199.11,7.33,1.47,Simple,0.85,NE
37,29.11,86.44,7.87,1.57,Simple,0.85,NW
38,176.43,351.58,7.7,1.54,Simple,0.85,SW
39,211.5,52.09,8.3,1.66,Simple,0.84,NE
40,403.66,125.6,8.38,1.68,Simple,0.84,NE
41,316.13,377.04,9.5,1.9,Simple,0.84,SE
42,101.25,225.01,7.53,1.51,Simple,0.83,SW
43,359.58,193.83,8.79,1.76,Simple/Overlapping,0.83,NE
44,269.4,300.16,6.74,1.35,Simple,0.83,SE
45,194.82,254.41,8.0,1.6,Simple,0.82,SW
46,97.51,243.09,8.72,1.74,Simple,0.82,SW
47,196.5,362.82,11.86,2.37,Simple,0.82,SW
48,190.15,367.3,6.99,1.4,Simple,0.82,SW
49,294.87,67.11,8.12,1.62,Simple,0.81,NE
50,190.67,273.38,10.09,2.02,Simple/Overlapping,0.81,SW
51,365.04,327.62,7.4,1.48,Simple,0.81,SE
52,60.65,281.37,7.49,1.5,Simple,0.8,SW
53,373.54,103.1,7.38,1.48,Simple,0.8,NE
54,74.44,116.29,7.61,1.52,Simple,0.79,NW
55,265.3,241.47,7.69,1.54,Simple,0.79,SE
56,353.24,84.42,7.46,1.49,Simple,0.79,NE
57,363.41,185.82,8.58,1.72,Simple,0.78,NE
58,63.34,22.58,7.41,1.48,Simple,0.78,NW
59,30.42,265.6,7.24,1.45,Simple,0.78,SW
60,262.34,56.41,7.41,1.48,Simple,0.78,NE
61,59.37,115.58,6.93,1.39,Simple,0.77,NW
62,125.71,5.66,8.14,1.63,Simple,0.77,NW
63,334.66,376.38,7.29,1.46,Simple,0.76,SE
64,10.36,33.7,7.95,1.59,Simple,0.76,NW
65,336.07,12.45,8.82,1.76,Simple,0.76,NE
66,20.2,363.85,8.39,1.68,Simple,0.75,SW
67,273.17,10.05,9.02,1.8,Simple,0.75,NE
68,30.93,303.5,9.96,1.99,Simple,0.74,SW
69,318.2,74.92,6.78,1.36,Simple,0.74,NE
70,84.82,189.89,7.13,1.43,Simple,0.72,NW
71,100.69,404.76,8.37,1.67,Simple,0.71,SW
72,78.52,194.89,7.47,1.49,Simple,0.71,NW
73,236.25,291.87,6.37,1.27,Simple,0.71,SE
74,52.01,176.1,9.31,1.86,Simple,0.71,NW
75,272.18,48.65,7.58,1.52,Simple,0.7,NE
76,120.74,294.67,6.29,1.26,Simple,0.7,SW
77,171.81,95.79,7.69,1.54,Simple,0.7,NW
