ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,199.77,172.64,8.64,1.73,Simple,0.92,NW
2,227.51,343.12,55.03,11.01,Complex,0.91,SE
3,367.2,349.75,12.56,2.51,Simple,0.91,SE
4,309.38,394.43,9.53,1.91,Simple,0.9,SE
5,211.06,126.72,14.83,2.97,Simple,0.9,NE
6,111.34,406.92,9.16,1.83,Simple,0.9,SW
7,367.39,117.94,16.72,3.34,Simple,0.9,NE
8,73.05,105.31,18.03,3.61,Simple,0.9,NW
9,401.27,360.57,10.4,2.08,Simple,0.9,SE
10,229.69,382.53,8.91,1.78,Simple,0.9,SE
11,265.58,193.36,10.8,2.16,Simple,0.9,NE
12,328.97,325.35,15.33,3.07,Simple/Overlapping,0.9,SE
13,176.54,156.1,20.5,4.1,Complex/Overlapping,0.9,NW
14,281.02,62.12,11.44,2.29,Simple,0.9,NE
15,383.51,383.49,17.0,3.4,Simple,0.9,SE
16,216.09,7.42,21.04,4.21,Degraded,0.89,NE
17,154.12,35.91,20.6,4.12,Complex,0.89,NW
18,258.95,380.4,10.43,2.09,Simple,0.89,SE
19,33.59,155.63,7.66,1.53,Simple,0.88,NW
20,352.09,381.53,6.21,1.24,Simple,0.88,SE
21,253.15,81.58,14.66,2.93,Simple/Overlapping,0.88,NE
22,234.12,174.06,8.14,1.63,Simple,0.88,NE
23,350.29,358.6,10.22,2.04,Simple,0.87,SE
24,265.74,228.75,10.72,2.14,Simple,0.87,SE
25,139.51,48.85,12.78,2.56,Simple,0.87,NW
26,259.05,362.76,12.14,2.43,Simple,0.86,SE
27,187.51,67.12,13.51,2.7,Simple,0.86,NW
28,266.9,150.05,8.54,1.71,Simple,0.85,NE
29,305.89,179.79,8.34,1.67,Simple,0.85,NE
30,250.72,69.33,12.22,2.44,Simple/Overlapping,0.85,NE
31,309.93,7.61,11.5,2.3,Simple,0.85,NE
32,165.87,28.32,9.3,1.86,Simple,0.85,NW
33,254.07,28.49,10.2,2.04,Simple,0.85,NE
34,246.5,306.07,7.92,1.58,Simple,0.84,SE
35,331.47,148.27,11.62,2.32,Simple,0.84,NE
36,274.24,93.0,11.42,2.28,Simple,0.84,NE
37,189.75,233.64,12.58,2.52,Simple/Overlapping,0.84,SW
38,130.36,403.27,8.09,1.62,Simple,0.83,SW
39,381.65,367.17,9.08,1.82,Simple,0.83,SE
40,180.03,128.48,9.07,1.81,Simple,0.82,NW
41,30.89,34.62,13.74,2.75,Simple,0.82,NW
42,372.1,30.24,24.7,4.94,Complex,0.82,NE
43,324.08,334.99,12.91,2.58,Simple/Overlapping,0.81,SE
44,112.76,164.36,26.62,5.32,Complex/Overlapping,0.81,NW
45,354.24,102.94,19.3,3.86,Simple,0.81,NE
46,215.73,39.74,14.93,2.99,Simple,0.8,NE
47,235.2,236.87,10.63,2.13,Simple,0.8,SE
48,310.13,330.2,17.48,3.5,Simple,0.8,SE
49,285.75,329.42,21.02,4.2,Complex/Overlapping,0.8,SE
50,313.51,235.71,18.38,3.68,Simple/Overlapping,0.79,SE
51,209.02,295.77,7.78,1.56,Simple,0.79,SE
52,79.16,135.81,8.94,1.79,Simple,0.79,NW
53,280.17,13.84,12.3,2.46,Simple,0.79,NE
54,16.42,192.17,9.88,1.98,Simple,0.79,NW
55,357.43,242.64,8.41,1.68,Simple,0.78,SE
56,173.42,142.86,14.33,2.87,Simple/Overlapping,0.78,NW
57,343.88,121.6,7.14,1.43,Simple,0.78,NE
58,286.17,138.9,10.2,2.04,Simple/Overlapping,0.78,NE
59,333.63,194.96,11.17,2.23,Simple,0.77,NE
60,401.86,388.13,6.81,1.36,Simple,0.77,SE
61,344.26,213.08,7.33,1.47,Simple,0.77,SE
62,263.64,134.29,10.42,2.08,Simple,0.77,NE
63,314.91,37.69,7.31,1.46,Simple,0.76,NE
64,153.59,278.99,15.23,3.05,Simple,0.76,SW
65,408.65,408.01,12.71,2.54,Simple,0.75,SE
66,358.96,398.22,7.42,1.48,Simple,0.74,SE
67,345.73,405.5,7.27,1.45,Simple,0.74,SE
68,152.85,47.57,7.05,1.41,Simple,0.73,NW
69,202.96,209.97,8.16,1.63,Simple,0.73,SW
70,170.92,129.69,9.17,1.83,Simple,0.72,NW
71,371.25,103.81,11.69,2.34,Simple,0.7,NE
72,84.6,80.96,11.22,2.24,Simple,0.69,NW
73,139.17,361.98,12.41,2.48,Simple,0.69,SW
74,399.81,55.3,7.53,1.51,Simple,0.68,NE
75,400.92,298.41,9.06,1.81,Simple,0.68,SE
76,290.26,174.65,7.15,1.43,Simple,0.68,NE
77,316.95,346.42,16.53,3.31,Simple/Overlapping,0.67,SE
