ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,227.91,41.04,16.47,3.29,Simple,0.92,NE
2,157.6,318.71,8.95,1.79,Simple,0.92,SW
3,347.29,398.52,8.78,1.76,Simple,0.92,SE
4,196.4,63.01,17.33,3.47,Simple,0.92,NW
5,227.26,335.59,8.22,1.64,Simple,0.92,SE
6,276.22,298.22,10.03,2.01,Simple,0.91,SE
7,85.26,105.16,9.33,1.87,Simple,0.91,NW
8,122.25,289.09,8.91,1.78,Simple,0.9,SW
9,258.6,245.62,8.82,1.76,Simple,0.9,SE
10,131.24,78.07,13.21,2.64,Simple,0.9,NW
11,264.02,355.13,7.91,1.58,Simple,0.9,SE
12,256.61,405.17,10.97,2.19,Simple,0.9,SE
13,336.76,237.83,7.6,1.52,Simple,0.89,SE
14,291.04,308.24,8.24,1.65,Simple,0.89,SE
15,235.42,74.72,13.27,2.65,Simple,0.88,NE
16,298.3,180.43,8.03,1.61,Simple,0.88,NE
17,185.29,13.03,12.67,2.53,Simple,0.88,NW
18,123.32,24.2,11.47,2.29,Simple,0.86,NW
19,228.36,62.79,9.38,1.88,Simple,0.86,NE
20,214.89,80.79,11.72,2.34,Simple,0.86,NE
21,185.26,34.22,8.54,1.71,Simple,0.85,NW
22,47.43,267.96,7.25,1.45,Simple,0.84,SW
23,302.12,356.27,7.01,1.4,Simple,0.84,SE
24,236.32,140.7,8.0,1.6,Simple,0.84,NE
25,306.09,324.63,6.6,1.32,Simple,0.84,SE
26,220.12,72.25,7.72,1.54,Simple,0.84,NE
27,14.48,126.07,7.38,1.48,Simple,0.83,NW
28,340.88,115.74,7.42,1.48,Simple,0.83,NE
29,256.54,232.71,7.19,1.44,Simple,0.83,SE
30,233.26,19.58,13.34,2.67,Simple,0.81,NE
31,249.84,134.11,7.89,1.58,Simple,0.81,NE
32,244.2,195.63,7.79,1.56,Simple,0.8,NE
33,303.83,289.41,6.33,1.27,Simple,0.79,SE
34,45.29,199.17,6.93,1.39,Simple,0.77,NW
35,110.28,268.85,6.06,1.21,Simple,0.72,SW
36,77.77,44.5,7.17,1.43,Simple,0.72,NW
37,168.08,174.14,6.29,1.26,Simple,0.69,NW
38,229.27,143.16,6.16,1.23,Simple,0.68,NE
39,243.23,60.68,7.75,1.55,Simple,0.66,NE
40,17.26,34.51,9.14,1.83,Simple,0.66,NW
41,296.02,342.98,6.48,1.3,Simple,0.66,SE
42,173.77,15.41,8.75,1.75,Simple,0.65,NW
43,17.97,400.22,6.38,1.28,Simple,0.65,SW
44,159.43,8.08,7.65,1.53,Simple,0.64,NW
45,141.54,136.37,6.22,1.24,Simple,0.64,NW
46,314.08,363.54,6.27,1.25,Simple,0.63,SE
47,332.15,349.71,6.13,1.23,Simple,0.63,SE
48,104.45,235.8,6.49,1.3,Simple,0.62,SW
49,58.43,24.16,9.0,1.8,Simple,0.6,NW
50,17.08,173.82,5.54,1.11,Simple,0.6,NW
51,263.1,258.1,5.96,1.19,Simple,0.59,SE
52,247.44,246.99,5.98,1.2,Simple,0.58,SE
53,145.93,55.62,9.8,1.96,Simple,0.56,NW
54,281.53,313.39,6.22,1.24,Simple,0.56,SE
55,21.66,40.64,5.84,1.17,Simple,0.53,NW
56,281.67,287.36,6.02,1.2,Simple,0.52,SE
57,395.48,149.06,5.99,1.2,Simple,0.52,NE
58,120.05,227.63,5.84,1.17,Simple,0.5,SW
59,400.28,208.14,5.94,1.19,Simple,0.5,SE
60,349.63,164.49,5.26,1.05,Simple,0.49,NE
61,276.13,284.08,5.97,1.19,Simple,0.48,SE
62,271.33,98.1,5.82,1.16,Simple,0.46,NE
63,156.8,86.03,6.93,1.39,Simple,0.45,NW
64,399.69,231.72,5.91,1.18,Simple,0.44,SE
65,195.95,36.55,6.73,1.35,Simple,0.44,NW
66,263.82,89.77,8.1,1.62,Simple,0.43,NE
67,381.7,157.55,5.65,1.13,Simple,0.4,NE
68,341.42,124.44,7.15,1.43,Simple,0.4,NE
69,202.84,52.29,6.92,1.38,Simple,0.38,NW
70,234.57,210.66,5.61,1.12,Simple,0.37,SE
71,402.01,137.31,8.6,1.72,Simple,0.37,NE
72,400.51,47.16,5.89,1.18,Simple,0.36,NE
73,277.2,72.91,5.95,1.19,Simple,0.34,NE
74,383.48,286.84,5.1,1.02,Simple,0.34,SE
75,367.92,310.94,5.43,1.09,Simple,0.3,SE
76,203.82,21.85,8.13,1.63,Simple,0.3,NW
77,255.17,154.22,5.34,1.07,Simple,0.3,NE
78,85.87,234.21,5.75,1.15,Simple,0.28,SW
79,271.82,273.54,5.29,1.06,Simple,0.28,SE
80,304.08,67.87,6.77,1.35,Simple,0.28,NE
81,88.96,355.9,4.87,0.97,Simple,0.28,SW
82,285.44,174.39,5.59,1.12,Simple,0.27,NE
83,214.97,60.26,7.86,1.57,Simple,0.27,NE
84,153.48,142.33,5.63,1.13,Simple,0.26,NW
85,247.86,142.89,5.09,1.02,Simple,0.26,NE
86,192.93,386.48,5.43,1.09,Simple,0.26,SW
87,112.5,409.91,5.75,1.15,Simple,0.25,SW
88,135.95,215.88,5.16,1.03,Simple,0.25,SW
89,236.46,240.36,5.39,1.08,Simple,0.25,SE
90,298.99,336.83,5.4,1.08,Simple,0.25,SE
