ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,113.5,374.48,17.84,3.57,Simple/Overlapping,0.95,SW
2,242.55,257.22,20.61,4.12,Complex,0.95,SE
3,236.72,86.08,9.37,1.87,Simple,0.93,NE
4,285.74,280.87,26.31,5.26,Complex,0.92,SE
5,125.99,100.55,11.57,2.31,Simple,0.91,NW
6,187.52,15.84,15.53,3.11,Simple,0.9,NW
7,183.85,67.38,9.72,1.94,Simple,0.89,NW
8,301.79,402.6,10.31,2.06,Simple,0.89,SE
9,125.79,366.8,12.56,2.51,Simple,0.89,SW
10,155.17,120.14,9.16,1.83,Simple,0.88,NW
11,261.59,76.56,20.21,4.04,Complex,0.88,NE
12,207.09,29.31,11.39,2.28,Simple,0.88,NW
13,124.39,298.4,11.4,2.28,Simple,0.87,SW
14,155.89,240.22,30.16,6.03,Complex,0.86,SW
15,311.36,39.28,8.82,1.76,Simple,0.86,NE
16,128.76,171.9,8.81,1.76,Simple,0.85,NW
17,232.89,211.22,10.49,2.1,Simple,0.85,SE
18,308.82,315.61,9.49,1.9,Simple,0.85,SE
19,97.92,251.59,12.94,2.59,Simple,0.84,SW
20,104.8,287.54,9.35,1.87,Simple,0.83,SW
21,161.4,327.33,13.8,2.76,Simple,0.83,SW
22,96.8,268.21,13.19,2.64,Simple,0.83,SW
23,93.93,319.4,6.65,1.33,Simple,0.83,SW
24,311.41,57.1,8.25,1.65,Simple,0.83,NE
25,285.09,397.17,8.66,1.73,Simple,0.82,SE
26,110.37,390.28,30.9,6.18,Complex/Overlapping,0.82,SW
27,294.53,109.44,11.19,2.24,Simple,0.81,NE
28,310.85,86.32,33.25,6.65,Complex/Overlapping,0.81,NE
29,249.06,220.2,26.41,5.28,Complex,0.81,SE
30,134.89,352.79,24.98,5.0,Complex,0.79,SW
31,109.65,245.14,10.5,2.1,Simple,0.79,SW
32,323.69,363.99,6.7,1.34,Simple,0.78,SE
33,219.46,202.46,5.84,1.17,Simple,0.76,NE
34,120.18,282.88,15.56,3.11,Simple,0.76,SW
35,157.89,59.3,7.19,1.44,Simple,0.75,NW
36,228.52,271.24,6.54,1.31,Simple,0.75,SE
37,249.21,409.27,23.13,4.63,Degraded,0.75,SE
38,282.48,55.74,7.31,1.46,Simple,0.73,NE
39,140.41,337.27,10.79,2.16,Simple,0.71,SW
40,304.46,342.37,14.5,2.9,Simple,0.71,SE
41,232.82,131.75,23.88,4.78,Complex,0.7,NE
42,249.18,93.77,6.9,1.38,Simple,0.7,NE
43,179.28,342.98,7.7,1.54,Simple,0.69,SW
44,154.31,7.69,14.03,2.81,Simple,0.66,NW
45,271.24,229.2,6.83,1.37,Simple,0.64,SE
46,222.95,344.44,6.66,1.33,Simple,0.61,SE
47,194.76,72.59,6.91,1.38,Simple,0.61,NW
48,200.79,295.11,99.98,20.0,Complex,0.59,SW
49,249.34,27.3,26.0,5.2,Complex,0.57,NE
50,309.65,50.11,61.33,12.27,Complex/Overlapping,0.57,NE
51,114.02,271.72,8.95,1.79,Simple,0.56,SW
52,275.88,404.71,6.25,1.25,Simple,0.55,SE
53,194.12,198.03,6.01,1.2,Simple,0.54,NW
54,110.09,347.98,6.61,1.32,Simple,0.53,SW
55,164.18,83.28,138.19,27.64,Complex,0.51,NW
56,326.58,53.23,8.95,1.79,Simple,0.51,NE
57,315.49,45.93,29.68,5.94,Complex/Overlapping,0.5,NE
58,281.24,321.13,7.79,1.56,Simple,0.49,SE
59,169.88,55.0,6.05,1.21,Simple,0.46,NW
60,135.78,265.99,13.03,2.61,Simple,0.45,SW
61,168.46,109.03,5.99,1.2,Simple,0.42,NW
62,92.8,327.43,12.52,2.5,Simple,0.39,SW
63,113.96,138.16,25.29,5.06,Complex,0.37,NW
64,184.34,305.47,5.52,1.1,Simple,0.37,SW
65,228.69,190.4,56.62,11.32,Complex,0.36,NE
66,91.33,304.35,8.96,1.79,Simple,0.36,SW
67,247.92,123.61,12.98,2.6,Simple,0.35,NE
68,279.13,212.77,8.01,1.6,Simple,0.35,SE
69,91.19,168.53,7.02,1.4,Simple,0.34,NW
70,296.89,62.79,7.93,1.59,Simple,0.33,NE
71,297.39,157.38,21.96,4.39,Complex,0.32,NE
72,276.55,375.82,99.32,19.86,Complex,0.31,SE
73,247.59,94.92,35.98,7.2,Complex,0.31,NE
74,249.83,13.3,5.41,1.08,Simple,0.3,NE
75,138.44,240.08,5.8,1.16,Simple,0.3,SW
76,291.65,224.65,4.97,0.99,Simple,0.29,SE
77,158.32,47.3,6.31,1.26,Simple,0.29,NW
78,321.88,358.24,5.91,1.18,Simple,0.26,SE
79,322.69,26.96,17.5,3.5,Simple,0.25,NE
