ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,189.07,334.25,9.53,1.91,Simple,0.92,SW
2,128.97,74.39,8.64,1.73,Simple,0.91,NW
3,111.58,99.3,11.64,2.33,Simple,0.91,NW
4,168.51,95.37,8.73,1.75,Simple,0.91,NW
5,209.3,80.55,8.08,1.62,Simple,0.91,NE
6,127.47,134.02,12.14,2.43,Simple,0.9,NW
7,272.11,47.32,8.95,1.79,Simple,0.9,NE
8,176.8,135.06,10.62,2.12,Simple,0.9,NW
9,247.13,11.14,10.81,2.16,Simple,0.9,NE
10,107.59,80.46,6.99,1.4,Simple,0.9,NW
11,211.37,315.05,6.66,1.33,Simple,0.9,SE
12,193.46,36.72,11.74,2.35,Simple,0.9,NW
13,309.53,364.14,8.66,1.73,Simple,0.9,SE
14,274.83,283.48,7.49,1.5,Simple,0.89,SE
15,204.79,18.8,7.68,1.54,Simple,0.89,NW
16,205.41,54.61,8.03,1.61,Simple,0.89,NW
17,183.56,356.04,8.7,1.74,Simple,0.89,SW
18,140.39,228.01,8.07,1.61,Simple,0.89,SW
19,196.69,23.2,7.91,1.58,Simple,0.89,NW
20,322.42,246.05,7.84,1.57,Simple,0.89,SE
21,172.63,87.14,9.94,1.99,Simple,0.88,NW
22,171.74,124.87,10.92,2.18,Simple,0.88,NW
23,273.48,122.42,7.75,1.55,Simple,0.88,NE
24,284.83,29.68,10.34,2.07,Simple,0.88,NE
25,267.23,166.39,7.76,1.55,Simple,0.87,NE
26,172.29,102.09,8.23,1.65,Simple,0.87,NW
27,277.27,320.0,6.83,1.37,Simple,0.87,SE
28,160.06,119.24,11.65,2.33,Simple,0.87,NW
29,194.21,101.77,8.15,1.63,Simple,0.86,NW
30,202.76,174.46,26.54,5.31,Complex,0.86,NW
31,274.9,238.5,9.29,1.86,Simple,0.86,SE
32,197.03,301.56,9.55,1.91,Simple,0.86,SW
33,187.09,233.14,7.1,1.42,Simple,0.86,SW
34,125.29,266.91,6.8,1.36,Simple,0.86,SW
35,293.77,66.07,9.63,1.93,Simple,0.85,NE
36,237.06,273.7,6.09,1.22,Simple,0.85,SE
37,266.79,341.84,6.11,1.22,Simple,0.85,SE
38,115.5,281.04,9.94,1.99,Simple/Overlapping,0.85,SW
39,276.6,357.69,10.83,2.17,Simple,0.84,SE
40,181.56,165.4,26.37,5.27,Complex/Overlapping,0.84,NW
41,290.63,272.92,7.27,1.45,Simple,0.83,SE
42,156.42,156.81,14.63,2.93,Simple/Overlapping,0.83,NW
43,268.71,73.21,10.5,2.1,Simple,0.82,NE
44,143.59,397.24,6.35,1.27,Simple,0.82,SW
