ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,278.06,85.61,30.82,6.16,Complex,0.95,NE
2,85.59,27.75,26.67,5.33,Complex,0.92,NW
3,152.34,204.36,13.35,2.67,Simple,0.89,NW
4,322.01,92.26,7.93,1.59,Simple,0.89,NE
5,249.21,148.61,21.02,4.2,Complex,0.88,NE
6,329.23,114.61,9.15,1.83,Simple,0.88,NE
7,302.22,214.88,38.58,7.72,Complex,0.87,SE
8,261.82,381.19,7.4,1.48,Simple,0.85,SE
9,198.58,118.05,11.6,2.32,Simple,0.85,NW
10,62.23,48.25,14.42,2.88,Simple,0.85,NW
11,68.62,70.45,7.91,1.58,Simple,0.85,NW
12,192.48,9.92,37.96,7.59,Degraded/Overlapping,0.85,NW
13,348.64,325.82,9.51,1.9,Simple,0.85,SE
14,154.75,6.96,7.81,1.56,Simple,0.85,NW
15,276.95,367.23,6.78,1.36,Simple,0.83,SE
16,355.67,264.43,6.74,1.35,Simple,0.83,SE
17,248.57,249.45,10.92,2.18,Simple,0.83,SE
18,69.28,406.53,10.28,2.06,Simple,0.83,SW
19,113.81,385.52,7.66,1.53,Simple,0.83,SW
20,351.93,258.4,6.52,1.3,Simple,0.82,SE
21,195.4,5.28,10.11,2.02,Simple/Overlapping,0.81,NW
22,151.73,82.67,6.64,1.33,Simple,0.8,NW
23,250.1,171.61,9.96,1.99,Simple,0.8,NE
24,101.05,299.74,7.5,1.5,Simple,0.79,SW
25,344.25,399.14,7.44,1.49,Simple,0.79,SE
26,103.45,290.01,8.05,1.61,Simple,0.78,SW
27,360.31,6.2,7.72,1.54,Simple,0.77,NE
28,292.73,361.93,7.04,1.41,Simple,0.77,SE
29,128.84,89.28,7.73,1.55,Simple,0.76,NW
30,80.69,316.61,5.96,1.19,Simple,0.76,SW
31,173.75,339.52,6.75,1.35,Simple,0.76,SW
32,323.13,228.27,8.01,1.6,Simple,0.74,SE
33,85.39,175.18,6.61,1.32,Simple,0.74,NW
34,345.05,10.91,7.06,1.41,Simple,0.73,NE
35,274.16,400.32,6.48,1.3,Simple,0.73,SE
36,185.08,313.0,6.35,1.27,Simple,0.71,SW
37,77.41,45.85,7.09,1.42,Simple,0.67,NW
38,182.01,210.87,6.27,1.25,Simple,0.65,SW
39,195.63,203.55,13.63,2.73,Simple,0.64,NW
40,343.68,195.88,11.28,2.26,Simple,0.63,NE
41,215.87,4.79,8.65,1.73,Simple,0.62,NE
42,72.53,112.79,6.27,1.25,Simple,0.61,NW
43,284.43,252.0,31.09,6.22,Complex,0.61,SE
44,199.62,9.11,22.12,4.42,Complex/Overlapping,0.6,NW
45,349.12,21.81,5.17,1.03,Simple,0.6,NE
46,307.97,114.28,7.38,1.48,Simple,0.6,NE
47,121.76,110.37,37.78,7.56,Complex,0.59,NW
48,175.7,200.67,5.55,1.11,Simple,0.59,NW
49,159.06,238.08,29.48,5.9,Complex,0.58,SW
50,320.77,21.55,6.04,1.21,Simple,0.57,NE
51,122.29,303.15,6.58,1.32,Simple,0.57,SW
52,166.77,3.63,7.34,1.47,Simple,0.57,NW
53,80.74,184.35,6.23,1.25,Simple,0.57,NW
54,203.0,274.9,12.26,2.45,Simple,0.56,SW
55,220.65,410.24,7.25,1.45,Simple,0.54,SE
56,253.12,318.94,6.46,1.29,Simple,0.53,SE
57,122.37,13.59,8.59,1.72,Simple,0.52,NW
58,63.54,383.33,5.45,1.09,Simple,0.52,SW
59,169.45,193.51,5.46,1.09,Simple,0.51,NW
60,235.53,50.55,36.45,7.29,Complex/Overlapping,0.49,NE
61,283.94,397.14,5.03,1.01,Simple,0.49,SE
62,348.17,51.6,7.34,1.47,Simple,0.49,NE
63,62.2,90.58,5.76,1.15,Simple,0.48,NW
64,207.11,251.46,5.93,1.19,Simple,0.48,SW
65,150.87,156.14,7.0,1.4,Simple,0.46,NW
66,102.81,171.49,6.45,1.29,Simple,0.44,NW
67,187.89,324.2,5.23,1.05,Simple,0.44,SW
68,81.99,84.42,17.51,3.5,Simple,0.44,NW
69,220.95,11.84,5.95,1.19,Simple,0.44,NE
70,282.18,145.26,36.61,7.32,Complex,0.43,NE
71,280.7,306.3,6.24,1.25,Simple,0.43,SE
72,105.43,138.63,5.88,1.18,Simple,0.43,NW
73,284.19,141.52,5.28,1.06,Simple,0.42,NE
74,102.87,160.36,21.68,4.34,Complex,0.41,NW
75,175.45,170.26,6.59,1.32,Simple,0.41,NW
76,355.05,251.04,5.44,1.09,Simple,0.4,SE
77,134.67,133.38,14.84,2.97,Simple,0.39,NW
78,305.52,291.64,30.36,6.07,Complex,0.37,SE
79,264.45,100.75,5.52,1.1,Simple,0.36,NE
80,245.28,71.07,5.13,1.03,Simple,0.35,NE
81,229.3,113.3,5.12,1.02,Simple,0.35,NE
82,138.19,193.23,6.03,1.21,Simple,0.35,NW
83,223.36,352.17,29.13,5.83,Complex,0.35,SE
84,264.52,134.01,5.14,1.03,Simple,0.33,NE
85,189.09,259.38,12.86,2.57,Simple,0.33,SW
86,290.18,274.77,6.11,1.22,Simple,0.33,SE
87,53.38,43.2,9.28,1.86,Simple,0.32,NW
88,268.07,238.38,13.05,2.61,Simple,0.32,SE
89,202.28,366.73,6.1,1.22,Simple,0.32,SW
90,118.45,139.68,9.36,1.87,Simple,0.31,NW
91,80.7,4.43,9.88,1.98,Simple,0.31,NW
92,194.56,400.83,5.56,1.11,Simple,0.31,SW
93,138.92,2.97,6.44,1.29,Simple,0.3,NW
94,118.34,35.72,6.46,1.29,Simple,0.3,NW
95,191.48,352.66,5.07,1.01,Simple,0.3,SW
96,279.01,2.08,8.08,1.62,Degraded,0.29,NE
97,321.51,409.53,22.66,4.53,Degraded,0.28,SE
98,163.1,187.51,5.56,1.11,Simple,0.27,NW
99,93.46,110.0,5.59,1.12,Simple,0.27,NW
100,83.85,106.92,5.03,1.01,Simple,0.27,NW
101,62.04,258.28,5.39,1.08,Simple,0.26,SW
102,128.97,299.89,5.42,1.08,Simple,0.26,SW
103,360.43,75.62,5.07,1.01,Simple,0.26,NE
104,244.57,37.95,58.23,11.65,Complex/Overlapping,0.25,NE
105,153.73,176.87,6.78,1.36,Simple,0.25,NW
106,196.24,375.87,5.07,1.01,Simple,0.25,SW
107,305.97,105.57,6.63,1.33,Simple,0.25,NE
