ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,60.96,292.31,7.43,1.49,Simple,0.9,SW
2,214.99,156.79,19.68,3.94,Simple,0.89,NE
3,340.81,317.02,9.26,1.85,Simple,0.89,SE
4,169.48,68.77,8.49,1.7,Simple,0.88,NW
5,224.27,16.49,8.03,1.61,Simple,0.87,NE
6,155.85,230.97,8.17,1.63,Simple,0.86,SW
7,352.25,332.16,8.48,1.7,Simple,0.85,SE
8,138.22,75.4,12.55,2.51,Simple,0.85,NW
9,108.99,120.32,10.92,2.18,Simple,0.84,NW
10,349.61,63.81,10.12,2.02,Simple,0.84,NE
11,330.36,155.08,11.56,2.31,Simple,0.82,NE
12,121.03,225.42,11.01,2.2,Simple,0.81,SW
13,37.58,76.47,6.79,1.36,Simple,0.81,NW
14,230.55,205.25,16.55,3.31,Simple,0.79,NE
15,316.2,77.24,6.34,1.27,Simple,0.79,NE
16,375.15,400.49,9.72,1.94,Simple,0.79,SE
17,181.83,83.43,7.56,1.51,Simple,0.73,NW
18,317.75,50.88,6.14,1.23,Simple,0.73,NE
19,336.13,296.51,7.46,1.49,Simple,0.73,SE
20,65.57,221.59,7.5,1.5,Simple,0.71,SW
21,287.37,143.69,10.67,2.13,Simple,0.71,NE
22,137.41,210.4,7.33,1.47,Simple,0.69,SW
23,36.3,91.31,9.58,1.92,Simple,0.69,NW
24,226.73,172.31,22.8,4.56,Complex,0.69,NE
25,42.14,14.66,8.27,1.65,Simple,0.68,NW
26,235.3,24.82,6.44,1.29,Simple,0.64,NE
27,136.68,61.47,7.44,1.49,Simple,0.64,NW
28,128.74,84.44,13.21,2.64,Simple,0.63,NW
29,138.6,267.66,5.81,1.16,Simple,0.63,SW
30,159.53,407.66,7.01,1.4,Simple,0.62,SW
31,348.34,71.85,7.66,1.53,Simple,0.62,NE
32,365.62,72.33,5.44,1.09,Simple,0.62,NE
33,165.78,260.88,6.28,1.26,Simple,0.61,SW
34,388.28,58.83,5.46,1.09,Simple,0.58,NE
35,70.12,150.56,5.63,1.13,Simple,0.57,NW
36,368.42,87.43,6.75,1.35,Simple,0.55,NE
37,333.22,332.29,6.91,1.38,Simple,0.55,SE
38,174.93,180.43,7.72,1.54,Simple,0.54,NW
39,356.96,297.82,7.33,1.47,Simple,0.54,SE
40,129.8,217.53,12.25,2.45,Simple,0.53,SW
41,230.39,303.97,8.46,1.69,Simple,0.52,SE
42,88.21,261.7,8.56,1.71,Simple,0.5,SW
43,208.14,185.68,23.5,4.7,Complex,0.5,NE
44,69.43,99.99,6.58,1.32,Simple,0.48,NW
45,87.14,401.54,5.39,1.08,Simple,0.47,SW
46,27.61,23.94,5.52,1.1,Simple,0.45,NW
47,214.77,226.43,6.57,1.31,Simple,0.44,SE
48,167.79,174.49,7.0,1.4,Simple,0.42,NW
49,192.38,228.19,6.19,1.24,Simple,0.42,SW
50,270.87,235.59,6.74,1.35,Simple,0.41,SE
51,89.69,345.26,11.51,2.3,Simple,0.4,SW
52,271.67,274.9,11.29,2.26,Simple,0.4,SE
53,352.03,3.02,8.62,1.72,Degraded,0.4,NE
54,32.57,366.23,19.39,3.88,Simple,0.39,SW
55,292.05,272.59,8.02,1.6,Simple,0.38,SE
56,263.17,109.64,6.5,1.3,Simple,0.37,NE
57,32.66,266.01,20.4,4.08,Complex,0.35,SW
58,383.5,17.63,6.28,1.26,Simple,0.34,NE
59,376.97,260.59,6.21,1.24,Simple,0.33,SE
60,43.12,281.52,5.37,1.07,Simple,0.33,SW
61,51.82,188.34,5.92,1.18,Simple,0.32,NW
62,365.24,81.3,5.04,1.01,Simple,0.31,NE
63,380.18,345.7,6.87,1.37,Simple,0.31,SE
64,260.34,231.86,7.22,1.44,Simple,0.29,SE
65,140.03,232.03,8.88,1.78,Simple,0.28,SW
66,266.99,171.95,16.83,3.37,Simple,0.27,NE
67,300.22,25.14,5.9,1.18,Simple,0.27,NE
68,71.17,378.29,33.05,6.61,Complex,0.27,SW
69,70.37,354.23,5.19,1.04,Simple,0.26,SW
