ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,261.83,33.04,25.91,5.18,Complex,0.93,NE
2,147.73,60.16,30.68,6.14,Complex,0.93,NW
3,202.32,26.94,35.87,7.17,Complex,0.92,NW
4,370.14,228.47,31.2,6.24,Complex,0.92,SE
5,275.8,141.46,9.66,1.93,Simple,0.91,NE
6,162.21,115.08,10.53,2.11,Simple,0.91,NW
7,141.48,193.08,20.18,4.04,Complex,0.91,NW
8,346.48,289.16,9.67,1.93,Simple,0.9,SE
9,199.08,68.82,10.97,2.19,Simple,0.9,NW
10,190.22,331.65,19.26,3.85,Simple,0.89,SW
11,35.09,61.99,10.24,2.05,Simple,0.89,NW
12,340.99,309.39,9.1,1.82,Simple,0.88,SE
13,365.57,256.06,28.98,5.8,Complex,0.88,SE
14,297.97,386.52,19.14,3.83,Simple/Overlapping,0.88,SE
15,44.44,9.17,10.08,2.02,Simple,0.87,NW
16,250.9,280.97,8.3,1.66,Simple,0.86,SE
17,387.22,92.84,12.53,2.51,Simple,0.85,NE
18,158.97,282.66,6.58,1.32,Simple,0.82,SW
19,254.68,71.33,8.07,1.61,Simple,0.81,NE
20,370.09,346.65,7.47,1.49,Simple,0.8,SE
21,86.21,29.43,7.8,1.56,Simple,0.8,NW
22,140.01,25.33,48.55,9.71,Complex,0.79,NW
23,389.76,357.71,16.14,3.23,Simple,0.75,SE
24,299.25,374.26,15.99,3.2,Simple/Overlapping,0.73,SE
25,200.51,130.42,8.26,1.65,Simple,0.72,NW
26,256.82,379.02,9.14,1.83,Simple,0.72,SE
27,280.77,408.13,18.35,3.67,Simple,0.72,SE
28,172.2,40.62,9.37,1.87,Simple,0.7,NW
29,209.86,194.78,11.34,2.27,Simple,0.69,NE
30,281.72,275.03,8.4,1.68,Simple,0.69,SE
31,194.72,274.17,15.79,3.16,Simple,0.69,SW
32,335.5,278.8,8.76,1.75,Simple,0.68,SE
33,133.6,290.68,6.43,1.29,Simple,0.67,SW
34,290.31,26.18,8.49,1.7,Simple,0.64,NE
35,262.7,271.04,8.91,1.78,Simple,0.64,SE
36,281.64,26.02,8.61,1.72,Simple,0.64,NE
37,256.89,358.07,8.76,1.75,Simple,0.62,SE
38,102.7,138.88,38.48,7.7,Complex/Overlapping,0.61,NW
39,129.49,92.42,7.59,1.52,Simple,0.61,NW
40,224.54,217.17,6.93,1.39,Simple,0.61,SE
41,20.49,231.51,12.43,2.49,Simple,0.59,SW
42,344.29,335.63,17.14,3.43,Simple/Overlapping,0.58,SE
43,292.07,289.18,8.14,1.63,Simple,0.58,SE
44,118.83,345.72,8.13,1.63,Simple,0.53,SW
45,252.68,89.16,7.05,1.41,Simple,0.53,NE
46,40.93,139.36,7.68,1.54,Simple,0.51,NW
47,57.25,208.82,10.63,2.13,Simple,0.5,SW
48,394.79,376.88,8.32,1.66,Simple,0.47,SE
49,338.21,332.09,27.75,5.55,Complex/Overlapping,0.47,SE
50,101.16,144.31,30.37,6.07,Complex/Overlapping,0.46,NW
51,106.16,94.13,25.53,5.11,Complex,0.45,NW
52,297.93,165.45,9.11,1.82,Simple,0.45,NE
53,99.19,46.32,30.06,6.01,Complex,0.43,NW
54,181.58,63.99,10.82,2.16,Simple,0.42,NW
55,301.99,121.15,23.61,4.72,Complex,0.4,NE
56,162.15,101.66,47.97,9.59,Complex,0.39,NW
57,390.39,149.81,7.12,1.42,Simple,0.35,NE
58,322.52,11.67,6.74,1.35,Simple,0.34,NE
59,340.57,334.65,22.17,4.43,Complex/Overlapping,0.33,SE
60,245.23,52.99,6.72,1.34,Simple,0.33,NE
61,136.92,349.8,11.52,2.3,Simple,0.32,SW
62,265.34,171.88,9.97,1.99,Simple,0.32,NE
63,375.26,332.26,5.24,1.05,Simple,0.29,SE
64,132.78,376.46,10.31,2.06,Simple,0.29,SW
65,327.91,259.1,28.5,5.7,Complex,0.28,SE
66,291.85,296.75,10.35,2.07,Simple,0.28,SE
67,328.89,250.05,5.78,1.16,Simple,0.27,SE
68,216.55,404.05,23.59,4.72,Complex,0.26,SE
69,30.08,217.27,31.01,6.2,Complex,0.26,SW
