ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,128.9,70.89,23.95,4.79,Complex,0.86,NW
2,241.26,54.55,22.84,4.57,Complex,0.86,NW
3,167.42,396.07,16.74,3.35,Simple,0.84,NW
4,888.17,244.36,24.78,4.96,Complex,0.84,NE
5,849.67,230.71,21.42,4.28,Complex,0.82,NE
6,778.03,194.17,22.01,4.4,Complex,0.82,NE
7,609.88,279.94,74.17,14.83,Complex,0.82,NE
8,598.77,349.16,41.72,8.34,Complex,0.81,NE
9,796.87,272.87,48.25,9.65,Complex,0.8,NE
10,26.29,601.88,63.81,12.76,Complex,0.79,SW
11,26.96,496.18,17.89,3.58,Simple,0.79,SW
12,15.31,649.05,38.37,7.67,Complex,0.78,SW
13,909.06,257.18,27.26,5.45,Complex,0.78,NE
14,800.96,460.24,23.57,4.71,Complex,0.77,SE
15,202.32,627.37,25.02,5.0,Complex,0.77,SW
16,827.16,215.17,25.44,5.09,Complex,0.76,NE
17,334.45,122.37,24.96,4.99,Complex,0.76,NW
18,748.26,19.62,26.02,5.2,Complex,0.76,NE
19,425.86,91.28,26.11,5.22,Complex,0.73,NW
20,498.13,110.07,29.1,5.82,Complex,0.73,NE
21,177.31,790.1,41.07,8.21,Complex,0.73,SW
22,280.01,62.58,18.49,3.7,Simple,0.71,NW
23,24.65,136.26,19.5,3.9,Simple,0.71,NW
24,6.55,720.92,23.11,4.62,Degraded,0.7,SW
25,357.64,315.2,20.1,4.02,Complex,0.7,NW
26,385.13,81.25,58.21,11.64,Complex,0.69,NW
27,283.25,666.46,14.05,2.81,Simple,0.69,SW
28,797.77,8.77,15.59,3.12,Simple,0.68,NE
29,316.48,28.98,35.75,7.15,Complex/Overlapping,0.68,NW
30,724.49,108.63,17.87,3.57,Simple,0.67,NE
31,891.42,432.55,17.15,3.43,Simple,0.66,SE
32,7.74,128.57,32.33,6.47,Degraded,0.65,NW
33,868.99,235.79,18.97,3.79,Simple,0.64,NE
34,316.54,767.62,33.47,6.69,Complex,0.64,SW
35,785.8,244.8,16.26,3.25,Simple,0.63,NE
36,269.41,182.33,18.25,3.65,Simple,0.63,NW
37,308.67,110.86,23.55,4.71,Complex,0.62,NW
38,38.68,571.3,18.2,3.64,Simple,0.6,SW
39,873.24,197.17,32.11,6.42,Complex,0.6,NE
40,60.7,180.43,20.94,4.19,Complex,0.6,NW
41,87.74,404.39,24.89,4.98,Complex,0.58,NW
42,548.23,125.25,15.41,3.08,Simple,0.56,NE
43,786.44,677.67,23.79,4.76,Complex,0.55,SE
44,745.5,678.93,28.22,5.64,Complex,0.55,SE
45,805.97,163.38,16.34,3.27,Simple,0.55,NE
46,222.43,49.52,16.27,3.25,Simple,0.54,NW
47,113.39,170.67,15.36,3.07,Simple,0.53,NW
48,156.23,90.0,14.76,2.95,Simple,0.53,NW
49,393.32,814.25,23.62,4.72,Complex,0.53,SW
50,554.55,101.14,31.06,6.21,Complex,0.53,NE
51,100.83,366.46,42.55,8.51,Complex,0.52,NW
52,908.69,386.31,30.33,6.07,Complex,0.51,NE
53,133.04,294.0,40.42,8.08,Complex,0.51,NW
54,246.82,467.22,14.53,2.91,Simple,0.5,SW
55,766.84,134.49,20.65,4.13,Complex,0.5,NE
56,825.25,60.34,22.69,4.54,Complex,0.5,NE
57,844.29,5.02,14.95,2.99,Degraded,0.48,NE
58,712.85,758.68,21.01,4.2,Complex,0.48,SE
59,770.13,617.74,21.2,4.24,Complex,0.47,SE
60,201.3,594.08,13.75,2.75,Simple,0.47,SW
61,528.05,746.42,23.7,4.74,Complex,0.46,SE
62,170.6,16.76,24.48,4.9,Complex,0.46,NW
63,787.2,132.05,15.86,3.17,Simple,0.46,NE
64,913.52,86.15,16.07,3.21,Simple,0.45,NE
65,66.97,781.63,39.3,7.86,Complex,0.43,SW
66,238.63,81.36,13.87,2.77,Simple,0.42,NW
67,130.75,823.3,28.58,5.72,Complex,0.41,SW
68,736.7,88.69,28.61,5.72,Complex,0.41,NE
69,258.06,518.24,13.46,2.69,Simple,0.41,SW
70,373.25,691.24,14.4,2.88,Simple,0.41,SW
71,781.61,27.1,34.82,6.96,Complex,0.4,NE
72,910.63,32.1,19.29,3.86,Simple,0.4,NE
73,483.44,820.59,19.57,3.91,Simple,0.39,SE
74,159.91,270.8,36.04,7.21,Complex,0.39,NW
75,645.13,171.83,20.56,4.11,Complex/Overlapping,0.38,NE
76,400.5,113.61,22.34,4.47,Complex/Overlapping,0.37,NW
77,551.13,772.28,19.69,3.94,Simple,0.36,SE
78,571.19,75.16,20.4,4.08,Complex,0.36,NE
79,761.64,816.34,15.58,3.12,Simple,0.33,SE
80,280.24,736.68,19.2,3.84,Simple,0.33,SW
81,429.12,30.93,168.54,33.71,Degraded,0.33,NW
82,519.06,94.17,16.61,3.32,Simple,0.33,NE
83,28.36,353.33,15.88,3.18,Simple,0.33,NW
84,337.12,657.03,12.09,2.42,Simple,0.32,SW
85,205.76,651.46,31.38,6.28,Complex,0.32,SW
86,78.27,387.65,15.85,3.17,Simple,0.31,NW
87,645.71,154.96,29.94,5.99,Complex/Overlapping,0.31,NE
88,815.24,505.27,36.41,7.28,Complex,0.31,SE
89,833.39,482.0,17.77,3.55,Simple,0.31,SE
90,116.05,34.21,13.26,2.65,Simple,0.31,NW
91,376.65,134.88,44.25,8.85,Complex,0.31,NW
92,861.29,37.59,15.88,3.18,Simple,0.31,NE
93,635.71,618.2,16.0,3.2,Simple,0.31,SE
94,917.36,219.31,15.48,3.1,Degraded,0.3,NE
95,824.83,304.8,32.24,6.45,Complex,0.3,NE
96,521.55,724.69,13.31,2.66,Simple,0.3,SE
97,585.14,33.56,15.01,3.0,Simple,0.3,NE
98,398.13,44.44,32.56,6.51,Complex,0.3,NW
99,719.22,167.76,39.64,7.93,Complex,0.3,NE
100,801.71,378.61,18.96,3.79,Simple,0.29,NE
101,119.58,455.85,25.88,5.18,Complex,0.29,SW
102,315.68,811.68,15.32,3.06,Simple,0.29,SW
103,633.87,189.3,20.3,4.06,Complex,0.29,NE
104,845.73,197.17,19.69,3.94,Simple,0.29,NE
105,52.5,518.81,12.37,2.47,Simple,0.28,SW
106,298.52,14.36,24.08,4.82,Complex/Overlapping,0.28,NW
107,155.7,53.78,12.96,2.59,Simple,0.27,NW
108,539.03,8.99,19.8,3.96,Simple,0.27,NE
109,734.75,67.07,14.32,2.86,Simple,0.27,NE
110,104.7,110.29,14.89,2.98,Simple,0.26,NW
111,875.48,29.83,14.88,2.98,Simple,0.26,NE
112,401.52,116.82,23.99,4.8,Complex/Overlapping,0.26,NW
113,527.37,768.72,18.19,3.64,Simple,0.26,SE
114,907.68,416.39,42.81,8.56,Degraded,0.25,NE
115,905.76,461.02,23.12,4.62,Complex,0.25,SE
