ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,329.35,54.97,20.79,4.16,Complex,0.94,NE
2,326.87,82.86,21.33,4.27,Complex,0.93,NE
3,129.3,240.24,17.4,3.48,Simple,0.92,SW
4,151.78,349.7,11.09,2.22,Simple,0.92,SW
5,257.22,26.92,11.04,2.21,Simple,0.92,NE
6,88.75,28.05,9.67,1.93,Simple,0.91,NW
7,55.63,383.72,7.73,1.55,Simple,0.91,SW
8,322.37,188.82,9.45,1.89,Simple,0.9,NE
9,364.17,372.55,10.03,2.01,Simple,0.9,SE
10,143.89,310.26,8.34,1.67,Simple,0.9,SW
11,27.54,347.21,10.17,2.03,Simple,0.89,SW
12,104.26,37.11,9.5,1.9,Simple,0.89,NW
13,193.77,329.67,7.61,1.52,Simple,0.88,SW
14,59.12,395.37,9.26,1.85,Simple,0.88,SW
15,294.4,94.43,14.44,2.89,Simple,0.88,NE
16,162.89,55.54,8.67,1.73,Simple/Overlapping,0.87,NW
17,347.07,346.58,10.06,2.01,Simple,0.87,SE
18,313.31,346.85,10.69,2.14,Simple,0.87,SE
19,238.96,340.07,7.06,1.41,Simple,0.86,SE
20,315.97,11.01,9.94,1.99,Simple,0.86,NE
21,83.67,11.6,7.93,1.59,Simple,0.86,NW
22,154.64,51.88,8.98,1.8,Simple/Overlapping,0.85,NW
23,329.61,354.27,11.28,2.26,Simple,0.84,SE
24,121.35,198.63,9.82,1.96,Simple,0.83,NW
25,128.9,127.34,7.92,1.58,Simple,0.83,NW
26,164.02,190.78,8.6,1.72,Simple,0.8,NW
27,199.37,80.4,7.4,1.48,Simple,0.8,NW
28,149.54,76.97,10.26,2.05,Simple,0.8,NW
29,223.25,248.93,7.35,1.47,Simple,0.79,SE
30,199.75,8.66,11.15,2.23,Simple,0.77,NW
31,187.81,10.08,14.82,2.96,Simple,0.77,NW
32,369.2,131.37,8.63,1.73,Simple,0.74,NE
33,343.17,7.18,9.94,1.99,Simple,0.74,NE
34,228.28,280.12,10.57,2.11,Simple,0.73,SE
35,121.42,208.99,8.78,1.76,Simple,0.73,SW
36,338.53,371.57,7.24,1.45,Simple,0.71,SE
37,25.24,309.13,6.47,1.29,Simple,0.71,SW
38,205.27,246.68,7.09,1.42,Simple,0.71,SW
39,285.2,86.35,7.71,1.54,Simple,0.7,NE
40,166.2,174.68,11.31,2.26,Simple/Overlapping,0.69,NW
41,126.86,167.65,6.65,1.33,Simple,0.68,NW
42,145.96,39.7,6.21,1.24,Simple,0.67,NW
43,138.17,119.99,6.74,1.35,Simple,0.66,NW
44,103.63,9.97,6.4,1.28,Simple,0.65,NW
45,146.84,68.9,10.22,2.04,Simple,0.65,NW
46,335.12,362.91,6.77,1.35,Simple,0.65,SE
47,352.38,263.4,7.17,1.43,Simple,0.64,SE
48,280.79,402.98,35.84,7.17,Degraded,0.64,SE
49,129.76,96.5,7.98,1.6,Simple,0.64,NW
50,320.21,405.89,32.35,6.47,Degraded,0.64,SE
51,266.8,215.02,6.35,1.27,Simple,0.63,SE
52,365.14,204.75,6.69,1.34,Simple,0.63,NE
53,135.92,101.98,9.99,2.0,Simple/Overlapping,0.61,NW
54,166.9,179.23,13.73,2.75,Simple/Overlapping,0.61,NW
55,47.96,130.27,6.35,1.27,Simple,0.61,NW
56,116.96,291.1,6.1,1.22,Simple,0.61,SW
57,314.47,381.43,27.2,5.44,Complex,0.6,SE
58,297.63,360.69,24.26,4.85,Complex,0.6,SE
59,170.37,198.48,6.91,1.38,Simple,0.57,NW
60,309.79,263.63,6.45,1.29,Simple,0.53,SE
61,136.0,93.22,6.73,1.35,Simple/Overlapping,0.52,NW
62,166.93,181.68,11.95,2.39,Simple/Overlapping,0.51,NW
63,137.91,30.53,5.82,1.16,Simple,0.5,NW
64,85.54,42.94,5.96,1.19,Simple,0.5,NW
65,141.83,80.17,7.44,1.49,Simple,0.5,NW
66,251.58,237.92,6.44,1.29,Simple,0.48,SE
67,206.1,329.03,5.16,1.03,Simple,0.48,SW
68,166.32,170.47,8.78,1.76,Simple/Overlapping,0.48,NW
69,357.5,348.97,7.11,1.42,Simple,0.47,SE
70,312.35,145.97,6.78,1.36,Simple,0.46,NE
71,178.23,209.28,6.38,1.28,Simple,0.46,SW
72,302.23,14.51,7.41,1.48,Simple,0.46,NE
73,379.51,198.84,7.13,1.43,Simple,0.44,NE
74,137.59,98.37,12.81,2.56,Simple/Overlapping,0.44,NW
75,151.27,307.14,5.07,1.01,Simple,0.44,SW
76,236.28,198.41,5.73,1.15,Simple,0.43,NE
77,278.69,135.63,6.05,1.21,Simple,0.43,NE
78,174.84,64.3,5.9,1.18,Simple,0.4,NW
79,258.74,381.45,5.26,1.05,Simple,0.4,SE
80,237.58,96.67,8.67,1.73,Simple,0.4,NE
81,61.06,312.31,5.07,1.01,Simple,0.39,SW
82,207.67,105.84,6.71,1.34,Simple,0.39,NW
83,142.69,106.96,6.66,1.33,Simple,0.38,NW
84,238.54,153.09,5.86,1.17,Simple,0.37,NE
85,161.75,104.6,5.96,1.19,Simple,0.36,NW
86,95.03,238.29,5.49,1.1,Simple,0.35,SW
87,100.77,195.55,5.31,1.06,Simple,0.34,NW
88,137.54,94.7,9.21,1.84,Simple/Overlapping,0.34,NW
89,281.82,335.08,15.07,3.01,Simple,0.34,SE
90,174.16,81.68,6.12,1.22,Simple,0.34,NW
91,48.02,313.33,4.92,0.98,Simple,0.33,SW
92,294.42,329.02,10.84,2.17,Simple,0.33,SE
93,191.72,41.33,8.43,1.69,Simple,0.33,NW
94,109.02,340.07,5.03,1.01,Simple,0.3,SW
95,232.04,90.13,7.59,1.52,Simple,0.3,NE
96,179.03,323.67,5.18,1.04,Simple,0.29,SW
97,195.01,85.38,6.07,1.21,Simple,0.29,NW
98,50.86,404.4,5.6,1.12,Simple,0.28,SW
99,160.19,229.85,5.31,1.06,Simple,0.27,SW
100,125.7,73.14,5.51,1.1,Simple,0.27,NW
101,284.56,144.37,5.75,1.15,Simple,0.27,NE
102,161.35,53.88,9.32,1.86,Simple/Overlapping,0.26,NW
103,284.03,371.87,7.11,1.42,Simple,0.26,SE
