ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,227.53,174.79,29.95,5.99,Complex,0.96,NE
2,222.86,258.47,30.35,6.07,Complex,0.93,SE
3,279.55,191.83,10.06,2.01,Simple,0.9,NE
4,141.58,179.64,19.1,3.82,Simple,0.88,NW
5,259.24,378.82,9.2,1.84,Simple,0.86,SE
6,182.72,5.91,15.23,3.05,Simple,0.84,NW
7,287.81,276.87,8.52,1.7,Simple,0.82,SE
8,211.49,107.43,14.71,2.94,Simple,0.81,NE
9,273.9,245.59,8.61,1.72,Simple,0.81,SE
10,135.74,101.34,7.86,1.57,Simple,0.8,NW
11,258.58,276.37,10.53,2.11,Simple,0.8,SE
12,240.44,219.64,12.59,2.52,Simple/Overlapping,0.79,SE
13,286.91,77.35,17.84,3.57,Simple,0.78,NE
14,211.29,205.63,7.87,1.57,Simple,0.78,NE
15,150.94,6.31,8.36,1.67,Simple,0.78,NW
16,282.86,160.16,11.41,2.28,Simple,0.78,NE
17,151.51,213.58,11.28,2.26,Simple,0.77,SW
18,157.73,53.02,10.03,2.01,Simple/Overlapping,0.77,NW
19,294.52,349.86,8.75,1.75,Simple,0.75,SE
20,227.36,238.49,10.24,2.05,Simple,0.75,SE
21,256.96,306.13,9.28,1.86,Simple,0.74,SE
22,241.72,210.66,12.41,2.48,Simple/Overlapping,0.71,SE
23,185.5,18.48,8.56,1.71,Simple,0.7,NW
24,209.29,179.36,7.83,1.57,Simple,0.7,NE
25,136.86,168.71,7.31,1.46,Simple,0.69,NW
26,141.02,154.67,7.41,1.48,Simple,0.69,NW
27,225.68,130.4,10.36,2.07,Simple,0.67,NE
28,162.24,333.52,32.52,6.5,Complex,0.66,SW
29,176.99,117.7,9.47,1.89,Simple,0.64,NW
30,169.22,45.73,12.0,2.4,Simple,0.62,NW
31,126.03,400.88,7.26,1.45,Simple,0.61,SW
32,298.97,398.82,8.22,1.64,Simple,0.6,SE
33,139.96,106.39,6.11,1.22,Simple,0.6,NW
34,204.49,153.07,7.19,1.44,Simple,0.6,NW
35,264.31,98.6,7.0,1.4,Simple,0.57,NE
36,149.98,45.41,9.47,1.89,Simple/Overlapping,0.55,NW
37,297.43,226.98,7.88,1.58,Simple,0.54,SE
38,290.8,247.1,7.65,1.53,Simple,0.54,SE
39,295.95,282.85,13.13,2.63,Simple/Overlapping,0.53,SE
40,265.82,298.63,6.67,1.33,Simple,0.53,SE
41,152.35,238.79,9.49,1.9,Simple,0.53,SW
42,142.79,32.86,6.9,1.38,Simple,0.52,NW
43,130.85,318.27,7.1,1.42,Simple,0.52,SW
44,131.12,5.47,8.89,1.78,Simple,0.51,NW
45,154.82,257.24,9.21,1.84,Simple,0.51,SW
46,269.05,207.03,7.31,1.46,Simple,0.51,NE
47,294.47,295.93,36.31,7.26,Degraded/Overlapping,0.51,SE
48,143.65,40.51,7.59,1.52,Simple,0.5,NW
49,147.36,262.62,10.09,2.02,Simple,0.49,SW
50,203.26,143.68,10.1,2.02,Simple,0.47,NW
51,208.52,23.32,6.44,1.29,Simple,0.47,NE
52,219.05,285.3,13.29,2.66,Simple,0.47,SE
53,254.27,322.13,6.79,1.36,Simple,0.46,SE
54,182.17,27.32,8.93,1.79,Simple,0.46,NW
55,228.52,61.4,19.08,3.82,Simple,0.45,NE
56,266.65,144.78,6.88,1.38,Simple,0.45,NE
57,199.27,243.74,30.92,6.18,Complex,0.45,SW
58,294.74,291.71,30.26,6.05,Degraded/Overlapping,0.43,SE
59,194.55,231.07,8.98,1.8,Simple/Overlapping,0.43,SW
60,275.54,124.15,20.8,4.16,Complex,0.41,NE
61,265.57,73.92,10.85,2.17,Simple/Overlapping,0.4,NE
62,150.19,68.37,10.85,2.17,Simple,0.4,NW
63,150.28,25.1,9.42,1.88,Simple,0.38,NW
64,255.07,22.56,9.37,1.87,Simple,0.38,NE
65,186.15,259.19,12.11,2.42,Simple,0.36,SW
66,139.21,213.37,13.58,2.72,Simple,0.36,SW
67,118.04,128.8,7.15,1.43,Simple,0.35,NW
68,185.33,219.15,10.17,2.03,Simple,0.35,SW
69,294.66,219.06,6.2,1.24,Simple,0.34,SE
70,267.49,81.02,16.83,3.37,Simple/Overlapping,0.32,NE
71,262.32,10.46,7.02,1.4,Simple,0.32,NE
72,194.03,232.03,10.33,2.07,Simple/Overlapping,0.31,SW
73,194.5,26.65,11.55,2.31,Simple,0.31,NW
74,153.87,50.93,9.2,1.84,Simple/Overlapping,0.3,NW
75,162.69,301.1,15.28,3.06,Simple,0.29,SW
76,165.94,204.64,6.28,1.26,Simple,0.28,NW
77,129.15,204.18,6.21,1.24,Simple,0.28,NW
78,287.87,177.96,6.62,1.32,Simple,0.28,NE
79,186.26,295.61,14.08,2.82,Simple,0.28,SW
80,273.66,70.24,6.94,1.39,Simple,0.27,NE
81,270.36,161.19,17.43,3.49,Simple,0.27,NE
82,130.15,325.23,44.68,8.94,Complex,0.27,SW
83,181.76,229.71,10.24,2.05,Simple,0.26,SW
84,222.4,328.47,9.02,1.8,Simple,0.25,SE
