ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,133.31,149.62,18.92,3.78,Simple,0.92,NW
2,212.03,270.68,15.63,3.13,Simple,0.91,SE
3,217.96,361.0,11.05,2.21,Simple,0.9,SE
4,211.64,394.92,8.49,1.7,Simple,0.89,SE
5,179.45,270.57,9.49,1.9,Simple,0.89,SW
6,192.77,374.14,8.4,1.68,Simple,0.89,SW
7,166.86,162.62,22.66,4.53,Complex,0.89,NW
8,227.4,347.3,13.2,2.64,Simple,0.88,SE
9,167.48,37.43,19.94,3.99,Simple,0.87,NW
10,263.57,127.48,9.58,1.92,Simple,0.86,NE
11,164.58,336.56,7.21,1.44,Simple,0.86,SW
12,284.88,131.66,9.75,1.95,Simple,0.85,NE
13,293.19,377.27,7.89,1.58,Simple,0.85,SE
14,271.55,411.19,10.55,2.11,Simple,0.84,SE
15,217.67,388.37,8.38,1.68,Simple,0.84,SE
16,245.63,401.11,6.99,1.4,Simple,0.82,SE
17,263.12,21.2,10.53,2.11,Simple,0.82,NE
18,200.19,373.74,6.81,1.36,Simple,0.8,SW
19,229.16,408.93,6.94,1.39,Simple,0.8,SE
20,235.52,380.9,6.58,1.32,Simple,0.79,SE
21,252.52,308.0,6.32,1.26,Simple,0.76,SE
22,155.38,354.81,6.65,1.33,Simple,0.75,SW
23,214.65,39.73,9.96,1.99,Simple,0.73,NE
24,202.8,48.05,10.33,2.07,Simple,0.73,NW
25,153.46,9.54,10.92,2.18,Simple,0.72,NW
26,159.08,21.0,7.78,1.56,Simple,0.71,NW
27,121.53,114.96,20.33,4.07,Complex,0.7,NW
28,179.35,21.4,8.49,1.7,Simple,0.69,NW
29,243.0,16.98,14.33,2.87,Simple,0.68,NE
30,240.97,28.33,13.58,2.72,Simple,0.67,NE
31,169.98,11.36,9.68,1.94,Simple,0.67,NW
32,244.39,71.34,7.18,1.44,Simple,0.66,NE
33,249.68,285.93,6.53,1.31,Simple,0.64,SE
34,222.57,7.53,15.92,3.18,Simple,0.59,NE
35,296.24,150.3,25.06,5.01,Complex,0.59,NE
36,167.35,90.21,18.23,3.65,Simple,0.59,NW
37,206.56,33.31,11.29,2.26,Simple,0.59,NW
38,291.75,38.29,14.45,2.89,Simple,0.58,NE
39,269.91,403.84,6.25,1.25,Simple,0.58,SE
40,223.34,372.39,5.56,1.11,Simple,0.58,SE
41,213.04,316.21,6.03,1.21,Simple,0.56,SE
42,295.19,82.15,8.24,1.65,Simple,0.56,NE
43,152.52,47.07,17.45,3.49,Simple,0.53,NW
44,205.74,313.05,5.91,1.18,Simple,0.52,SW
45,162.04,250.03,5.76,1.15,Simple,0.52,SW
46,201.75,413.7,5.79,1.16,Degraded,0.51,SW
47,213.88,49.18,7.14,1.43,Simple,0.46,NE
48,182.97,4.6,8.1,1.62,Simple,0.46,NW
49,187.65,219.57,6.2,1.24,Simple,0.45,SW
50,175.1,54.52,24.37,4.87,Complex,0.44,NW
51,125.69,175.02,13.96,2.79,Simple,0.42,NW
52,149.86,177.8,34.22,6.84,Complex,0.41,NW
53,305.36,371.24,13.13,2.63,Degraded,0.39,SE
54,215.93,240.27,6.45,1.29,Simple,0.39,SE
55,175.78,81.61,10.23,2.05,Simple,0.39,NW
56,226.49,88.23,33.26,6.65,Complex/Overlapping,0.38,NE
57,285.27,66.66,12.02,2.4,Simple,0.35,NE
58,297.92,361.12,5.33,1.07,Simple,0.35,SE
59,175.52,113.48,9.35,1.87,Simple,0.34,NW
60,246.21,278.19,5.19,1.04,Simple,0.33,SE
61,255.92,115.76,11.85,2.37,Simple,0.33,NE
62,218.76,97.32,50.53,10.11,Complex/Overlapping,0.32,NE
63,294.97,49.7,8.1,1.62,Simple,0.31,NE
64,163.52,229.54,5.88,1.18,Simple,0.31,SW
65,208.98,382.54,5.38,1.08,Simple,0.3,SE
66,185.4,91.41,17.33,3.47,Simple,0.3,NW
67,156.94,336.46,5.59,1.12,Simple,0.28,SW
68,258.59,143.59,13.67,2.73,Simple,0.27,NE
69,213.76,145.33,14.84,2.97,Simple,0.26,NE
70,272.0,232.14,5.51,1.1,Simple,0.25,SE
