ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,112.62,226.19,22.63,4.53,Complex,0.94,SW
2,151.33,57.41,34.87,6.97,Complex,0.94,NW
3,258.48,69.63,18.52,3.7,Simple,0.93,NE
4,57.48,366.44,10.95,2.19,Simple,0.93,SW
5,341.09,127.22,21.09,4.22,Complex,0.93,NE
6,261.56,259.04,26.17,5.23,Complex,0.93,SE
7,251.18,226.46,10.21,2.04,Simple,0.92,SE
8,274.47,385.15,18.21,3.64,Simple,0.92,SE
9,252.19,30.52,18.95,3.79,Simple,0.92,NE
10,146.66,155.32,16.61,3.32,Simple,0.92,NW
11,189.86,104.22,19.76,3.95,Simple,0.91,NW
12,207.98,360.33,11.33,2.27,Simple,0.91,SW
13,64.46,245.38,10.52,2.1,Simple,0.91,SW
14,86.67,353.31,9.31,1.86,Simple,0.91,SW
15,165.94,392.07,9.29,1.86,Simple,0.91,SW
16,343.83,73.94,11.22,2.24,Simple,0.9,NE
17,298.62,34.96,9.77,1.95,Simple,0.9,NE
18,163.44,202.69,12.18,2.44,Simple,0.9,NW
19,50.71,128.31,8.51,1.7,Simple,0.9,NW
20,355.3,194.87,14.3,2.86,Simple,0.9,NE
21,124.24,391.66,19.29,3.86,Simple,0.9,SW
22,51.33,343.57,12.05,2.41,Simple,0.89,SW
23,111.39,387.96,11.64,2.33,Simple,0.89,SW
24,363.76,100.83,8.94,1.79,Simple,0.89,NE
25,194.9,365.78,11.4,2.28,Simple,0.89,SW
26,203.72,81.74,10.91,2.18,Simple,0.89,NW
27,311.33,55.52,8.48,1.7,Simple,0.89,NE
28,204.22,264.87,10.45,2.09,Simple,0.89,SW
29,170.48,307.65,8.3,1.66,Simple,0.89,SW
30,304.97,211.51,14.06,2.81,Simple,0.89,SE
31,269.34,245.12,11.84,2.37,Simple,0.89,SE
32,267.35,22.36,15.49,3.1,Simple,0.89,NE
33,255.61,379.5,8.5,1.7,Simple,0.88,SE
34,272.18,60.72,12.42,2.48,Simple/Overlapping,0.88,NE
35,272.13,205.54,8.71,1.74,Simple,0.88,NE
36,58.94,48.0,10.24,2.05,Simple,0.88,NW
37,226.39,355.8,14.72,2.94,Simple,0.88,SE
38,328.2,241.18,10.54,2.11,Simple,0.88,SE
39,166.76,139.04,9.05,1.81,Simple,0.88,NW
40,28.57,206.82,7.41,1.48,Simple,0.88,NW
41,242.59,124.75,27.39,5.48,Complex,0.88,NE
42,141.73,392.49,11.97,2.39,Simple,0.87,SW
43,326.94,24.06,8.62,1.72,Simple,0.87,NE
44,322.42,327.82,18.01,3.6,Simple,0.87,SE
45,225.03,196.92,8.01,1.6,Simple,0.87,NE
46,169.08,32.35,28.19,5.64,Complex/Overlapping,0.87,NW
47,85.58,365.49,9.62,1.92,Simple,0.87,SW
48,191.49,262.31,14.91,2.98,Simple,0.87,SW
49,180.21,77.61,12.61,2.52,Simple,0.86,NW
50,241.85,183.37,11.83,2.37,Simple/Overlapping,0.86,NE
51,314.74,19.87,9.14,1.83,Simple,0.86,NE
52,188.43,403.45,13.13,2.63,Simple,0.86,SW
53,216.23,271.82,15.95,3.19,Simple,0.86,SE
54,138.37,187.32,12.15,2.43,Simple,0.86,NW
55,152.99,116.81,7.58,1.52,Simple,0.85,NW
56,91.74,63.18,8.95,1.79,Simple,0.85,NW
57,219.6,60.37,10.13,2.03,Simple,0.85,NE
58,186.69,359.56,9.55,1.91,Simple,0.85,SW
59,322.07,75.11,12.95,2.59,Simple,0.85,NE
60,265.74,52.83,10.66,2.13,Simple/Overlapping,0.85,NE
61,115.29,44.51,17.86,3.57,Simple,0.85,NW
62,322.47,6.5,10.49,2.1,Simple,0.84,NE
63,61.12,200.52,8.09,1.62,Simple,0.84,NW
64,270.88,95.42,11.51,2.3,Simple,0.84,NE
65,55.93,32.46,8.35,1.67,Simple,0.83,NW
66,276.01,72.34,16.91,3.38,Simple/Overlapping,0.83,NE
67,148.23,284.55,8.14,1.63,Simple,0.83,SW
68,254.38,193.82,18.93,3.79,Simple/Overlapping,0.83,NE
69,192.32,136.92,9.87,1.97,Simple/Overlapping,0.83,NW
70,40.01,219.63,8.11,1.62,Simple,0.83,SW
71,302.12,130.46,13.65,2.73,Simple,0.83,NE
72,219.25,183.52,6.86,1.37,Simple,0.83,NE
73,359.76,263.4,8.29,1.66,Simple,0.83,SE
74,353.3,142.39,8.5,1.7,Simple,0.82,NE
75,273.91,189.69,9.72,1.94,Simple,0.82,NE
76,148.84,224.79,8.48,1.7,Simple,0.82,SW
77,128.27,240.55,14.17,2.83,Simple,0.81,SW
78,114.39,340.8,9.67,1.93,Simple,0.81,SW
79,346.16,323.66,24.85,4.97,Complex,0.81,SE
80,354.97,109.65,12.49,2.5,Simple,0.81,NE
81,301.18,237.92,10.3,2.06,Simple,0.81,SE
82,259.58,136.33,14.99,3.0,Simple,0.8,NE
83,171.69,289.28,8.24,1.65,Simple,0.8,SW
84,137.29,368.15,15.38,3.08,Simple,0.8,SW
85,237.02,29.03,11.5,2.3,Simple,0.8,NE
86,38.04,370.19,6.47,1.29,Simple,0.79,SW
87,125.92,362.65,12.84,2.57,Simple,0.79,SW
88,335.45,262.06,7.68,1.54,Simple,0.79,SE
89,59.42,356.15,7.27,1.45,Simple,0.79,SW
90,175.81,133.44,10.11,2.02,Simple,0.79,NW
91,91.53,277.57,12.37,2.47,Simple,0.79,SW
92,197.0,410.02,10.17,2.03,Simple,0.78,SW
93,250.99,179.06,13.79,2.76,Simple/Overlapping,0.77,NE
94,135.3,122.95,15.96,3.19,Simple/Overlapping,0.77,NW
95,213.78,104.39,8.94,1.79,Simple,0.76,NE
96,284.26,53.65,7.69,1.54,Simple,0.76,NE
97,54.02,403.39,7.62,1.52,Simple,0.76,SW
98,42.79,397.97,8.34,1.67,Simple,0.76,SW
99,383.0,34.72,7.87,1.57,Simple,0.76,NE
100,237.34,305.97,8.89,1.78,Simple,0.75,SE
101,223.15,258.47,13.39,2.68,Simple,0.75,SE
102,315.56,261.54,7.3,1.46,Simple,0.75,SE
103,103.26,259.45,14.17,2.83,Simple,0.75,SW
104,198.82,332.48,7.52,1.5,Simple,0.74,SW
105,72.23,128.51,8.22,1.64,Simple,0.74,NW
106,364.74,51.19,7.46,1.49,Simple,0.74,NE
107,273.91,139.98,8.48,1.7,Simple,0.74,NE
108,101.8,276.36,10.51,2.1,Simple,0.74,SW
109,337.41,248.18,12.91,2.58,Simple/Overlapping,0.73,SE
110,316.79,126.74,7.26,1.45,Simple,0.73,NE
111,88.06,261.81,14.26,2.85,Simple,0.73,SW
112,363.82,81.9,7.13,1.43,Simple,0.72,NE
113,180.15,251.4,15.11,3.02,Simple,0.72,SW
114,268.32,127.47,15.13,3.03,Simple,0.72,NE
115,281.61,39.93,18.1,3.62,Simple,0.71,NE
116,68.01,121.98,7.51,1.5,Simple,0.71,NW
117,345.37,45.99,7.52,1.5,Simple,0.71,NE
118,362.53,13.55,9.92,1.98,Simple,0.71,NE
119,296.09,405.54,14.27,2.85,Simple,0.7,SE
120,221.98,46.39,8.47,1.69,Simple,0.7,NE
121,39.27,382.27,7.06,1.41,Simple,0.7,SW
122,61.02,101.02,6.98,1.4,Simple,0.69,NW
123,174.51,44.47,18.63,3.73,Simple/Overlapping,0.69,NW
124,330.73,314.42,17.5,3.5,Simple,0.69,SE
125,26.89,241.3,10.09,2.02,Simple,0.69,SW
126,176.98,395.98,10.09,2.02,Simple,0.69,SW
127,348.49,221.38,6.8,1.36,Simple,0.68,SE
128,295.82,25.01,10.42,2.08,Simple,0.68,NE
129,242.22,181.53,13.14,2.63,Simple/Overlapping,0.68,NE
130,189.29,50.75,10.93,2.19,Simple,0.68,NW
131,203.07,18.64,8.29,1.66,Simple,0.67,NW
132,171.61,238.01,13.47,2.69,Simple,0.66,SW
133,288.12,220.2,6.56,1.31,Simple,0.66,SE
134,262.12,343.55,6.7,1.34,Simple,0.65,SE
135,235.07,46.79,14.34,2.87,Simple,0.65,NE
136,192.07,126.11,8.51,1.7,Simple,0.65,NW
137,200.62,157.51,7.77,1.55,Simple,0.65,NW
138,351.64,266.64,11.11,2.22,Simple,0.64,SE
139,303.35,286.28,6.26,1.25,Simple,0.63,SE
140,136.8,124.87,16.68,3.34,Simple/Overlapping,0.63,NW
141,325.22,115.21,13.28,2.66,Simple,0.63,NE
142,304.86,120.73,9.13,1.83,Simple,0.63,NE
143,220.81,374.43,9.23,1.85,Simple,0.62,SE
144,38.5,209.15,10.4,2.08,Simple,0.62,SW
145,211.44,240.03,7.65,1.53,Simple,0.61,SE
146,139.6,275.4,6.5,1.3,Simple,0.6,SW
147,361.76,59.4,6.86,1.37,Simple,0.6,NE
148,302.84,67.47,11.13,2.23,Simple,0.59,NE
149,226.59,168.21,10.13,2.03,Simple,0.58,NE
150,325.92,62.79,13.46,2.69,Simple,0.57,NE
151,170.8,39.42,27.84,5.57,Complex/Overlapping,0.57,NW
152,226.23,279.83,6.85,1.37,Simple,0.57,SE
153,212.73,390.98,11.77,2.35,Simple/Overlapping,0.56,SE
154,350.56,100.27,7.36,1.47,Simple,0.55,NE
155,64.44,298.49,8.06,1.61,Simple,0.54,SW
156,264.56,155.99,8.25,1.65,Simple,0.54,NE
157,248.16,412.03,10.2,2.04,Degraded,0.54,SE
158,231.01,321.96,6.24,1.25,Simple,0.54,SE
159,39.98,389.69,7.64,1.53,Simple,0.54,SW
160,303.17,223.53,8.35,1.67,Simple,0.54,SE
161,224.34,143.21,15.72,3.14,Simple,0.54,NE
162,170.55,275.04,6.61,1.32,Simple,0.54,SW
163,246.62,48.27,8.2,1.64,Simple,0.53,NE
164,188.5,143.52,11.08,2.22,Simple/Overlapping,0.53,NW
165,238.27,260.57,8.25,1.65,Simple,0.53,SE
166,351.46,14.19,11.69,2.34,Simple,0.53,NE
167,276.27,84.99,15.88,3.18,Simple/Overlapping,0.52,NE
168,183.69,127.57,7.62,1.52,Simple,0.52,NW
169,191.45,4.98,9.91,1.98,Simple,0.51,NW
170,309.2,340.82,14.44,2.89,Simple,0.51,SE
171,299.65,106.6,7.15,1.43,Simple,0.5,NE
172,208.02,233.98,6.3,1.26,Simple,0.5,SE
173,94.08,405.94,6.22,1.24,Simple,0.5,SW
174,389.34,65.65,13.89,2.78,Simple,0.49,NE
175,98.54,357.94,13.56,2.71,Simple,0.49,SW
176,186.21,230.33,6.93,1.39,Simple,0.49,SW
177,134.09,352.33,8.67,1.73,Simple,0.48,SW
178,264.17,109.79,13.29,2.66,Simple/Overlapping,0.48,NE
179,254.81,42.77,7.75,1.55,Simple,0.47,NE
180,374.65,70.37,8.85,1.77,Simple,0.47,NE
181,89.33,342.68,6.14,1.23,Simple,0.46,SW
182,71.47,352.91,8.57,1.71,Simple,0.46,SW
183,364.34,121.41,11.51,2.3,Simple,0.46,NE
184,259.74,410.38,7.29,1.46,Simple,0.46,SE
185,255.99,323.89,8.89,1.78,Simple,0.46,SE
186,340.88,270.91,11.14,2.23,Simple,0.45,SE
187,98.86,70.2,6.08,1.22,Simple,0.45,NW
188,54.48,167.36,6.1,1.22,Simple,0.44,NW
189,207.32,390.13,19.04,3.81,Simple/Overlapping,0.44,SW
190,43.53,145.48,6.3,1.26,Simple,0.44,NW
191,144.83,334.51,6.12,1.22,Simple,0.43,SW
192,265.01,114.85,15.3,3.06,Simple/Overlapping,0.43,NE
193,138.61,126.44,14.64,2.93,Simple/Overlapping,0.43,NW
194,233.5,175.25,10.09,2.02,Simple,0.42,NE
195,305.56,321.22,16.46,3.29,Simple,0.42,SE
196,363.42,273.48,6.46,1.29,Simple,0.42,SE
197,76.15,342.34,7.02,1.4,Simple,0.42,SW
198,50.48,393.98,9.37,1.87,Simple,0.41,SW
199,74.42,301.43,5.98,1.2,Simple,0.41,SW
200,176.34,87.78,8.14,1.63,Simple,0.41,NW
201,328.73,104.29,11.13,2.23,Simple,0.4,NE
202,392.72,107.22,7.82,1.56,Simple,0.4,NE
203,244.62,10.79,6.48,1.3,Simple/Overlapping,0.4,NE
204,346.75,152.68,9.78,1.96,Simple,0.4,NE
205,314.38,308.26,5.63,1.13,Simple,0.39,SE
206,267.77,52.52,12.81,2.56,Simple/Overlapping,0.38,NE
207,174.54,388.7,6.38,1.28,Simple,0.38,SW
208,186.0,119.68,8.64,1.73,Simple,0.38,NW
209,189.99,157.3,11.8,2.36,Simple,0.38,NW
210,386.76,219.24,16.28,3.26,Simple/Overlapping,0.37,SE
211,180.48,63.53,6.95,1.39,Simple,0.37,NW
212,264.44,315.85,7.87,1.57,Simple,0.37,SE
213,250.21,195.23,25.1,5.02,Complex/Overlapping,0.37,NE
214,172.38,198.93,9.0,1.8,Simple,0.36,NW
215,299.85,153.28,11.99,2.4,Simple,0.36,NE
216,202.97,212.41,7.91,1.58,Simple,0.35,SW
217,196.06,44.91,6.86,1.37,Simple,0.35,NW
218,235.19,369.45,9.1,1.82,Simple,0.34,SE
219,338.54,102.69,8.3,1.66,Simple/Overlapping,0.34,NE
220,58.3,140.19,7.18,1.44,Simple,0.34,NW
221,246.25,198.02,21.64,4.33,Complex/Overlapping,0.33,NE
222,213.48,146.24,5.83,1.17,Simple,0.33,NE
223,95.83,268.7,8.06,1.61,Simple,0.33,SW
224,181.95,348.63,5.97,1.19,Simple,0.33,SW
225,189.73,343.44,6.6,1.32,Simple,0.33,SW
226,245.54,4.49,9.83,1.97,Simple/Overlapping,0.32,NE
227,241.83,38.51,9.11,1.82,Simple,0.32,NE
228,303.46,23.05,7.17,1.43,Simple,0.32,NE
229,57.24,255.54,5.72,1.14,Simple,0.32,SW
230,137.58,289.39,5.74,1.15,Simple,0.31,SW
231,42.36,49.15,6.95,1.39,Simple,0.31,NW
232,196.73,163.22,6.15,1.23,Simple,0.31,NW
233,39.63,174.56,7.31,1.46,Simple,0.31,NW
234,83.04,176.09,5.81,1.16,Simple,0.31,NW
235,245.43,9.63,8.29,1.66,Simple/Overlapping,0.3,NE
236,37.58,402.96,6.18,1.24,Simple,0.3,SW
237,155.37,369.02,5.93,1.19,Simple,0.3,SW
238,30.61,167.97,6.29,1.26,Simple,0.3,NW
239,84.86,316.7,14.05,2.81,Simple,0.3,SW
240,153.77,297.67,8.17,1.63,Simple,0.3,SW
241,167.37,321.39,5.93,1.19,Simple,0.29,SW
242,310.81,12.63,6.72,1.34,Simple,0.29,NE
243,338.88,99.48,12.55,2.51,Simple/Overlapping,0.28,NE
244,247.43,140.36,7.03,1.41,Simple,0.28,NE
245,43.78,109.24,9.17,1.83,Simple,0.28,NW
246,342.63,34.38,6.28,1.26,Simple,0.27,NE
247,345.05,6.05,6.93,1.39,Simple,0.27,NE
248,245.15,7.98,10.01,2.0,Simple/Overlapping,0.27,NE
249,385.9,213.89,23.47,4.69,Complex/Overlapping,0.27,SE
250,26.24,390.86,11.91,2.38,Simple,0.26,SW
251,380.72,353.4,7.29,1.46,Simple,0.26,SE
252,30.89,112.7,13.04,2.61,Simple,0.26,NW
253,218.27,156.94,5.65,1.13,Simple,0.26,NE
254,341.34,251.98,11.42,2.28,Simple/Overlapping,0.25,SE
255,134.17,77.71,16.37,3.27,Simple,0.25,NW
