ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,145.3,157.65,24.86,4.97,Complex,0.94,NW
2,111.93,59.4,21.71,4.34,Complex,0.93,NW
3,182.05,225.39,20.45,4.09,Complex,0.93,SW
4,262.33,191.38,11.7,2.34,Simple,0.92,NE
5,221.42,242.2,21.31,4.26,Complex,0.92,SE
6,271.64,77.66,11.7,2.34,Simple,0.91,NE
7,276.31,283.74,22.98,4.6,Complex,0.91,SE
8,261.68,368.27,33.09,6.62,Complex,0.91,SE
9,169.18,344.93,21.28,4.26,Complex,0.9,SW
10,295.19,216.29,15.3,3.06,Simple,0.9,SE
11,221.71,122.04,9.35,1.87,Simple,0.9,NE
12,312.87,376.4,9.15,1.83,Simple,0.9,SE
13,138.79,232.93,12.2,2.44,Simple,0.89,SW
14,175.42,240.75,16.07,3.21,Simple,0.89,SW
15,215.23,67.25,8.49,1.7,Simple,0.89,NE
16,273.06,302.91,9.44,1.89,Simple,0.89,SE
17,184.06,96.76,9.41,1.88,Simple,0.88,NW
18,135.07,141.68,17.19,3.44,Simple,0.88,NW
19,183.6,20.37,8.33,1.67,Simple,0.88,NW
20,100.86,76.99,22.13,4.43,Complex,0.88,NW
21,155.31,129.09,10.91,2.18,Simple,0.88,NW
22,122.09,368.57,21.35,4.27,Complex,0.88,SW
23,246.13,174.91,10.26,2.05,Simple,0.87,NE
24,295.3,405.42,19.85,3.97,Simple,0.87,SE
25,224.45,379.67,10.35,2.07,Simple,0.87,SE
26,283.17,122.19,30.97,6.19,Complex/Overlapping,0.87,NE
27,295.51,71.92,7.8,1.56,Simple,0.87,NE
28,133.76,76.96,7.15,1.43,Simple,0.87,NW
29,226.77,184.82,8.06,1.61,Simple,0.87,NE
30,147.75,36.34,17.02,3.4,Simple,0.87,NW
31,162.42,61.78,12.23,2.45,Simple,0.86,NW
32,294.47,88.3,14.0,2.8,Simple,0.86,NE
33,191.72,128.75,16.78,3.36,Simple,0.86,NW
34,260.8,162.43,12.44,2.49,Simple,0.85,NE
35,267.96,311.67,6.92,1.38,Simple,0.85,SE
36,239.26,380.8,15.25,3.05,Simple,0.84,SE
37,125.15,171.3,10.72,2.14,Simple,0.84,NW
38,212.31,354.02,9.11,1.82,Simple,0.84,SE
39,105.23,120.82,9.48,1.9,Simple,0.84,NW
40,216.2,164.59,9.61,1.92,Simple,0.84,NE
41,219.82,336.51,10.57,2.11,Simple,0.84,SE
42,279.59,338.91,11.94,2.39,Simple,0.84,SE
43,198.62,23.82,7.12,1.42,Simple,0.84,NW
44,131.43,198.19,10.91,2.18,Simple,0.84,NW
45,264.05,388.0,12.71,2.54,Simple,0.83,SE
46,276.4,199.24,7.54,1.51,Simple,0.82,NE
47,118.18,199.13,16.18,3.24,Simple/Overlapping,0.82,NW
48,151.04,290.56,9.84,1.97,Simple,0.82,SW
49,109.86,258.32,7.27,1.45,Simple,0.82,SW
50,215.45,306.74,8.71,1.74,Simple/Overlapping,0.82,SE
51,280.31,139.93,21.13,4.23,Complex/Overlapping,0.81,NE
52,253.24,153.54,8.12,1.62,Simple,0.8,NE
53,115.36,271.47,14.13,2.83,Simple/Overlapping,0.8,SW
54,109.31,312.04,14.43,2.89,Simple,0.8,SW
55,195.7,319.52,10.95,2.19,Simple,0.8,SW
56,161.53,92.93,10.8,2.16,Simple,0.8,NW
57,117.05,214.75,11.08,2.22,Simple,0.79,SW
58,229.93,259.06,23.47,4.69,Complex,0.79,SE
59,118.84,273.61,13.96,2.79,Simple/Overlapping,0.79,SW
60,245.51,96.22,14.55,2.91,Simple,0.78,NE
61,222.19,399.76,8.82,1.76,Simple,0.77,SE
62,195.76,14.68,5.89,1.18,Simple,0.76,NW
63,119.06,383.43,8.64,1.73,Simple,0.76,SW
