ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,194.25,324.33,8.79,1.76,Simple,0.94,SW
2,277.87,27.9,8.76,1.75,Simple,0.94,NE
3,371.55,297.93,8.98,1.8,Simple,0.94,SE
4,241.9,142.35,10.14,2.03,Simple,0.93,NE
5,58.27,95.08,12.42,2.48,Simple,0.92,NW
6,31.88,246.81,13.25,2.65,Simple,0.92,SW
7,25.64,235.6,10.03,2.01,Simple,0.92,SW
8,113.26,302.03,8.03,1.61,Simple,0.92,SW
9,400.62,238.39,8.66,1.73,Simple,0.92,SE
10,160.87,400.86,9.05,1.81,Simple,0.92,SW
11,339.81,351.45,7.63,1.53,Simple,0.91,SE
12,367.13,356.95,7.37,1.47,Simple,0.91,SE
13,355.19,381.87,10.15,2.03,Simple,0.91,SE
14,204.22,393.69,9.17,1.83,Simple,0.91,SW
15,212.72,99.85,9.82,1.96,Simple,0.91,NE
16,116.94,35.06,9.23,1.85,Simple,0.9,NW
17,262.65,136.42,11.32,2.26,Simple,0.9,NE
18,56.07,235.31,8.89,1.78,Simple,0.9,SW
19,319.06,232.1,8.89,1.78,Simple,0.9,SE
20,358.97,305.78,8.78,1.76,Simple,0.9,SE
21,257.91,30.27,7.22,1.44,Simple,0.9,NE
22,284.76,116.52,8.04,1.61,Simple,0.9,NE
23,372.46,200.56,6.89,1.38,Simple,0.9,NE
24,46.54,93.2,11.88,2.38,Simple,0.9,NW
25,306.01,116.71,8.11,1.62,Simple,0.89,NE
26,73.72,44.47,9.47,1.89,Simple,0.89,NW
27,238.22,74.63,9.86,1.97,Simple,0.89,NE
28,389.43,195.97,7.61,1.52,Simple,0.89,NE
29,5.09,169.67,12.68,2.54,Simple,0.89,NW
30,111.13,393.34,7.12,1.42,Simple,0.89,SW
31,114.43,49.51,7.67,1.53,Simple,0.89,NW
32,318.24,394.28,7.33,1.47,Simple,0.88,SE
33,316.48,324.13,6.55,1.31,Simple,0.88,SE
34,287.64,389.35,7.64,1.53,Simple,0.88,SE
35,34.39,128.44,9.17,1.83,Simple,0.88,NW
36,89.53,77.05,9.47,1.89,Simple/Overlapping,0.87,NW
37,230.9,7.18,7.21,1.44,Simple,0.87,NE
38,29.67,268.02,6.71,1.34,Simple,0.87,SW
39,327.49,79.13,7.82,1.56,Simple,0.87,NE
40,86.54,40.37,6.8,1.36,Simple,0.87,NW
41,154.5,300.74,9.55,1.91,Simple,0.87,SW
42,208.37,328.85,7.67,1.53,Simple,0.87,SE
43,41.36,52.08,8.4,1.68,Simple,0.87,NW
44,180.51,42.1,7.14,1.43,Simple,0.86,NW
45,35.53,200.8,7.63,1.53,Simple,0.85,NW
46,45.48,142.37,7.22,1.44,Simple,0.85,NW
47,194.52,254.59,12.76,2.55,Simple,0.85,SW
48,10.82,242.88,8.25,1.65,Simple,0.85,SW
49,303.96,395.47,6.92,1.38,Simple,0.84,SE
50,79.08,370.89,6.93,1.39,Simple,0.84,SW
51,97.8,358.03,6.87,1.37,Simple,0.84,SW
52,303.84,303.85,6.17,1.23,Simple,0.83,SE
53,366.68,121.28,6.22,1.24,Simple,0.83,NE
54,161.0,343.76,7.74,1.55,Simple,0.83,SW
55,180.27,280.35,7.43,1.49,Simple,0.82,SW
56,375.96,277.36,6.69,1.34,Simple,0.82,SE
57,4.24,55.73,10.2,2.04,Simple,0.81,NW
58,266.23,106.9,5.67,1.13,Simple,0.81,NE
59,125.37,229.14,6.92,1.38,Simple,0.8,SW
60,7.69,249.83,7.13,1.43,Simple,0.8,SW
61,268.07,117.05,8.57,1.71,Simple,0.8,NE
62,334.95,228.11,5.81,1.16,Simple,0.8,SE
63,406.16,200.28,7.77,1.55,Simple,0.79,NE
64,283.27,201.39,6.2,1.24,Simple,0.79,NE
65,341.05,125.7,6.04,1.21,Simple,0.78,NE
66,78.64,282.6,6.5,1.3,Simple,0.78,SW
67,247.88,412.86,7.53,1.51,Simple,0.78,SE
68,162.51,42.31,5.99,1.2,Simple,0.77,NW
69,401.26,282.89,6.28,1.26,Simple,0.76,SE
70,357.86,190.63,5.84,1.17,Simple,0.75,NE
71,297.16,164.27,6.41,1.28,Simple,0.75,NE
72,319.23,109.17,6.85,1.37,Simple,0.75,NE
73,51.69,403.02,6.43,1.29,Simple,0.75,SW
74,259.22,121.01,6.38,1.28,Simple,0.75,NE
75,312.8,106.73,6.88,1.38,Simple,0.75,NE
76,148.47,250.72,6.21,1.24,Simple,0.74,SW
77,139.06,350.8,5.85,1.17,Simple,0.74,SW
78,164.93,194.07,5.81,1.16,Simple,0.74,NW
79,76.48,216.23,6.55,1.31,Simple,0.73,SW
80,65.64,55.86,8.28,1.66,Simple,0.72,NW
81,310.01,410.6,6.1,1.22,Simple,0.72,SE
82,149.79,307.55,6.33,1.27,Simple,0.71,SW
83,367.13,258.98,5.85,1.17,Simple,0.71,SE
84,344.58,115.77,6.0,1.2,Simple,0.71,NE
85,307.85,194.01,5.46,1.09,Simple,0.71,NE
86,145.53,285.11,6.75,1.35,Simple,0.7,SW
87,407.86,291.98,5.92,1.18,Simple,0.7,SE
88,61.9,265.86,6.15,1.23,Simple,0.7,SW
89,272.78,38.52,5.67,1.13,Simple,0.7,NE
90,317.87,307.56,5.1,1.02,Simple,0.7,SE
91,251.6,315.07,5.85,1.17,Simple,0.69,SE
92,382.62,110.2,6.01,1.2,Simple,0.69,NE
93,358.78,317.54,5.84,1.17,Simple,0.68,SE
94,232.09,65.21,5.67,1.13,Simple,0.68,NE
95,303.02,7.13,5.29,1.06,Simple,0.68,NE
96,223.92,69.52,5.65,1.13,Simple,0.67,NE
97,343.36,189.66,6.04,1.21,Simple,0.66,NE
98,322.27,215.97,5.45,1.09,Simple,0.66,SE
99,134.31,78.55,6.86,1.37,Simple,0.66,NW
100,23.95,24.15,7.33,1.47,Simple,0.66,NW
101,347.11,411.52,6.5,1.3,Simple,0.65,SE
102,109.43,271.86,5.73,1.15,Simple,0.64,SW
103,344.05,328.72,4.98,1.0,Simple,0.64,SE
104,170.82,361.6,6.5,1.3,Simple,0.63,SW
105,340.79,164.66,5.75,1.15,Simple,0.63,NE
106,54.97,24.28,7.21,1.44,Simple,0.62,NW
107,330.61,355.04,5.55,1.11,Simple,0.62,SE
108,25.63,212.25,6.72,1.34,Simple,0.61,SW
109,45.53,206.15,6.42,1.28,Simple,0.58,NW
110,123.19,356.52,5.2,1.04,Simple,0.57,SW
111,5.77,199.95,6.82,1.36,Simple,0.57,NW
112,81.37,9.87,6.18,1.24,Simple,0.57,NW
113,187.99,186.5,10.11,2.02,Simple,0.57,NW
114,286.73,127.75,4.99,1.0,Simple,0.57,NE
115,3.02,246.15,8.76,1.75,Degraded/Overlapping,0.57,SW
116,390.51,278.25,7.59,1.52,Simple,0.57,SE
117,256.5,172.03,5.74,1.15,Simple,0.56,NE
118,29.74,223.73,9.11,1.82,Simple,0.55,SW
119,197.93,193.47,6.08,1.22,Simple,0.55,NW
120,125.07,62.72,5.85,1.17,Simple,0.55,NW
121,413.67,64.73,6.66,1.33,Simple,0.55,NE
122,180.06,173.93,7.27,1.45,Simple,0.54,NW
123,77.49,145.82,6.37,1.27,Simple,0.53,NW
124,397.17,364.37,5.72,1.14,Simple,0.53,SE
125,172.89,341.19,7.61,1.52,Simple,0.53,SW
126,2.11,237.14,6.18,1.24,Degraded,0.53,SW
127,286.56,5.35,5.66,1.13,Simple,0.52,NE
128,93.2,146.52,5.55,1.11,Simple,0.51,NW
129,278.26,6.44,5.45,1.09,Simple,0.51,NE
130,246.68,400.2,6.17,1.23,Simple,0.51,SE
131,163.43,310.27,5.95,1.19,Simple,0.5,SW
132,117.39,95.91,5.61,1.12,Simple,0.5,NW
133,94.26,187.08,6.22,1.24,Simple,0.49,NW
134,3.22,408.69,6.5,1.3,Simple,0.48,SW
135,116.35,330.44,5.93,1.19,Simple,0.48,SW
136,399.44,380.92,5.1,1.02,Simple,0.47,SE
137,250.76,153.26,5.4,1.08,Simple,0.47,NE
