ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,272.07,192.08,11.19,2.24,Simple,0.93,NE
2,216.64,369.38,18.59,3.72,Simple,0.91,SE
3,310.25,386.23,8.3,1.66,Simple,0.9,SE
4,305.29,137.29,18.67,3.73,Simple,0.9,NE
5,245.61,23.02,51.23,10.25,Complex,0.89,NE
6,280.56,207.05,20.51,4.1,Complex,0.89,NE
7,254.99,228.81,9.33,1.87,Simple,0.89,SE
8,114.95,176.02,11.55,2.31,Simple,0.88,NW
9,148.6,201.66,8.65,1.73,Simple,0.88,NW
10,149.42,53.45,21.2,4.24,Complex,0.88,NW
11,286.43,227.33,11.49,2.3,Simple,0.87,SE
12,102.91,227.01,11.19,2.24,Simple,0.87,SW
13,191.93,330.98,10.76,2.15,Simple,0.86,SW
14,137.8,155.71,11.68,2.34,Simple,0.85,NW
15,257.87,314.61,12.9,2.58,Simple,0.84,SE
16,146.3,6.18,9.32,1.86,Simple,0.82,NW
17,113.11,198.97,7.27,1.45,Simple,0.82,NW
18,338.87,254.98,24.03,4.81,Complex,0.82,SE
19,343.02,232.88,13.48,2.7,Simple,0.8,SE
20,298.72,347.52,11.89,2.38,Simple,0.8,SE
21,278.9,253.16,8.5,1.7,Simple,0.79,SE
22,190.37,232.9,7.15,1.43,Simple,0.78,SW
23,324.11,323.51,54.16,10.83,Complex,0.76,SE
24,234.88,187.85,16.54,3.31,Simple,0.75,NE
25,247.7,411.05,11.66,2.33,Simple,0.73,SE
26,292.46,47.07,7.31,1.46,Simple,0.73,NE
27,342.22,202.57,18.33,3.67,Simple/Overlapping,0.72,NE
28,203.14,277.58,8.63,1.73,Simple,0.71,SW
29,316.39,363.93,11.03,2.21,Simple,0.67,SE
30,331.64,276.0,8.67,1.73,Simple,0.66,SE
31,342.5,393.13,13.2,2.64,Simple,0.65,SE
32,188.59,217.24,10.48,2.1,Simple,0.65,SW
33,328.9,284.1,9.16,1.83,Simple,0.64,SE
34,201.13,216.99,10.62,2.12,Simple,0.58,SW
35,144.71,73.93,8.53,1.71,Simple,0.58,NW
36,202.55,296.77,15.54,3.11,Simple,0.57,SW
37,316.39,240.31,7.4,1.48,Simple,0.57,SE
38,161.53,76.97,31.78,6.36,Complex,0.55,NW
39,156.6,381.42,20.49,4.1,Complex,0.55,SW
40,219.23,254.5,69.41,13.88,Complex/Overlapping,0.52,SE
41,68.28,412.15,9.48,1.9,Simple,0.52,SW
42,321.69,190.26,6.6,1.32,Simple,0.51,NE
43,261.06,79.62,39.57,7.91,Complex/Overlapping,0.48,NE
44,318.45,254.89,23.16,4.63,Complex,0.48,SE
45,269.61,245.9,6.65,1.33,Simple,0.46,SE
46,260.57,55.28,14.49,2.9,Simple,0.45,NE
47,163.85,29.11,5.27,1.05,Simple,0.44,NW
48,158.12,30.47,26.19,5.24,Complex/Overlapping,0.4,NW
49,202.68,356.44,8.82,1.76,Simple,0.4,SW
50,300.13,21.21,55.04,11.01,Complex/Overlapping,0.4,NE
51,300.27,118.98,84.66,16.93,Complex/Overlapping,0.39,NE
52,130.54,268.81,90.44,18.09,Complex,0.39,SW
53,194.01,111.51,75.87,15.17,Complex,0.39,NW
54,180.65,134.9,6.66,1.33,Simple,0.37,NW
55,268.99,87.32,54.77,10.95,Complex/Overlapping,0.37,NE
56,87.85,408.65,8.59,1.72,Simple,0.35,SW
57,340.44,212.46,10.54,2.11,Simple/Overlapping,0.34,SE
58,232.05,245.99,7.12,1.42,Simple,0.34,SE
59,155.9,224.79,6.21,1.24,Simple,0.34,SW
60,191.04,289.36,13.24,2.65,Simple,0.32,SW
61,272.06,47.17,8.72,1.74,Simple,0.31,NE
62,174.53,13.02,37.2,7.44,Degraded/Overlapping,0.3,NW
63,173.82,53.54,20.97,4.19,Complex,0.3,NW
64,198.41,251.75,25.39,5.08,Complex/Overlapping,0.29,SW
65,301.15,191.66,6.19,1.24,Simple,0.28,NE
66,179.52,23.57,53.44,10.69,Complex/Overlapping,0.28,NW
67,292.52,52.85,42.8,8.56,Complex/Overlapping,0.28,NE
68,318.05,96.1,26.02,5.2,Complex,0.28,NE
69,295.06,378.76,8.37,1.67,Simple,0.28,SE
70,346.46,184.36,7.84,1.57,Simple,0.28,NE
71,123.78,145.04,32.16,6.43,Complex,0.28,NW
72,186.13,25.52,41.42,8.28,Complex/Overlapping,0.27,NW
73,226.73,231.67,6.83,1.37,Simple,0.27,SE
74,115.34,52.48,11.29,2.26,Simple,0.26,NW
