ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,142.85,207.33,24.56,4.91,Complex,0.94,NW
2,150.07,65.42,9.39,1.88,Simple,0.94,NW
3,174.71,167.84,20.16,4.03,Complex,0.93,NW
4,247.17,19.08,17.2,3.44,Simple,0.92,NE
5,200.1,74.78,19.03,3.81,Simple,0.91,NW
6,131.11,185.58,24.43,4.89,Complex,0.91,NW
7,204.91,317.87,36.22,7.24,Complex,0.89,SW
8,161.39,17.39,10.25,2.05,Simple,0.89,NW
9,210.44,371.13,36.09,7.22,Complex,0.89,SE
10,221.22,160.87,19.37,3.87,Simple,0.88,NE
11,135.97,332.41,59.34,11.87,Complex,0.88,SW
12,215.2,126.26,9.24,1.85,Simple,0.87,NE
13,140.27,128.67,13.73,2.75,Simple,0.87,NW
14,142.25,112.31,11.59,2.32,Simple,0.87,NW
15,234.7,206.22,9.18,1.84,Simple,0.86,NE
16,177.34,124.81,14.23,2.85,Simple,0.86,NW
17,245.11,264.09,103.34,20.67,Complex,0.85,SE
18,214.38,388.7,7.51,1.5,Simple,0.83,SE
19,294.77,201.04,14.82,2.96,Simple,0.83,NE
20,173.36,192.38,15.74,3.15,Simple,0.83,NW
21,269.7,174.93,16.97,3.39,Simple,0.82,NE
22,267.91,350.48,7.07,1.41,Simple,0.81,SE
23,211.6,8.45,11.36,2.27,Simple/Overlapping,0.8,NE
24,126.77,38.62,24.82,4.96,Complex/Overlapping,0.8,NW
25,286.2,408.58,13.04,2.61,Simple,0.79,SE
26,223.72,211.01,18.8,3.76,Simple,0.78,SE
27,131.71,18.94,13.25,2.65,Simple,0.78,NW
28,175.49,360.4,26.94,5.39,Complex/Overlapping,0.78,SW
29,172.53,203.94,13.29,2.66,Simple,0.78,NW
30,148.54,253.83,21.75,4.35,Complex,0.78,SW
31,175.3,269.92,35.73,7.15,Complex/Overlapping,0.77,SW
32,145.05,81.02,8.9,1.78,Simple,0.77,NW
33,292.72,170.04,9.98,2.0,Simple/Overlapping,0.77,NE
34,261.74,140.63,13.63,2.73,Simple,0.76,NE
35,248.96,261.88,13.0,2.6,Simple,0.76,SE
36,285.63,334.55,17.44,3.49,Simple,0.74,SE
